Date,U33GVS
2016-06-01,603000000.00
2016-07-01,503000000.00
2016-08-01,546000000.00
2016-09-01,589000000.00
2016-10-01,495000000.00
2016-11-01,525000000.00
2016-12-01,689000000.00
2017-01-01,433000000.00
2017-02-01,459000000.00
2017-03-01,654000000.00
2017-04-01,491000000.00
2017-05-01,518000000.00
2017-06-01,637000000.00
2017-07-01,458000000.00
2017-08-01,486000000.00
2017-09-01,550000000.00
2017-10-01,467000000.00
2017-11-01,483000000.00
2017-12-01,588000000.00
2018-01-01,441000000.00
2018-02-01,472000000.00
2018-03-01,629000000.00
2018-04-01,477000000.00
