Date,U33ENO
2010-03-01,2926000000.00
2010-04-01,2506000000.00
2010-05-01,2521000000.00
2010-06-01,2784000000.00
2010-07-01,2561000000.00
2010-08-01,2281000000.00
2010-09-01,2889000000.00
2010-10-01,3202000000.00
2010-11-01,2163000000.00
2010-12-01,3786000000.00
2011-01-01,2426000000.00
2011-02-01,2369000000.00
2011-03-01,3757000000.00
2011-04-01,3373000000.00
2011-05-01,2792000000.00
2011-06-01,3324000000.00
2011-07-01,2470000000.00
2011-08-01,2487000000.00
2011-09-01,2893000000.00
2011-10-01,2555000000.00
2011-11-01,2148000000.00
2011-12-01,3308000000.00
2012-01-01,2223000000.00
2012-02-01,2387000000.00
2012-03-01,3498000000.00
2012-04-01,2704000000.00
2012-05-01,2434000000.00
2012-06-01,2749000000.00
2012-07-01,2272000000.00
2012-08-01,2440000000.00
2012-09-01,2467000000.00
2012-10-01,2453000000.00
2012-11-01,2126000000.00
2012-12-01,2887000000.00
2013-01-01,2461000000.00
2013-02-01,2230000000.00
2013-03-01,3297000000.00
2013-04-01,2846000000.00
2013-05-01,2719000000.00
2013-06-01,3159000000.00
2013-07-01,2843000000.00
2013-08-01,2629000000.00
2013-09-01,3135000000.00
2013-10-01,2891000000.00
2013-11-01,2745000000.00
2013-12-01,3641000000.00
2014-01-01,3270000000.00
2014-02-01,2149000000.00
2014-03-01,3368000000.00
2014-04-01,2568000000.00
2014-05-01,2173000000.00
2014-06-01,3405000000.00
2014-07-01,2398000000.00
2014-08-01,2066000000.00
2014-09-01,3461000000.00
2014-10-01,2276000000.00
2014-11-01,1390000000.00
2014-12-01,2408000000.00
2015-01-01,2332000000.00
2015-02-01,2006000000.00
2015-03-01,2574000000.00
2015-04-01,2647000000.00
2015-05-01,2304000000.00
2015-06-01,3243000000.00
2015-07-01,2728000000.00
2015-08-01,2654000000.00
2015-09-01,3097000000.00
2015-10-01,3105000000.00
2015-11-01,2467000000.00
2015-12-01,3087000000.00
2016-01-01,2565000000.00
2016-02-01,2462000000.00
2016-03-01,2883000000.00
2016-04-01,2454000000.00
2016-05-01,2170000000.00
2016-06-01,2691000000.00
2016-07-01,2508000000.00
2016-08-01,2334000000.00
2016-09-01,2527000000.00
2016-10-01,2364000000.00
2016-11-01,2186000000.00
2016-12-01,2919000000.00
2017-01-01,2508000000.00
2017-02-01,2240000000.00
2017-03-01,3105000000.00
2017-04-01,2441000000.00
2017-05-01,2504000000.00
2017-06-01,2922000000.00
2017-07-01,2462000000.00
2017-08-01,2562000000.00
2017-09-01,2805000000.00
2017-10-01,2902000000.00
2017-11-01,2000000000.00
2017-12-01,2818000000.00
2018-01-01,2331000000.00
2018-02-01,2305000000.00
2018-03-01,3075000000.00
2018-04-01,2408000000.00
