Date,UANMVS
2000-01-01,5666000000.00
2000-02-01,6020000000.00
2000-03-01,6056000000.00
2000-04-01,5927000000.00
2000-05-01,5785000000.00
2000-06-01,5958000000.00
2000-07-01,5169000000.00
2000-08-01,5698000000.00
2000-09-01,5873000000.00
2000-10-01,5738000000.00
2000-11-01,5343000000.00
2000-12-01,4925000000.00
2001-01-01,5300000000.00
2001-02-01,5412000000.00
2001-03-01,5495000000.00
2001-04-01,5185000000.00
2001-05-01,5333000000.00
2001-06-01,5244000000.00
2001-07-01,4726000000.00
2001-08-01,5226000000.00
2001-09-01,4963000000.00
2001-10-01,5127000000.00
2001-11-01,4796000000.00
2001-12-01,4212000000.00
2002-01-01,4848000000.00
2002-02-01,4940000000.00
2002-03-01,5327000000.00
2002-04-01,5439000000.00
2002-05-01,5571000000.00
2002-06-01,5284000000.00
2002-07-01,4940000000.00
2002-08-01,5387000000.00
2002-09-01,5210000000.00
2002-10-01,5519000000.00
2002-11-01,4979000000.00
2002-12-01,4433000000.00
2003-01-01,5236000000.00
2003-02-01,4990000000.00
2003-03-01,5205000000.00
2003-04-01,5035000000.00
2003-05-01,5166000000.00
2003-06-01,5037000000.00
2003-07-01,4775000000.00
2003-08-01,5065000000.00
2003-09-01,5127000000.00
2003-10-01,5460000000.00
2003-11-01,4860000000.00
2003-12-01,4624000000.00
2004-01-01,5368000000.00
2004-02-01,5636000000.00
2004-03-01,6361000000.00
2004-04-01,5990000000.00
2004-05-01,5862000000.00
2004-06-01,5961000000.00
2004-07-01,5368000000.00
2004-08-01,6032000000.00
2004-09-01,6096000000.00
2004-10-01,6075000000.00
2004-11-01,5830000000.00
2004-12-01,5549000000.00
2005-01-01,6279000000.00
2005-02-01,6362000000.00
2005-03-01,7104000000.00
2005-04-01,6790000000.00
2005-05-01,6745000000.00
2005-06-01,6968000000.00
2005-07-01,6143000000.00
2005-08-01,7109000000.00
2005-09-01,7154000000.00
2005-10-01,7309000000.00
2005-11-01,6900000000.00
2005-12-01,6160000000.00
2006-01-01,7432000000.00
2006-02-01,7373000000.00
2006-03-01,8348000000.00
2006-04-01,7994000000.00
2006-05-01,9129000000.00
2006-06-01,9255000000.00
2006-07-01,8253000000.00
2006-08-01,9452000000.00
2006-09-01,8838000000.00
2006-10-01,8844000000.00
2006-11-01,8193000000.00
2006-12-01,7765000000.00
2007-01-01,8757000000.00
2007-02-01,8591000000.00
2007-03-01,9403000000.00
2007-04-01,9589000000.00
2007-05-01,10289000000.00
2007-06-01,9976000000.00
2007-07-01,9415000000.00
2007-08-01,10157000000.00
2007-09-01,9545000000.00
2007-10-01,10337000000.00
2007-11-01,9147000000.00
2007-12-01,7917000000.00
2008-01-01,9755000000.00
2008-02-01,9971000000.00
2008-03-01,10332000000.00
2008-04-01,10476000000.00
2008-05-01,10322000000.00
2008-06-01,10281000000.00
2008-07-01,9718000000.00
2008-08-01,9879000000.00
2008-09-01,9377000000.00
2008-10-01,8730000000.00
2008-11-01,6971000000.00
2008-12-01,5809000000.00
2009-01-01,6123000000.00
2009-02-01,5913000000.00
2009-03-01,6194000000.00
2009-04-01,6095000000.00
2009-05-01,5912000000.00
2009-06-01,6088000000.00
2009-07-01,6251000000.00
2009-08-01,6736000000.00
2009-09-01,6666000000.00
2009-10-01,7146000000.00
2009-11-01,6610000000.00
2009-12-01,6746000000.00
2010-01-01,7369000000.00
2010-02-01,7540000000.00
2010-03-01,8910000000.00
2010-04-01,8925000000.00
2010-05-01,8707000000.00
2010-06-01,8925000000.00
2010-07-01,8470000000.00
2010-08-01,9122000000.00
2010-09-01,8962000000.00
2010-10-01,9012000000.00
2010-11-01,8469000000.00
2010-12-01,7686000000.00
2011-01-01,8738000000.00
2011-02-01,9069000000.00
2011-03-01,10439000000.00
2011-04-01,9890000000.00
2011-05-01,10205000000.00
2011-06-01,10677000000.00
2011-07-01,10243000000.00
2011-08-01,11110000000.00
2011-09-01,10519000000.00
2011-10-01,10508000000.00
2011-11-01,9844000000.00
2011-12-01,9244000000.00
2012-01-01,9908000000.00
2012-02-01,10087000000.00
2012-03-01,10157000000.00
2012-04-01,9703000000.00
2012-05-01,9585000000.00
2012-06-01,9357000000.00
2012-07-01,8868000000.00
2012-08-01,9371000000.00
2012-09-01,8875000000.00
2012-10-01,9060000000.00
2012-11-01,8706000000.00
2012-12-01,8226000000.00
2013-01-01,9265000000.00
2013-02-01,9127000000.00
2013-03-01,9616000000.00
2013-04-01,9652000000.00
2013-05-01,9725000000.00
2013-06-01,9433000000.00
2013-07-01,9312000000.00
2013-08-01,9779000000.00
2013-09-01,9508000000.00
2013-10-01,9713000000.00
2013-11-01,8768000000.00
2013-12-01,8096000000.00
2014-01-01,9031000000.00
2014-02-01,8785000000.00
2014-03-01,9285000000.00
2014-04-01,9485000000.00
2014-05-01,9592000000.00
2014-06-01,9628000000.00
2014-07-01,9371000000.00
2014-08-01,9852000000.00
2014-09-01,9559000000.00
2014-10-01,9727000000.00
2014-11-01,8394000000.00
2014-12-01,8359000000.00
2015-01-01,8958000000.00
2015-02-01,8822000000.00
2015-03-01,9621000000.00
2015-04-01,8997000000.00
2015-05-01,8716000000.00
2015-06-01,8860000000.00
2015-07-01,8132000000.00
2015-08-01,8306000000.00
2015-09-01,8150000000.00
2015-10-01,8112000000.00
2015-11-01,7206000000.00
2015-12-01,6949000000.00
2016-01-01,7312000000.00
2016-02-01,7602000000.00
2016-03-01,8123000000.00
2016-04-01,7750000000.00
2016-05-01,7836000000.00
2016-06-01,8060000000.00
2016-07-01,7280000000.00
2016-08-01,8014000000.00
2016-09-01,7972000000.00
2016-10-01,7769000000.00
2016-11-01,7473000000.00
2016-12-01,7197000000.00
2017-01-01,7865000000.00
2017-02-01,7683000000.00
2017-03-01,8879000000.00
2017-04-01,7889000000.00
2017-05-01,8541000000.00
2017-06-01,8230000000.00
2017-07-01,7527000000.00
2017-08-01,8616000000.00
2017-09-01,8152000000.00
2017-10-01,8301000000.00
2017-11-01,8098000000.00
2017-12-01,7749000000.00
2018-01-01,8821000000.00
2018-02-01,8749000000.00
2018-03-01,9892000000.00
2018-04-01,9474000000.00
