Date,PMSAVE
1976-12-01,136700000000.00
1977-01-01,135400000000.00
1977-02-01,117600000000.00
1977-03-01,137800000000.00
1977-04-01,141100000000.00
1977-05-01,139600000000.00
1977-06-01,147300000000.00
1977-07-01,148000000000.00
1977-08-01,155500000000.00
1977-09-01,159800000000.00
1977-10-01,160800000000.00
1977-11-01,165700000000.00
1977-12-01,169200000000.00
1978-01-01,176800000000.00
1978-02-01,166700000000.00
1978-03-01,166700000000.00
1978-04-01,164200000000.00
1978-05-01,158200000000.00
1978-06-01,154200000000.00
1978-07-01,169400000000.00
1978-08-01,163600000000.00
1978-09-01,166900000000.00
1978-10-01,171900000000.00
1978-11-01,169400000000.00
1978-12-01,170600000000.00
1979-01-01,182500000000.00
1979-02-01,183000000000.00
1979-03-01,188100000000.00
1979-04-01,184700000000.00
1979-05-01,173800000000.00
1979-06-01,166500000000.00
1979-07-01,182300000000.00
1979-08-01,168400000000.00
1979-09-01,164600000000.00
1979-10-01,173600000000.00
1979-11-01,176200000000.00
1979-12-01,187000000000.00
1980-01-01,186000000000.00
1980-02-01,191100000000.00
1980-03-01,191900000000.00
1980-04-01,204100000000.00
1980-05-01,208700000000.00
1980-06-01,205300000000.00
1980-07-01,211200000000.00
1980-08-01,215000000000.00
1980-09-01,228100000000.00
1980-10-01,231800000000.00
1980-11-01,243700000000.00
1980-12-01,241400000000.00
1981-01-01,226700000000.00
1981-02-01,225000000000.00
1981-03-01,225600000000.00
1981-04-01,226100000000.00
1981-05-01,229400000000.00
1981-06-01,227900000000.00
1981-07-01,266900000000.00
1981-08-01,261500000000.00
1981-09-01,273500000000.00
1981-10-01,289800000000.00
1981-11-01,295900000000.00
1981-12-01,281300000000.00
1982-01-01,287000000000.00
1982-02-01,275200000000.00
1982-03-01,276400000000.00
1982-04-01,296700000000.00
1982-05-01,281000000000.00
1982-06-01,279500000000.00
1982-07-01,292400000000.00
1982-08-01,292200000000.00
1982-09-01,272800000000.00
1982-10-01,263700000000.00
1982-11-01,256400000000.00
1982-12-01,259100000000.00
1983-01-01,263200000000.00
1983-02-01,264700000000.00
1983-03-01,253800000000.00
1983-04-01,245600000000.00
1983-05-01,241700000000.00
1983-06-01,218900000000.00
1983-07-01,237300000000.00
1983-08-01,230500000000.00
1983-09-01,239900000000.00
1983-10-01,244600000000.00
1983-11-01,262600000000.00
1983-12-01,261100000000.00
1984-01-01,260700000000.00
1984-02-01,311500000000.00
1984-03-01,310400000000.00
1984-04-01,313300000000.00
1984-05-01,303300000000.00
1984-06-01,305500000000.00
1984-07-01,319700000000.00
1984-08-01,330900000000.00
1984-09-01,333600000000.00
1984-10-01,331100000000.00
1984-11-01,306100000000.00
1984-12-01,319200000000.00
1985-01-01,293700000000.00
1985-02-01,255700000000.00
1985-03-01,244000000000.00
1985-04-01,287500000000.00
1985-05-01,329000000000.00
1985-06-01,276300000000.00
1985-07-01,263400000000.00
1985-08-01,233400000000.00
1985-09-01,208400000000.00
1985-10-01,267200000000.00
1985-11-01,266900000000.00
1985-12-01,256100000000.00
1986-01-01,256600000000.00
1986-02-01,279700000000.00
1986-03-01,301700000000.00
1986-04-01,295400000000.00
1986-05-01,282500000000.00
1986-06-01,288000000000.00
1986-07-01,286400000000.00
1986-08-01,277900000000.00
1986-09-01,218400000000.00
1986-10-01,259700000000.00
1986-11-01,272300000000.00
1986-12-01,213800000000.00
1987-01-01,305600000000.00
1987-02-01,269100000000.00
1987-03-01,270200000000.00
1987-04-01,126800000000.00
1987-05-01,259300000000.00
1987-06-01,242600000000.00
1987-07-01,237100000000.00
1987-08-01,229200000000.00
1987-09-01,245000000000.00
1987-10-01,270300000000.00
1987-11-01,280600000000.00
1987-12-01,289200000000.00
1988-01-01,270200000000.00
1988-02-01,287300000000.00
1988-03-01,274300000000.00
1988-04-01,301900000000.00
1988-05-01,286800000000.00
1988-06-01,291600000000.00
1988-07-01,301000000000.00
1988-08-01,297900000000.00
1988-09-01,314300000000.00
1988-10-01,307800000000.00
1988-11-01,300600000000.00
1988-12-01,303100000000.00
1989-01-01,315000000000.00
1989-02-01,334800000000.00
1989-03-01,357700000000.00
1989-04-01,317500000000.00
1989-05-01,303500000000.00
1989-06-01,307600000000.00
1989-07-01,312900000000.00
1989-08-01,287700000000.00
1989-09-01,305100000000.00
1989-10-01,326300000000.00
1989-11-01,329300000000.00
1989-12-01,300700000000.00
1990-01-01,311500000000.00
1990-02-01,342400000000.00
1990-03-01,330300000000.00
1990-04-01,349900000000.00
1990-05-01,343600000000.00
1990-06-01,342600000000.00
1990-07-01,349200000000.00
1990-08-01,325100000000.00
1990-09-01,329000000000.00
1990-10-01,318200000000.00
1990-11-01,322800000000.00
1990-12-01,360800000000.00
1991-01-01,380900000000.00
1991-02-01,363300000000.00
1991-03-01,324800000000.00
1991-04-01,353000000000.00
1991-05-01,344900000000.00
1991-06-01,367700000000.00
1991-07-01,340000000000.00
1991-08-01,355600000000.00
1991-09-01,368400000000.00
1991-10-01,391400000000.00
1991-11-01,382300000000.00
1991-12-01,418200000000.00
1992-01-01,413200000000.00
1992-02-01,433600000000.00
1992-03-01,434400000000.00
1992-04-01,445300000000.00
1992-05-01,448800000000.00
1992-06-01,459300000000.00
1992-07-01,437400000000.00
1992-08-01,444300000000.00
1992-09-01,393700000000.00
1992-10-01,355400000000.00
1992-11-01,351600000000.00
1992-12-01,495300000000.00
1993-01-01,407100000000.00
1993-02-01,415600000000.00
1993-03-01,411800000000.00
1993-04-01,406900000000.00
1993-05-01,385300000000.00
1993-06-01,359800000000.00
1993-07-01,351000000000.00
1993-08-01,354600000000.00
1993-09-01,316300000000.00
1993-10-01,281900000000.00
1993-11-01,283300000000.00
1993-12-01,437900000000.00
1994-01-01,328800000000.00
1994-02-01,303700000000.00
1994-03-01,320100000000.00
1994-04-01,300500000000.00
1994-05-01,370500000000.00
1994-06-01,331800000000.00
1994-07-01,337900000000.00
1994-08-01,313500000000.00
1994-09-01,327600000000.00
1994-10-01,347200000000.00
1994-11-01,342200000000.00
1994-12-01,353200000000.00
1995-01-01,376500000000.00
1995-02-01,395900000000.00
1995-03-01,381500000000.00
1995-04-01,343800000000.00
1995-05-01,359400000000.00
1995-06-01,334700000000.00
1995-07-01,357300000000.00
1995-08-01,337100000000.00
1995-09-01,341900000000.00
1995-10-01,363500000000.00
1995-11-01,334900000000.00
1995-12-01,308600000000.00
1996-01-01,342900000000.00
1996-02-01,347600000000.00
1996-03-01,342300000000.00
1996-04-01,288400000000.00
1996-05-01,354900000000.00
1996-06-01,381700000000.00
1996-07-01,354100000000.00
1996-08-01,349100000000.00
1996-09-01,356700000000.00
1996-10-01,340100000000.00
1996-11-01,342100000000.00
1996-12-01,342700000000.00
1997-01-01,335300000000.00
1997-02-01,341800000000.00
1997-03-01,354200000000.00
1997-04-01,355800000000.00
1997-05-01,374900000000.00
1997-06-01,366300000000.00
1997-07-01,337500000000.00
1997-08-01,333700000000.00
1997-09-01,349300000000.00
1997-10-01,348100000000.00
1997-11-01,362900000000.00
1997-12-01,366400000000.00
1998-01-01,430300000000.00
1998-02-01,434000000000.00
1998-03-01,443500000000.00
1998-04-01,428400000000.00
1998-05-01,410800000000.00
1998-06-01,407100000000.00
1998-07-01,414300000000.00
1998-08-01,409200000000.00
1998-09-01,384200000000.00
1998-10-01,372700000000.00
1998-11-01,382900000000.00
1998-12-01,346500000000.00
1999-01-01,387200000000.00
1999-02-01,378100000000.00
1999-03-01,357800000000.00
1999-04-01,307800000000.00
1999-05-01,292900000000.00
1999-06-01,287200000000.00
1999-07-01,283800000000.00
1999-08-01,278000000000.00
1999-09-01,242800000000.00
1999-10-01,272400000000.00
1999-11-01,289900000000.00
1999-12-01,261600000000.00
2000-01-01,340900000000.00
2000-02-01,305000000000.00
2000-03-01,285500000000.00
2000-04-01,318800000000.00
2000-05-01,312300000000.00
2000-06-01,312500000000.00
2000-07-01,341500000000.00
2000-08-01,340900000000.00
2000-09-01,285800000000.00
2000-10-01,298500000000.00
2000-11-01,287800000000.00
2000-12-01,262500000000.00
2001-01-01,307600000000.00
2001-02-01,314700000000.00
2001-03-01,346500000000.00
2001-04-01,328900000000.00
2001-05-01,287000000000.00
2001-06-01,288300000000.00
2001-07-01,387500000000.00
2001-08-01,487500000000.00
2001-09-01,496600000000.00
2001-10-01,211100000000.00
2001-11-01,266900000000.00
2001-12-01,299400000000.00
2002-01-01,443700000000.00
2002-02-01,423600000000.00
2002-03-01,424500000000.00
2002-04-01,408900000000.00
2002-05-01,455700000000.00
2002-06-01,438600000000.00
2002-07-01,371300000000.00
2002-08-01,355900000000.00
2002-09-01,397900000000.00
2002-10-01,387900000000.00
2002-11-01,386600000000.00
2002-12-01,368700000000.00
2003-01-01,371300000000.00
2003-02-01,393500000000.00
2003-03-01,386600000000.00
2003-04-01,388500000000.00
2003-05-01,432500000000.00
2003-06-01,414000000000.00
2003-07-01,472500000000.00
2003-08-01,456400000000.00
2003-09-01,384700000000.00
2003-10-01,397800000000.00
2003-11-01,409800000000.00
2003-12-01,418500000000.00
2004-01-01,393500000000.00
2004-02-01,398700000000.00
2004-03-01,398300000000.00
2004-04-01,419500000000.00
2004-05-01,420100000000.00
2004-06-01,453800000000.00
2004-07-01,411100000000.00
2004-08-01,417800000000.00
2004-09-01,353700000000.00
2004-10-01,349800000000.00
2004-11-01,315100000000.00
2004-12-01,593200000000.00
2005-01-01,289600000000.00
2005-02-01,264100000000.00
2005-03-01,271900000000.00
2005-04-01,199700000000.00
2005-05-01,277300000000.00
2005-06-01,211100000000.00
2005-07-01,182300000000.00
2005-08-01,231200000000.00
2005-09-01,222800000000.00
2005-10-01,245700000000.00
2005-11-01,260600000000.00
2005-12-01,272700000000.00
2006-01-01,373200000000.00
2006-02-01,380300000000.00
2006-03-01,377700000000.00
2006-04-01,339800000000.00
2006-05-01,321900000000.00
2006-06-01,338300000000.00
2006-07-01,288000000000.00
2006-08-01,304000000000.00
2006-09-01,308100000000.00
2006-10-01,315000000000.00
2006-11-01,331000000000.00
2006-12-01,309500000000.00
2007-01-01,311200000000.00
2007-02-01,338700000000.00
2007-03-01,371300000000.00
2007-04-01,339000000000.00
2007-05-01,313700000000.00
2007-06-01,297900000000.00
2007-07-01,298000000000.00
2007-08-01,270600000000.00
2007-09-01,299300000000.00
2007-10-01,296700000000.00
2007-11-01,267600000000.00
2007-12-01,324200000000.00
2008-01-01,358100000000.00
2008-02-01,413100000000.00
2008-03-01,427700000000.00
2008-04-01,377900000000.00
2008-05-01,902900000000.00
2008-06-01,621600000000.00
2008-07-01,489500000000.00
2008-08-01,402200000000.00
2008-09-01,483100000000.00
2008-10-01,592000000000.00
2008-11-01,683700000000.00
2008-12-01,700000000000.00
2009-01-01,698800000000.00
2009-02-01,637300000000.00
2009-03-01,657500000000.00
2009-04-01,726900000000.00
2009-05-01,892700000000.00
2009-06-01,722000000000.00
2009-07-01,656000000000.00
2009-08-01,530200000000.00
2009-09-01,647800000000.00
2009-10-01,593100000000.00
2009-11-01,629600000000.00
2009-12-01,627300000000.00
2010-01-01,622200000000.00
2010-02-01,573300000000.00
2010-03-01,551700000000.00
2010-04-01,627900000000.00
2010-05-01,675700000000.00
2010-06-01,659500000000.00
2010-07-01,665500000000.00
2010-08-01,656500000000.00
2010-09-01,634400000000.00
2010-10-01,611200000000.00
2010-11-01,606200000000.00
2010-12-01,676000000000.00
2011-01-01,725200000000.00
2011-02-01,752300000000.00
2011-03-01,707800000000.00
2011-04-01,684500000000.00
2011-05-01,689600000000.00
2011-06-01,723900000000.00
2011-07-01,741500000000.00
2011-08-01,738900000000.00
2011-09-01,675400000000.00
2011-10-01,656100000000.00
2011-11-01,663500000000.00
2011-12-01,763000000000.00
2012-01-01,802100000000.00
2012-02-01,820700000000.00
2012-03-01,861100000000.00
2012-04-01,881700000000.00
2012-05-01,896400000000.00
2012-06-01,939100000000.00
2012-07-01,875200000000.00
2012-08-01,871300000000.00
2012-09-01,889100000000.00
2012-10-01,980300000000.00
2012-11-01,1117700000000.00
2012-12-01,1425700000000.00
2013-01-01,596300000000.00
2013-02-01,580300000000.00
2013-03-01,594600000000.00
2013-04-01,597000000000.00
2013-05-01,651900000000.00
2013-06-01,666200000000.00
2013-07-01,648800000000.00
2013-08-01,673200000000.00
2013-09-01,661300000000.00
2013-10-01,601900000000.00
2013-11-01,577700000000.00
2013-12-01,592100000000.00
2014-01-01,649600000000.00
2014-02-01,681400000000.00
2014-03-01,689900000000.00
2014-04-01,714500000000.00
2014-05-01,741400000000.00
2014-06-01,762500000000.00
2014-07-01,762600000000.00
2014-08-01,739100000000.00
2014-09-01,770500000000.00
2014-10-01,762700000000.00
2014-11-01,776600000000.00
2014-12-01,814900000000.00
2015-01-01,810300000000.00
2015-02-01,842300000000.00
2015-03-01,776400000000.00
2015-04-01,837300000000.00
2015-05-01,838400000000.00
2015-06-01,857400000000.00
2015-07-01,820400000000.00
2015-08-01,822500000000.00
2015-09-01,823100000000.00
2015-10-01,869500000000.00
2015-11-01,836700000000.00
2015-12-01,806300000000.00
2016-01-01,814600000000.00
2016-02-01,755100000000.00
2016-03-01,793900000000.00
2016-04-01,766200000000.00
2016-05-01,750400000000.00
2016-06-01,718900000000.00
2016-07-01,717700000000.00
2016-08-01,689600000000.00
2016-09-01,625600000000.00
2016-10-01,577200000000.00
2016-11-01,514300000000.00
2016-12-01,443100000000.00
2017-01-01,528900000000.00
2017-02-01,578600000000.00
2017-03-01,556200000000.00
2017-04-01,524800000000.00
2017-05-01,540700000000.00
2017-06-01,511500000000.00
2017-07-01,505400000000.00
2017-08-01,508300000000.00
2017-09-01,437200000000.00
2017-10-01,430000000000.00
2017-11-01,369800000000.00
2017-12-01,357300000000.00
2018-01-01,460200000000.00
2018-02-01,513000000000.00
2018-03-01,468700000000.00
2018-04-01,448000000000.00
2018-05-01,482000000000.00
