Date,UITIUO
2003-07-01,90713000000.00
2003-08-01,90608000000.00
2003-09-01,91434000000.00
2003-10-01,93067000000.00
2003-11-01,92919000000.00
2003-12-01,94830000000.00
2004-01-01,95702000000.00
2004-02-01,97316000000.00
2004-03-01,99781000000.00
2004-04-01,99784000000.00
2004-05-01,99777000000.00
2004-06-01,99396000000.00
2004-07-01,98429000000.00
2004-08-01,96069000000.00
2004-09-01,98691000000.00
2004-10-01,99403000000.00
2004-11-01,99228000000.00
2004-12-01,100829000000.00
2005-01-01,102270000000.00
2005-02-01,103625000000.00
2005-03-01,105454000000.00
2005-04-01,104987000000.00
2005-05-01,103693000000.00
2005-06-01,105673000000.00
2005-07-01,105018000000.00
2005-08-01,104844000000.00
2005-09-01,105938000000.00
2005-10-01,106131000000.00
2005-11-01,105461000000.00
2005-12-01,105749000000.00
2006-01-01,106412000000.00
2006-02-01,107632000000.00
2006-03-01,111137000000.00
2006-04-01,111715000000.00
2006-05-01,110512000000.00
2006-06-01,110770000000.00
2006-07-01,111893000000.00
2006-08-01,111099000000.00
2006-09-01,113114000000.00
2006-10-01,113601000000.00
2006-11-01,115677000000.00
2006-12-01,118508000000.00
2007-01-01,119158000000.00
2007-02-01,120807000000.00
2007-03-01,119972000000.00
2007-04-01,119984000000.00
2007-05-01,120070000000.00
2007-06-01,118672000000.00
2007-07-01,119065000000.00
2007-08-01,118334000000.00
2007-09-01,119381000000.00
2007-10-01,119052000000.00
2007-11-01,118254000000.00
2007-12-01,119910000000.00
2008-01-01,120549000000.00
2008-02-01,121762000000.00
2008-03-01,122191000000.00
2008-04-01,121557000000.00
2008-05-01,121044000000.00
2008-06-01,121489000000.00
2008-07-01,120589000000.00
2008-08-01,119360000000.00
2008-09-01,119807000000.00
2008-10-01,118834000000.00
2008-11-01,118798000000.00
2008-12-01,119449000000.00
2009-01-01,118954000000.00
2009-02-01,119216000000.00
2009-03-01,120105000000.00
2009-04-01,118898000000.00
2009-05-01,117896000000.00
2009-06-01,117052000000.00
2009-07-01,115854000000.00
2009-08-01,113841000000.00
2009-09-01,114611000000.00
2009-10-01,113910000000.00
2009-11-01,112183000000.00
2009-12-01,113373000000.00
2010-01-01,113093000000.00
2010-02-01,113038000000.00
2010-03-01,114184000000.00
2010-04-01,113849000000.00
2010-05-01,113116000000.00
2010-06-01,113342000000.00
2010-07-01,112629000000.00
2010-08-01,112902000000.00
2010-09-01,115428000000.00
2010-10-01,114145000000.00
2010-11-01,113582000000.00
2010-12-01,116072000000.00
2011-01-01,117498000000.00
2011-02-01,120053000000.00
2011-03-01,121207000000.00
2011-04-01,120670000000.00
2011-05-01,120660000000.00
2011-06-01,121772000000.00
2011-07-01,121856000000.00
2011-08-01,122125000000.00
2011-09-01,124494000000.00
2011-10-01,126169000000.00
2011-11-01,125964000000.00
2011-12-01,128042000000.00
2012-01-01,128747000000.00
2012-02-01,130725000000.00
2012-03-01,132011000000.00
2012-04-01,132573000000.00
2012-05-01,132230000000.00
2012-06-01,131672000000.00
2012-07-01,130971000000.00
2012-08-01,130098000000.00
2012-09-01,130581000000.00
2012-10-01,129930000000.00
2012-11-01,128560000000.00
2012-12-01,129718000000.00
2013-01-01,128337000000.00
2013-02-01,127304000000.00
2013-03-01,125059000000.00
2013-04-01,124533000000.00
2013-05-01,124101000000.00
2013-06-01,123407000000.00
2013-07-01,121320000000.00
2013-08-01,118599000000.00
2013-09-01,118419000000.00
2013-10-01,117293000000.00
2013-11-01,115305000000.00
2013-12-01,114456000000.00
2014-01-01,114293000000.00
2014-02-01,114340000000.00
2014-03-01,114721000000.00
2014-04-01,114728000000.00
2014-05-01,113123000000.00
2014-06-01,112639000000.00
2014-07-01,111383000000.00
2014-08-01,110364000000.00
2014-09-01,110758000000.00
2014-10-01,110662000000.00
2014-11-01,109343000000.00
2014-12-01,108960000000.00
2015-01-01,108764000000.00
2015-02-01,109010000000.00
2015-03-01,110566000000.00
2015-04-01,110828000000.00
2015-05-01,110154000000.00
2015-06-01,109395000000.00
2015-07-01,108522000000.00
2015-08-01,107586000000.00
2015-09-01,107666000000.00
2015-10-01,106706000000.00
2015-11-01,105484000000.00
2015-12-01,105885000000.00
2016-01-01,106661000000.00
2016-02-01,107661000000.00
2016-03-01,108796000000.00
2016-04-01,109391000000.00
2016-05-01,109294000000.00
2016-06-01,109288000000.00
2016-07-01,108565000000.00
2016-08-01,107557000000.00
2016-09-01,108199000000.00
2016-10-01,108055000000.00
2016-11-01,107516000000.00
2016-12-01,108577000000.00
2017-01-01,109440000000.00
2017-02-01,110597000000.00
2017-03-01,111753000000.00
2017-04-01,111789000000.00
2017-05-01,111306000000.00
2017-06-01,111005000000.00
2017-07-01,110500000000.00
2017-08-01,109104000000.00
2017-09-01,110449000000.00
2017-10-01,110504000000.00
2017-11-01,110518000000.00
2017-12-01,111146000000.00
2018-01-01,111292000000.00
2018-02-01,111863000000.00
2018-03-01,113172000000.00
2018-04-01,113389000000.00
