Date,CAPUTLG2211A2S
1980-03-01,87.25
1980-04-01,84.53
1980-05-01,82.99
1980-06-01,82.80
1980-07-01,85.71
1980-08-01,85.98
1980-09-01,86.87
1980-10-01,85.94
1980-11-01,86.08
1980-12-01,86.26
1981-01-01,84.83
1981-02-01,82.48
1981-03-01,83.66
1981-04-01,83.53
1981-05-01,84.53
1981-06-01,86.46
1981-07-01,86.05
1981-08-01,84.15
1981-09-01,82.81
1981-10-01,83.68
1981-11-01,82.80
1981-12-01,84.27
1982-01-01,84.01
1982-02-01,81.56
1982-03-01,81.46
1982-04-01,81.43
1982-05-01,79.10
1982-06-01,79.26
1982-07-01,79.13
1982-08-01,78.06
1982-09-01,78.23
1982-10-01,78.36
1982-11-01,79.31
1982-12-01,76.80
1983-01-01,76.55
1983-02-01,74.49
1983-03-01,77.12
1983-04-01,78.48
1983-05-01,76.93
1983-06-01,76.59
1983-07-01,79.10
1983-08-01,82.18
1983-09-01,81.84
1983-10-01,80.38
1983-11-01,80.70
1983-12-01,84.28
1984-01-01,83.78
1984-02-01,81.80
1984-03-01,83.59
1984-04-01,82.94
1984-05-01,83.49
1984-06-01,82.83
1984-07-01,80.37
1984-08-01,81.02
1984-09-01,79.98
1984-10-01,79.73
1984-11-01,80.57
1984-12-01,79.03
1985-01-01,82.18
1985-02-01,84.86
1985-03-01,80.80
1985-04-01,81.44
1985-05-01,81.10
1985-06-01,80.24
1985-07-01,80.39
1985-08-01,80.08
1985-09-01,81.50
1985-10-01,80.64
1985-11-01,80.38
1985-12-01,84.07
1986-01-01,81.28
1986-02-01,80.45
1986-03-01,79.20
1986-04-01,79.55
1986-05-01,80.34
1986-06-01,80.69
1986-07-01,82.02
1986-08-01,79.88
1986-09-01,80.54
1986-10-01,80.94
1986-11-01,80.87
1986-12-01,81.89
1987-01-01,80.61
1987-02-01,81.29
1987-03-01,82.05
1987-04-01,82.76
1987-05-01,83.26
1987-06-01,84.10
1987-07-01,84.15
1987-08-01,85.16
1987-09-01,83.25
1987-10-01,83.96
1987-11-01,83.88
1987-12-01,83.76
1988-01-01,85.92
1988-02-01,87.55
1988-03-01,87.06
1988-04-01,85.95
1988-05-01,85.48
1988-06-01,86.44
1988-07-01,87.07
1988-08-01,89.90
1988-09-01,85.57
1988-10-01,85.94
1988-11-01,85.29
1988-12-01,85.57
1989-01-01,82.49
1989-02-01,86.41
1989-03-01,88.46
1989-04-01,85.84
1989-05-01,86.01
1989-06-01,85.57
1989-07-01,85.79
1989-08-01,86.68
1989-09-01,85.31
1989-10-01,86.21
1989-11-01,86.81
1989-12-01,92.85
1990-01-01,85.66
1990-02-01,84.42
1990-03-01,85.45
1990-04-01,85.89
1990-05-01,86.24
1990-06-01,87.02
1990-07-01,86.64
1990-08-01,87.41
1990-09-01,88.38
1990-10-01,86.99
1990-11-01,85.15
1990-12-01,85.69
1991-01-01,87.14
1991-02-01,84.89
1991-03-01,85.99
1991-04-01,85.85
1991-05-01,89.52
1991-06-01,89.76
1991-07-01,88.97
1991-08-01,88.21
1991-09-01,87.93
1991-10-01,87.69
1991-11-01,88.39
1991-12-01,85.90
1992-01-01,85.33
1992-02-01,85.73
1992-03-01,85.28
1992-04-01,87.12
1992-05-01,85.76
1992-06-01,84.39
1992-07-01,84.81
1992-08-01,84.46
1992-09-01,85.66
1992-10-01,87.04
1992-11-01,87.74
1992-12-01,89.16
1993-01-01,86.04
1993-02-01,88.30
1993-03-01,89.09
1993-04-01,87.98
1993-05-01,85.49
1993-06-01,87.57
1993-07-01,88.72
1993-08-01,89.17
1993-09-01,88.06
1993-10-01,87.65
1993-11-01,88.11
1993-12-01,88.33
1994-01-01,90.78
1994-02-01,89.73
1994-03-01,88.11
1994-04-01,87.11
1994-05-01,86.57
1994-06-01,90.11
1994-07-01,88.32
1994-08-01,87.53
1994-09-01,87.27
1994-10-01,87.38
1994-11-01,86.61
1994-12-01,86.53
1995-01-01,87.03
1995-02-01,87.65
1995-03-01,87.42
1995-04-01,88.07
1995-05-01,89.23
1995-06-01,88.49
1995-07-01,89.45
1995-08-01,92.87
1995-09-01,88.91
1995-10-01,88.88
1995-11-01,89.89
1995-12-01,90.46
1996-01-01,91.17
1996-02-01,92.31
1996-03-01,92.02
1996-04-01,91.35
1996-05-01,92.26
1996-06-01,90.98
1996-07-01,87.79
1996-08-01,88.86
1996-09-01,88.42
1996-10-01,89.28
1996-11-01,90.82
1996-12-01,89.75
1997-01-01,90.50
1997-02-01,89.43
1997-03-01,87.44
1997-04-01,89.46
1997-05-01,88.22
1997-06-01,87.80
1997-07-01,89.69
1997-08-01,89.30
1997-09-01,90.35
1997-10-01,92.00
1997-11-01,91.94
1997-12-01,91.57
1998-01-01,87.94
1998-02-01,88.96
1998-03-01,91.65
1998-04-01,90.78
1998-05-01,92.58
1998-06-01,94.08
1998-07-01,94.33
1998-08-01,93.75
1998-09-01,95.25
1998-10-01,94.20
1998-11-01,91.73
1998-12-01,91.84
1999-01-01,93.86
1999-02-01,92.21
1999-03-01,94.86
1999-04-01,94.06
1999-05-01,93.10
1999-06-01,94.29
1999-07-01,96.15
1999-08-01,94.79
1999-09-01,93.97
1999-10-01,93.48
1999-11-01,91.93
1999-12-01,93.31
2000-01-01,93.00
2000-02-01,93.98
2000-03-01,91.18
2000-04-01,92.89
2000-05-01,96.08
2000-06-01,94.42
2000-07-01,91.37
2000-08-01,93.79
2000-09-01,93.97
2000-10-01,92.75
2000-11-01,95.75
2000-12-01,97.63
2001-01-01,95.47
2001-02-01,93.24
2001-03-01,92.25
2001-04-01,91.44
2001-05-01,90.34
2001-06-01,90.23
2001-07-01,88.29
2001-08-01,90.26
2001-09-01,87.90
2001-10-01,88.29
2001-11-01,85.90
2001-12-01,84.33
2002-01-01,85.79
2002-02-01,85.79
2002-03-01,87.67
2002-04-01,89.33
2002-05-01,88.34
2002-06-01,88.01
2002-07-01,88.49
2002-08-01,86.21
2002-09-01,87.46
2002-10-01,88.23
2002-11-01,87.65
2002-12-01,86.49
2003-01-01,87.55
2003-02-01,89.20
2003-03-01,85.92
2003-04-01,85.87
2003-05-01,85.56
2003-06-01,83.07
2003-07-01,85.39
2003-08-01,85.60
2003-09-01,84.59
2003-10-01,84.84
2003-11-01,84.82
2003-12-01,85.62
2004-01-01,86.87
2004-02-01,87.47
2004-03-01,83.74
2004-04-01,84.85
2004-05-01,86.36
2004-06-01,84.21
2004-07-01,82.80
2004-08-01,80.70
2004-09-01,83.97
2004-10-01,84.08
2004-11-01,84.25
2004-12-01,85.72
2005-01-01,84.28
2005-02-01,83.21
2005-03-01,85.63
2005-04-01,83.98
2005-05-01,83.82
2005-06-01,86.46
2005-07-01,86.44
2005-08-01,86.06
2005-09-01,87.06
2005-10-01,85.27
2005-11-01,84.40
2005-12-01,86.84
2006-01-01,79.76
2006-02-01,82.61
2006-03-01,84.61
2006-04-01,83.85
2006-05-01,84.82
2006-06-01,85.16
2006-07-01,86.37
2006-08-01,85.61
2006-09-01,82.96
2006-10-01,84.61
2006-11-01,84.93
2006-12-01,82.20
2007-01-01,83.96
2007-02-01,89.15
2007-03-01,84.97
2007-04-01,86.33
2007-05-01,86.45
2007-06-01,84.82
2007-07-01,83.83
2007-08-01,87.73
2007-09-01,87.70
2007-10-01,86.54
2007-11-01,86.48
2007-12-01,84.69
2008-01-01,85.62
2008-02-01,86.67
2008-03-01,85.85
2008-04-01,85.73
2008-05-01,84.55
2008-06-01,85.64
2008-07-01,84.33
2008-08-01,81.13
2008-09-01,82.59
2008-10-01,83.04
2008-11-01,84.05
2008-12-01,83.56
2009-01-01,83.36
2009-02-01,80.87
2009-03-01,81.84
2009-04-01,81.40
2009-05-01,80.19
2009-06-01,79.45
2009-07-01,78.31
2009-08-01,79.12
2009-09-01,79.97
2009-10-01,81.71
2009-11-01,79.24
2009-12-01,83.45
2010-01-01,83.85
2010-02-01,85.02
2010-03-01,82.10
2010-04-01,79.54
2010-05-01,82.81
2010-06-01,84.40
2010-07-01,83.59
2010-08-01,83.76
2010-09-01,83.70
2010-10-01,80.84
2010-11-01,81.77
2010-12-01,85.91
2011-01-01,84.08
2011-02-01,82.44
2011-03-01,82.11
2011-04-01,81.68
2011-05-01,81.11
2011-06-01,81.92
2011-07-01,83.18
2011-08-01,82.98
2011-09-01,81.41
2011-10-01,80.23
2011-11-01,79.57
2011-12-01,78.35
2012-01-01,76.19
2012-02-01,76.56
2012-03-01,75.43
2012-04-01,78.06
2012-05-01,81.34
2012-06-01,79.50
2012-07-01,80.87
2012-08-01,79.90
2012-09-01,78.50
2012-10-01,79.90
2012-11-01,79.15
2012-12-01,76.86
2013-01-01,78.02
2013-02-01,78.32
2013-03-01,81.55
2013-04-01,81.40
2013-05-01,79.62
2013-06-01,78.77
2013-07-01,78.67
2013-08-01,78.50
2013-09-01,79.48
2013-10-01,80.66
2013-11-01,81.70
2013-12-01,83.80
2014-01-01,84.57
2014-02-01,83.33
2014-03-01,83.10
2014-04-01,80.92
2014-05-01,80.71
2014-06-01,79.22
2014-07-01,77.43
2014-08-01,78.05
2014-09-01,79.70
2014-10-01,80.17
2014-11-01,82.78
2014-12-01,80.64
2015-01-01,81.46
2015-02-01,84.53
2015-03-01,82.42
2015-04-01,80.40
2015-05-01,79.58
2015-06-01,79.87
2015-07-01,79.40
2015-08-01,79.61
2015-09-01,80.27
2015-10-01,79.20
2015-11-01,77.38
2015-12-01,76.02
2016-01-01,79.15
2016-02-01,77.25
2016-03-01,74.65
2016-04-01,79.53
2016-05-01,78.70
2016-06-01,80.06
2016-07-01,80.35
2016-08-01,81.81
2016-09-01,79.64
2016-10-01,77.52
2016-11-01,75.95
2016-12-01,80.72
2017-01-01,75.76
2017-02-01,70.19
2017-03-01,76.43
2017-04-01,76.16
2017-05-01,77.86
2017-06-01,76.55
2017-07-01,77.13
2017-08-01,75.87
2017-09-01,75.15
2017-10-01,77.44
2017-11-01,77.58
2017-12-01,79.93
2018-01-01,81.47
2018-02-01,73.55
2018-03-01,76.45
2018-04-01,78.75
2018-05-01,79.44
