Date,UMXTTI
2000-12-01,400885000000.00
2001-01-01,410855000000.00
2001-02-01,411469000000.00
2001-03-01,403096000000.00
2001-04-01,403100000000.00
2001-05-01,400489000000.00
2001-06-01,390769000000.00
2001-07-01,389131000000.00
2001-08-01,385895000000.00
2001-09-01,377854000000.00
2001-10-01,376027000000.00
2001-11-01,370242000000.00
2001-12-01,355422000000.00
2002-01-01,360556000000.00
2002-02-01,359749000000.00
2002-03-01,354800000000.00
2002-04-01,357010000000.00
2002-05-01,356637000000.00
2002-06-01,352579000000.00
2002-07-01,356563000000.00
2002-08-01,358505000000.00
2002-09-01,357485000000.00
2002-10-01,360318000000.00
2002-11-01,359416000000.00
2002-12-01,351130000000.00
2003-01-01,356596000000.00
2003-02-01,364120000000.00
2003-03-01,358983000000.00
2003-04-01,360092000000.00
2003-05-01,359232000000.00
2003-06-01,352577000000.00
2003-07-01,353443000000.00
2003-08-01,352614000000.00
2003-09-01,347796000000.00
2003-10-01,350028000000.00
2003-11-01,347824000000.00
2003-12-01,337848000000.00
2004-01-01,344223000000.00
2004-02-01,350446000000.00
2004-03-01,349906000000.00
2004-04-01,353605000000.00
2004-05-01,358224000000.00
2004-06-01,357315000000.00
2004-07-01,363665000000.00
2004-08-01,367388000000.00
2004-09-01,365947000000.00
2004-10-01,372506000000.00
2004-11-01,374069000000.00
2004-12-01,365684000000.00
2005-01-01,379348000000.00
2005-02-01,386787000000.00
2005-03-01,387232000000.00
2005-04-01,391899000000.00
2005-05-01,393089000000.00
2005-06-01,390185000000.00
2005-07-01,397326000000.00
2005-08-01,398493000000.00
2005-09-01,396788000000.00
2005-10-01,402816000000.00
2005-11-01,402617000000.00
2005-12-01,396431000000.00
2006-01-01,411069000000.00
2006-02-01,415838000000.00
2006-03-01,416652000000.00
2006-04-01,424028000000.00
2006-05-01,429009000000.00
2006-06-01,428377000000.00
2006-07-01,436624000000.00
2006-08-01,441455000000.00
2006-09-01,441153000000.00
2006-10-01,445315000000.00
2006-11-01,444262000000.00
2006-12-01,434339000000.00
2007-01-01,444758000000.00
2007-02-01,450663000000.00
2007-03-01,448954000000.00
2007-04-01,454432000000.00
2007-05-01,459822000000.00
2007-06-01,457755000000.00
2007-07-01,462354000000.00
2007-08-01,463248000000.00
2007-09-01,465648000000.00
2007-10-01,469952000000.00
2007-11-01,470869000000.00
2007-12-01,463147000000.00
2008-01-01,478787000000.00
2008-02-01,484722000000.00
2008-03-01,485723000000.00
2008-04-01,487644000000.00
2008-05-01,490939000000.00
2008-06-01,492136000000.00
2008-07-01,498440000000.00
2008-08-01,501196000000.00
2008-09-01,491952000000.00
2008-10-01,487125000000.00
2008-11-01,477366000000.00
2008-12-01,449556000000.00
2009-01-01,453671000000.00
2009-02-01,449387000000.00
2009-03-01,440711000000.00
2009-04-01,435743000000.00
2009-05-01,433281000000.00
2009-06-01,424754000000.00
2009-07-01,423694000000.00
2009-08-01,423690000000.00
2009-09-01,418348000000.00
2009-10-01,422477000000.00
2009-11-01,421917000000.00
2009-12-01,411980000000.00
2010-01-01,420253000000.00
2010-02-01,427054000000.00
2010-03-01,427256000000.00
2010-04-01,431529000000.00
2010-05-01,432922000000.00
2010-06-01,431249000000.00
2010-07-01,438917000000.00
2010-08-01,441210000000.00
2010-09-01,441829000000.00
2010-10-01,450790000000.00
2010-11-01,452884000000.00
2010-12-01,447930000000.00
2011-01-01,464006000000.00
2011-02-01,473415000000.00
2011-03-01,476886000000.00
2011-04-01,488946000000.00
2011-05-01,495102000000.00
2011-06-01,490312000000.00
2011-07-01,498188000000.00
2011-08-01,499551000000.00
2011-09-01,494521000000.00
2011-10-01,503863000000.00
2011-11-01,502533000000.00
2011-12-01,489188000000.00
2012-01-01,503139000000.00
2012-02-01,509896000000.00
2012-03-01,508893000000.00
2012-04-01,512361000000.00
2012-05-01,511326000000.00
2012-06-01,503572000000.00
2012-07-01,509771000000.00
2012-08-01,511528000000.00
2012-09-01,512780000000.00
2012-10-01,514746000000.00
2012-11-01,510681000000.00
2012-12-01,499123000000.00
2013-01-01,511947000000.00
2013-02-01,516605000000.00
2013-03-01,515648000000.00
2013-04-01,517124000000.00
2013-05-01,515808000000.00
2013-06-01,508786000000.00
2013-07-01,514774000000.00
2013-08-01,517086000000.00
2013-09-01,513656000000.00
2013-10-01,515887000000.00
2013-11-01,511157000000.00
2013-12-01,499298000000.00
2014-01-01,511767000000.00
2014-02-01,521156000000.00
2014-03-01,519666000000.00
2014-04-01,524106000000.00
2014-05-01,529244000000.00
2014-06-01,521699000000.00
2014-07-01,527314000000.00
2014-08-01,529183000000.00
2014-09-01,525579000000.00
2014-10-01,526320000000.00
2014-11-01,523148000000.00
2014-12-01,504424000000.00
2015-01-01,514045000000.00
2015-02-01,516920000000.00
2015-03-01,514039000000.00
2015-04-01,517489000000.00
2015-05-01,519179000000.00
2015-06-01,514106000000.00
2015-07-01,517905000000.00
2015-08-01,515832000000.00
2015-09-01,509363000000.00
2015-10-01,512105000000.00
2015-11-01,507993000000.00
2015-12-01,491586000000.00
2016-01-01,498138000000.00
2016-02-01,499808000000.00
2016-03-01,496962000000.00
2016-04-01,500005000000.00
2016-05-01,502497000000.00
2016-06-01,497774000000.00
2016-07-01,502602000000.00
2016-08-01,504788000000.00
2016-09-01,499906000000.00
2016-10-01,503827000000.00
2016-11-01,503236000000.00
2016-12-01,493007000000.00
2017-01-01,506431000000.00
2017-02-01,511127000000.00
2017-03-01,508419000000.00
2017-04-01,513703000000.00
2017-05-01,514832000000.00
2017-06-01,510062000000.00
2017-07-01,518129000000.00
2017-08-01,521086000000.00
2017-09-01,520632000000.00
2017-10-01,526449000000.00
2017-11-01,526821000000.00
2017-12-01,518569000000.00
2018-01-01,532054000000.00
2018-02-01,537472000000.00
2018-03-01,535630000000.00
2018-04-01,540774000000.00
