Date,WHLSLRIRNSA
2006-05-01,1.10
2006-06-01,1.10
2006-07-01,1.21
2006-08-01,1.10
2006-09-01,1.19
2006-10-01,1.16
2006-11-01,1.22
2006-12-01,1.23
2007-01-01,1.25
2007-02-01,1.32
2007-03-01,1.14
2007-04-01,1.17
2007-05-01,1.10
2007-06-01,1.13
2007-07-01,1.18
2007-08-01,1.09
2007-09-01,1.19
2007-10-01,1.08
2007-11-01,1.15
2007-12-01,1.22
2008-01-01,1.20
2008-02-01,1.25
2008-03-01,1.15
2008-04-01,1.12
2008-05-01,1.10
2008-06-01,1.09
2008-07-01,1.11
2008-08-01,1.16
2008-09-01,1.17
2008-10-01,1.17
2008-11-01,1.45
2008-12-01,1.36
2009-01-01,1.51
2009-02-01,1.54
2009-03-01,1.34
2009-04-01,1.34
2009-05-01,1.33
2009-06-01,1.22
2009-07-01,1.23
2009-08-01,1.22
2009-09-01,1.18
2009-10-01,1.16
2009-11-01,1.23
2009-12-01,1.16
2010-01-01,1.28
2010-02-01,1.29
2010-03-01,1.07
2010-04-01,1.10
2010-05-01,1.13
2010-06-01,1.08
2010-07-01,1.14
2010-08-01,1.11
2010-09-01,1.14
2010-10-01,1.16
2010-11-01,1.16
2010-12-01,1.15
2011-01-01,1.24
2011-02-01,1.30
2011-03-01,1.06
2011-04-01,1.13
2011-05-01,1.12
2011-06-01,1.10
2011-07-01,1.20
2011-08-01,1.08
2011-09-01,1.12
2011-10-01,1.15
2011-11-01,1.17
2011-12-01,1.17
2012-01-01,1.23
2012-02-01,1.24
2012-03-01,1.11
2012-04-01,1.15
2012-05-01,1.09
2012-06-01,1.15
2012-07-01,1.19
2012-08-01,1.12
2012-09-01,1.22
2012-10-01,1.14
2012-11-01,1.19
2012-12-01,1.23
2013-01-01,1.24
2013-02-01,1.32
2013-03-01,1.19
2013-04-01,1.17
2013-05-01,1.11
2013-06-01,1.18
2013-07-01,1.16
2013-08-01,1.15
2013-09-01,1.20
2013-10-01,1.12
2013-11-01,1.23
2013-12-01,1.19
2014-01-01,1.27
2014-02-01,1.36
2014-03-01,1.20
2014-04-01,1.18
2014-05-01,1.16
2014-06-01,1.17
2014-07-01,1.17
2014-08-01,1.20
2014-09-01,1.19
2014-10-01,1.16
2014-11-01,1.32
2014-12-01,1.22
2015-01-01,1.40
2015-02-01,1.49
2015-03-01,1.30
2015-04-01,1.29
2015-05-01,1.31
2015-06-01,1.24
2015-07-01,1.29
2015-08-01,1.33
2015-09-01,1.30
2015-10-01,1.28
2015-11-01,1.39
2015-12-01,1.30
2016-01-01,1.54
2016-02-01,1.49
2016-03-01,1.30
2016-04-01,1.39
2016-05-01,1.33
2016-06-01,1.26
2016-07-01,1.40
2016-08-01,1.26
2016-09-01,1.30
2016-10-01,1.31
2016-11-01,1.33
2016-12-01,1.30
2017-01-01,1.42
2017-02-01,1.47
2017-03-01,1.24
2017-04-01,1.35
2017-05-01,1.24
2017-06-01,1.23
2017-07-01,1.36
2017-08-01,1.23
2017-09-01,1.30
2017-10-01,1.23
2017-11-01,1.27
2017-12-01,1.27
2018-01-01,1.36
2018-02-01,1.45
2018-03-01,1.26
2018-04-01,1.30
