Date,CPIETRANS
1993-11-01,138.50
1993-12-01,138.10
1994-01-01,137.70
1994-02-01,138.10
1994-03-01,138.60
1994-04-01,138.90
1994-05-01,138.70
1994-06-01,139.50
1994-07-01,140.30
1994-08-01,141.50
1994-09-01,141.30
1994-10-01,141.40
1994-11-01,142.20
1994-12-01,142.00
1995-01-01,142.30
1995-02-01,142.40
1995-03-01,143.00
1995-04-01,144.00
1995-05-01,145.20
1995-06-01,146.20
1995-07-01,145.50
1995-08-01,144.40
1995-09-01,144.00
1995-10-01,144.70
1995-11-01,144.70
1995-12-01,144.00
1996-01-01,144.90
1996-02-01,145.70
1996-03-01,146.50
1996-04-01,148.40
1996-05-01,149.70
1996-06-01,149.50
1996-07-01,149.00
1996-08-01,148.30
1996-09-01,148.90
1996-10-01,149.80
1996-11-01,150.70
1996-12-01,151.30
1997-01-01,150.90
1997-02-01,150.60
1997-03-01,151.00
1997-04-01,150.90
1997-05-01,150.50
1997-06-01,150.20
1997-07-01,150.00
1997-08-01,150.00
1997-09-01,150.50
1997-10-01,151.00
1997-11-01,150.30
1997-12-01,149.60
1998-01-01,149.20
1998-02-01,148.70
1998-03-01,148.10
1998-04-01,148.10
1998-05-01,148.60
1998-06-01,148.20
1998-07-01,148.40
1998-08-01,147.80
1998-09-01,147.10
1998-10-01,147.80
1998-11-01,147.70
1998-12-01,147.00
1999-01-01,146.80
1999-02-01,146.30
1999-03-01,147.40
1999-04-01,151.20
1999-05-01,151.10
1999-06-01,150.00
1999-07-01,151.70
1999-08-01,152.60
1999-09-01,153.30
1999-10-01,154.30
1999-11-01,154.70
1999-12-01,155.40
2000-01-01,155.50
2000-02-01,157.20
2000-03-01,161.30
2000-04-01,160.50
2000-05-01,160.80
2000-06-01,163.80
2000-07-01,162.80
2000-08-01,160.90
2000-09-01,162.50
2000-10-01,162.00
2000-11-01,162.80
2000-12-01,161.80
2001-01-01,162.00
2001-02-01,162.60
2001-03-01,161.40
2001-04-01,163.70
2001-05-01,167.00
2001-06-01,166.30
2001-07-01,161.90
2001-08-01,160.90
2001-09-01,163.50
2001-10-01,159.70
2001-11-01,157.40
2001-12-01,155.70
2002-01-01,155.90
2002-02-01,155.70
2002-03-01,157.70
2002-04-01,160.80
2002-05-01,161.00
2002-06-01,160.50
2002-07-01,160.70
2002-08-01,160.90
2002-09-01,161.00
2002-10-01,162.00
2002-11-01,162.50
2002-12-01,161.60
2003-01-01,163.00
2003-02-01,166.20
2003-03-01,168.10
2003-04-01,166.50
2003-05-01,164.60
2003-06-01,164.30
2003-07-01,164.40
2003-08-01,165.70
2003-09-01,166.90
2003-10-01,165.10
2003-11-01,164.00
2003-12-01,163.10
2004-01-01,165.50
2004-02-01,167.30
2004-03-01,169.10
2004-04-01,170.40
2004-05-01,173.70
2004-06-01,174.40
2004-07-01,172.60
2004-08-01,171.40
2004-09-01,171.30
2004-10-01,174.90
2004-11-01,175.80
2004-12-01,173.40
2005-01-01,172.60
2005-02-01,174.60
2005-03-01,177.40
2005-04-01,181.90
2005-05-01,180.80
2005-06-01,180.60
2005-07-01,183.40
2005-08-01,186.50
2005-09-01,195.40
2005-10-01,193.20
2005-11-01,184.70
2005-12-01,181.80
2006-01-01,185.00
2006-02-01,184.90
2006-03-01,186.40
2006-04-01,192.80
2006-05-01,196.10
2006-06-01,195.70
2006-07-01,197.50
2006-08-01,196.90
2006-09-01,189.30
2006-10-01,184.00
2006-11-01,183.00
2006-12-01,184.50
2007-01-01,183.78
2007-02-01,184.21
2007-03-01,189.51
2007-04-01,194.19
2007-05-01,198.61
2007-06-01,197.81
2007-07-01,196.58
2007-08-01,193.39
2007-09-01,193.33
2007-10-01,193.76
2007-11-01,199.40
2007-12-01,198.81
2008-01-01,199.55
2008-02-01,199.33
2008-03-01,203.74
2008-04-01,206.99
2008-05-01,213.56
2008-06-01,219.88
2008-07-01,221.06
2008-08-01,215.37
2008-09-01,212.51
2008-10-01,201.75
2008-11-01,183.50
2008-12-01,174.85
2009-01-01,176.78
2009-02-01,179.75
2009-03-01,179.88
2009-04-01,182.11
2009-05-01,186.04
2009-06-01,193.53
2009-07-01,192.92
2009-08-01,194.14
2009-09-01,193.64
2009-10-01,195.28
2009-11-01,198.50
2009-12-01,198.10
2010-01-01,199.92
2010-02-01,199.18
2010-03-01,201.63
2010-04-01,203.45
2010-05-01,204.21
2010-06-01,202.38
2010-07-01,202.77
2010-08-01,203.09
2010-09-01,202.15
2010-10-01,203.94
2010-11-01,205.45
2010-12-01,207.88
2011-01-01,210.34
2011-02-01,212.44
2011-03-01,219.93
2011-04-01,225.33
2011-05-01,228.47
2011-06-01,225.55
2011-07-01,224.86
2011-08-01,224.76
2011-09-01,223.87
2011-10-01,221.17
2011-11-01,220.63
2011-12-01,218.09
2012-01-01,220.10
2012-02-01,223.41
2012-03-01,229.24
2012-04-01,231.36
2012-05-01,229.16
2012-06-01,225.05
2012-07-01,223.11
2012-08-01,227.51
2012-09-01,230.09
2012-10-01,228.88
2012-11-01,224.04
2012-12-01,221.71
2013-01-01,222.22
2013-02-01,228.51
2013-03-01,230.01
2013-04-01,227.81
2013-05-01,228.64
2013-06-01,229.19
2013-07-01,229.21
2013-08-01,228.41
2013-09-01,227.31
2013-10-01,224.51
2013-11-01,222.78
2013-12-01,222.87
2014-01-01,223.44
2014-02-01,224.70
2014-03-01,228.19
2014-04-01,231.56
2014-05-01,233.22
2014-06-01,233.32
2014-07-01,231.55
2014-08-01,228.16
2014-09-01,226.51
2014-10-01,223.37
2014-11-01,218.35
2014-12-01,211.83
2015-01-01,203.57
2015-02-01,206.34
2015-03-01,211.29
2015-04-01,212.20
2015-05-01,217.93
2015-06-01,219.57
2015-07-01,218.70
2015-08-01,215.02
2015-09-01,209.78
2015-10-01,208.44
2015-11-01,207.48
2015-12-01,204.81
2016-01-01,203.57
2016-02-01,201.11
2016-03-01,204.68
2016-04-01,208.70
2016-05-01,211.82
2016-06-01,213.40
2016-07-01,210.31
2016-08-01,208.42
2016-09-01,208.66
2016-10-01,209.68
2016-11-01,209.23
2016-12-01,210.05
2017-01-01,213.12
2017-02-01,213.01
2017-03-01,213.84
2017-04-01,216.01
2017-05-01,215.82
2017-06-01,214.89
2017-07-01,213.14
2017-08-01,213.96
2017-09-01,217.72
2017-10-01,215.74
2017-11-01,217.31
2017-12-01,216.57
2018-01-01,218.95
2018-02-01,220.95
2018-03-01,221.23
2018-04-01,223.95
2018-05-01,227.17
