Date,DHHNGSP
2000-11-10,5240000.00
2000-11-13,5590000.00
2000-11-14,5810000.00
2000-11-15,5950000.00
2000-11-16,5940000.00
2000-11-17,5620000.00
2000-11-20,6230000.00
2000-11-21,6350000.00
2000-11-22,6300000.00
2000-11-27,6240000.00
2000-11-28,5900000.00
2000-11-29,5930000.00
2000-11-30,6310000.00
2000-12-01,6530000.00
2000-12-04,7410000.00
2000-12-05,8030000.00
2000-12-06,8750000.00
2000-12-07,8480000.00
2000-12-08,8130000.00
2000-12-11,9960000.00
2000-12-12,8580000.00
2000-12-13,7800000.00
2000-12-14,7480000.00
2000-12-15,8030000.00
2000-12-18,9280000.00
2000-12-19,9110000.00
2000-12-20,9950000.00
2000-12-21,10490000.00
2000-12-22,10480000.00
2000-12-26,10230000.00
2000-12-27,9580000.00
2000-12-28,9220000.00
2000-12-29,10480000.00
2001-01-02,9970000.00
2001-01-03,9710000.00
2001-01-04,9450000.00
2001-01-05,10030000.00
2001-01-08,10310000.00
2001-01-09,9950000.00
2001-01-10,9910000.00
2001-01-11,8950000.00
2001-01-12,8750000.00
2001-01-16,8160000.00
2001-01-17,7850000.00
2001-01-18,7090000.00
2001-01-19,7610000.00
2001-01-22,7700000.00
2001-01-23,7020000.00
2001-01-24,6810000.00
2001-01-25,6810000.00
2001-01-26,7000000.00
2001-01-29,6760000.00
2001-01-30,5960000.00
2001-01-31,5830000.00
2001-02-01,5820000.00
2001-02-02,6760000.00
2001-02-05,6150000.00
2001-02-06,5590000.00
2001-02-07,5670000.00
2001-02-08,6240000.00
2001-02-09,6240000.00
2001-02-12,5740000.00
2001-02-13,5580000.00
2001-02-14,5890000.00
2001-02-15,5350000.00
2001-02-16,5570000.00
2001-02-20,5170000.00
2001-02-21,5200000.00
2001-02-22,5110000.00
2001-02-23,5050000.00
2001-02-26,5070000.00
2001-02-27,5070000.00
2001-02-28,5250000.00
2001-03-01,5250000.00
2001-03-02,5060000.00
2001-03-05,5320000.00
2001-03-06,5270000.00
2001-03-07,5220000.00
2001-03-08,5250000.00
2001-03-09,5130000.00
2001-03-12,4980000.00
2001-03-13,5080000.00
2001-03-14,4990000.00
2001-03-15,5270000.00
2001-03-16,5270000.00
2001-03-19,5270000.00
2001-03-20,5270000.00
2001-03-21,5160000.00
2001-03-22,5160000.00
2001-03-23,5160000.00
2001-03-26,5230000.00
2001-03-27,5470000.00
2001-03-28,5600000.00
2001-03-29,5310000.00
2001-03-30,5350000.00
2001-04-02,5250000.00
2001-04-03,5250000.00
2001-04-04,5240000.00
2001-04-05,5270000.00
2001-04-06,5330000.00
2001-04-09,5450000.00
2001-04-10,5550000.00
2001-04-11,5450000.00
2001-04-12,5320000.00
2001-04-16,5480000.00
2001-04-17,5360000.00
2001-04-18,5150000.00
2001-04-19,5060000.00
