Date,NCBEILQ027S
1968-04-01,731114000000.00
1968-07-01,728536000000.00
1968-10-01,843150000000.00
1969-01-01,803399000000.00
1969-04-01,774485000000.00
1969-07-01,743955000000.00
1969-10-01,705075000000.00
1970-01-01,677754000000.00
1970-04-01,541573000000.00
1970-07-01,633467000000.00
1970-10-01,702189000000.00
1971-01-01,774490000000.00
1971-04-01,778343000000.00
1971-07-01,765304000000.00
1971-10-01,823753000000.00
1972-01-01,871948000000.00
1972-04-01,874936000000.00
1972-07-01,893435000000.00
1972-10-01,1032664000000.00
1973-01-01,970552000000.00
1973-04-01,903639000000.00
1973-07-01,953484000000.00
1973-10-01,809377000000.00
1974-01-01,784167000000.00
1974-04-01,723296000000.00
1974-07-01,540407000000.00
1974-10-01,557581000000.00
1975-01-01,684902000000.00
1975-04-01,791599000000.00
1975-07-01,701690000000.00
1975-10-01,754817000000.00
1976-01-01,868179000000.00
1976-04-01,887651000000.00
1976-07-01,897275000000.00
1976-10-01,927300000000.00
1977-01-01,856996000000.00
1977-04-01,881959000000.00
1977-07-01,845194000000.00
1977-10-01,819054000000.00
1978-01-01,773767000000.00
1978-04-01,833089000000.00
1978-07-01,895681000000.00
1978-10-01,856213000000.00
1979-01-01,910760000000.00
1979-04-01,920994000000.00
1979-07-01,980996000000.00
1979-10-01,1014625000000.00
1980-01-01,956763000000.00
1980-04-01,1076420000000.00
1980-07-01,1213806000000.00
1980-10-01,1346332000000.00
1981-01-01,1350793000000.00
1981-04-01,1315628000000.00
1981-07-01,1135956000000.00
1981-10-01,1225445000000.00
1982-01-01,1090243000000.00
1982-04-01,1073469000000.00
1982-07-01,1172612000000.00
1982-10-01,1386269000000.00
1983-01-01,1533575000000.00
1983-04-01,1736437000000.00
1983-07-01,1709243000000.00
1983-10-01,1630197000000.00
1984-01-01,1527519000000.00
1984-04-01,1455724000000.00
1984-07-01,1542913000000.00
1984-10-01,1553280000000.00
1985-01-01,1671084000000.00
1985-04-01,1743624000000.00
1985-07-01,1641750000000.00
1985-10-01,1916908000000.00
1986-01-01,2136797000000.00
1986-04-01,2244577000000.00
1986-07-01,2031804000000.00
1986-10-01,2240835000000.00
1987-01-01,2708148000000.00
1987-04-01,2783592000000.00
1987-07-01,2944431000000.00
1987-10-01,2286653000000.00
1988-01-01,2419233000000.00
1988-04-01,2514872000000.00
1988-07-01,2459275000000.00
1988-10-01,2558076000000.00
1989-01-01,2669423000000.00
1989-04-01,2835812000000.00
1989-07-01,3056089000000.00
1989-10-01,3138600000000.00
1990-01-01,3005478000000.00
1990-04-01,3134877000000.00
1990-07-01,2653601000000.00
1990-10-01,2955814000000.00
1991-01-01,3396441000000.00
1991-04-01,3354319000000.00
1991-07-01,3536308000000.00
1991-10-01,3998481000000.00
1992-01-01,3908353000000.00
1992-04-01,3870341000000.00
1992-07-01,3966349000000.00
1992-10-01,4361179000000.00
1993-01-01,4481787000000.00
1993-04-01,4502439000000.00
1993-07-01,4628385000000.00
1993-10-01,4842338000000.00
1994-01-01,4630536000000.00
1994-04-01,4541826000000.00
1994-07-01,4800739000000.00
1994-10-01,4796829000000.00
1995-01-01,5167983000000.00
1995-04-01,5594356000000.00
1995-07-01,6024123000000.00
1995-10-01,6406754000000.00
1996-01-01,6683652000000.00
1996-04-01,6988156000000.00
1996-07-01,7047824000000.00
1996-10-01,6781162000000.00
1997-01-01,6746875000000.00
1997-04-01,7895524000000.00
1997-07-01,8631467000000.00
1997-10-01,8620633000000.00
1998-01-01,9857673000000.00
1998-04-01,10080598000000.00
1998-07-01,8953792000000.00
1998-10-01,10888226000000.00
1999-01-01,11139755000000.00
1999-04-01,12100348000000.00
1999-07-01,11483468000000.00
1999-10-01,14225958000000.00
2000-01-01,15173471000000.00
2000-04-01,14390139000000.00
2000-07-01,14137066000000.00
2000-10-01,12173947000000.00
2001-01-01,10493136000000.00
2001-04-01,11397674000000.00
2001-07-01,9378649000000.00
2001-10-01,10782025000000.00
2002-01-01,10829582000000.00
2002-04-01,9215782000000.00
2002-07-01,7525370000000.00
2002-10-01,8158227000000.00
2003-01-01,7870716000000.00
2003-04-01,9199250000000.00
2003-07-01,9578545000000.00
2003-10-01,10797222000000.00
2004-01-01,10999658000000.00
2004-04-01,11205316000000.00
2004-07-01,10826108000000.00
2004-10-01,12034577000000.00
2005-01-01,11981166000000.00
2005-04-01,12160821000000.00
2005-07-01,12665523000000.00
2005-10-01,12654418000000.00
2006-01-01,13688262000000.00
2006-04-01,13114593000000.00
2006-07-01,13465140000000.00
2006-10-01,14359408000000.00
2007-01-01,14870995000000.00
2007-04-01,15868722000000.00
2007-07-01,16114347000000.00
2007-10-01,15477409000000.00
2008-01-01,14064001000000.00
2008-04-01,13963277000000.00
2008-07-01,12332010000000.00
2008-10-01,9612179000000.00
2009-01-01,8563490000000.00
2009-04-01,9957969000000.00
2009-07-01,11527166000000.00
2009-10-01,12218354000000.00
2010-01-01,12603552000000.00
2010-04-01,11112662000000.00
2010-07-01,12456624000000.00
2010-10-01,13904707000000.00
2011-01-01,14813181000000.00
2011-04-01,14705245000000.00
2011-07-01,12368770000000.00
2011-10-01,13758674000000.00
2012-01-01,15449627000000.00
2012-04-01,14877647000000.00
2012-07-01,15673481000000.00
2012-10-01,15434694000000.00
2013-01-01,17382312000000.00
2013-04-01,17609039000000.00
2013-07-01,18739101000000.00
2013-10-01,20448450000000.00
2014-01-01,20929131000000.00
2014-04-01,21971408000000.00
2014-07-01,21764762000000.00
2014-10-01,22629972000000.00
2015-01-01,22870043000000.00
2015-04-01,22520256000000.00
2015-07-01,20530840000000.00
2015-10-01,21521133000000.00
2016-01-01,21632445000000.00
2016-04-01,21982556000000.00
2016-07-01,22751164000000.00
2016-10-01,23064562000000.00
2017-01-01,24265264000000.00
2017-04-01,24683450000000.00
2017-07-01,25559510000000.00
2017-10-01,26873356000000.00
2018-01-01,26494989000000.00
