Date,U34XVS
1999-09-01,9998000000.00
1999-10-01,7858000000.00
1999-11-01,8354000000.00
1999-12-01,11390000000.00
2000-01-01,7271000000.00
2000-02-01,8297000000.00
2000-03-01,10804000000.00
2000-04-01,8334000000.00
2000-05-01,9412000000.00
2000-06-01,11273000000.00
2000-07-01,8370000000.00
2000-08-01,8970000000.00
2000-09-01,12430000000.00
2000-10-01,9622000000.00
2000-11-01,9740000000.00
2000-12-01,14212000000.00
2001-01-01,8397000000.00
2001-02-01,8964000000.00
2001-03-01,11551000000.00
2001-04-01,8024000000.00
2001-05-01,8384000000.00
2001-06-01,10372000000.00
2001-07-01,7137000000.00
2001-08-01,7280000000.00
2001-09-01,8868000000.00
2001-10-01,6800000000.00
2001-11-01,6665000000.00
2001-12-01,9562000000.00
2002-01-01,4789000000.00
2002-02-01,5494000000.00
2002-03-01,6717000000.00
2002-04-01,5212000000.00
2002-05-01,5310000000.00
2002-06-01,6381000000.00
2002-07-01,4433000000.00
2002-08-01,4733000000.00
2002-09-01,6052000000.00
2002-10-01,4284000000.00
2002-11-01,5310000000.00
2002-12-01,6350000000.00
2003-01-01,3891000000.00
2003-02-01,4329000000.00
2003-03-01,5873000000.00
2003-04-01,4083000000.00
2003-05-01,4398000000.00
2003-06-01,6106000000.00
2003-07-01,4256000000.00
2003-08-01,4719000000.00
2003-09-01,6069000000.00
2003-10-01,4817000000.00
2003-11-01,5295000000.00
2003-12-01,7107000000.00
2004-01-01,4358000000.00
2004-02-01,4666000000.00
2004-03-01,5991000000.00
2004-04-01,4764000000.00
2004-05-01,5099000000.00
2004-06-01,5773000000.00
2004-07-01,4200000000.00
2004-08-01,5067000000.00
2004-09-01,5589000000.00
2004-10-01,4674000000.00
2004-11-01,5044000000.00
2004-12-01,6144000000.00
2005-01-01,4024000000.00
2005-02-01,4228000000.00
2005-03-01,5978000000.00
2005-04-01,3875000000.00
2005-05-01,4669000000.00
2005-06-01,5583000000.00
2005-07-01,4024000000.00
2005-08-01,4726000000.00
2005-09-01,5723000000.00
2005-10-01,4756000000.00
2005-11-01,4841000000.00
2005-12-01,6487000000.00
2006-01-01,4827000000.00
2006-02-01,5042000000.00
2006-03-01,6734000000.00
2006-04-01,5430000000.00
2006-05-01,5681000000.00
2006-06-01,7066000000.00
2006-07-01,4476000000.00
2006-08-01,5561000000.00
2006-09-01,7208000000.00
2006-10-01,5669000000.00
2006-11-01,5907000000.00
2006-12-01,6594000000.00
2007-01-01,4340000000.00
2007-02-01,5078000000.00
2007-03-01,6458000000.00
2007-04-01,4928000000.00
2007-05-01,5274000000.00
2007-06-01,6523000000.00
2007-07-01,4434000000.00
2007-08-01,5201000000.00
2007-09-01,6775000000.00
2007-10-01,4592000000.00
2007-11-01,5110000000.00
2007-12-01,6702000000.00
2008-01-01,3730000000.00
2008-02-01,4268000000.00
2008-03-01,5572000000.00
2008-04-01,3818000000.00
2008-05-01,4275000000.00
2008-06-01,5643000000.00
2008-07-01,3751000000.00
2008-08-01,3974000000.00
2008-09-01,5401000000.00
2008-10-01,3555000000.00
2008-11-01,4583000000.00
2008-12-01,5087000000.00
2009-01-01,2889000000.00
2009-02-01,3082000000.00
2009-03-01,4247000000.00
2009-04-01,2965000000.00
2009-05-01,3214000000.00
2009-06-01,4805000000.00
2009-07-01,3425000000.00
2009-08-01,3764000000.00
2009-09-01,4572000000.00
2009-10-01,3521000000.00
2009-11-01,3921000000.00
2009-12-01,4385000000.00
2010-01-01,2784000000.00
2010-02-01,2929000000.00
2010-03-01,4350000000.00
2010-04-01,3151000000.00
2010-05-01,3496000000.00
2010-06-01,4202000000.00
2010-07-01,3194000000.00
2010-08-01,3485000000.00
2010-09-01,4229000000.00
2010-10-01,3226000000.00
2010-11-01,4049000000.00
2010-12-01,4488000000.00
2011-01-01,3010000000.00
2011-02-01,3245000000.00
2011-03-01,4052000000.00
2011-04-01,3323000000.00
2011-05-01,3544000000.00
2011-06-01,4191000000.00
2011-07-01,3303000000.00
2011-08-01,3613000000.00
2011-09-01,4634000000.00
2011-10-01,3298000000.00
2011-11-01,3733000000.00
2011-12-01,4951000000.00
2012-01-01,2871000000.00
2012-02-01,3325000000.00
2012-03-01,4147000000.00
2012-04-01,3112000000.00
2012-05-01,3669000000.00
2012-06-01,4179000000.00
2012-07-01,3090000000.00
2012-08-01,3422000000.00
2012-09-01,4080000000.00
2012-10-01,3589000000.00
2012-11-01,3589000000.00
2012-12-01,4542000000.00
2013-01-01,3028000000.00
2013-02-01,3317000000.00
2013-03-01,4367000000.00
2013-04-01,3332000000.00
2013-05-01,3772000000.00
2013-06-01,4433000000.00
2013-07-01,3256000000.00
2013-08-01,3667000000.00
2013-09-01,4362000000.00
2013-10-01,3436000000.00
2013-11-01,3353000000.00
2013-12-01,4187000000.00
2014-01-01,2951000000.00
2014-02-01,2913000000.00
2014-03-01,3915000000.00
2014-04-01,2990000000.00
2014-05-01,3155000000.00
2014-06-01,3997000000.00
2014-07-01,2890000000.00
2014-08-01,3155000000.00
2014-09-01,3914000000.00
2014-10-01,2898000000.00
2014-11-01,2688000000.00
2014-12-01,3845000000.00
2015-01-01,2539000000.00
2015-02-01,2693000000.00
2015-03-01,3771000000.00
2015-04-01,2873000000.00
2015-05-01,2945000000.00
2015-06-01,3844000000.00
2015-07-01,2726000000.00
2015-08-01,2999000000.00
2015-09-01,3717000000.00
2015-10-01,2798000000.00
2015-11-01,2909000000.00
2015-12-01,3890000000.00
2016-01-01,2281000000.00
2016-02-01,2599000000.00
2016-03-01,3394000000.00
2016-04-01,2558000000.00
2016-05-01,2855000000.00
2016-06-01,3779000000.00
2016-07-01,2611000000.00
2016-08-01,2962000000.00
2016-09-01,3783000000.00
2016-10-01,2691000000.00
2016-11-01,2816000000.00
2016-12-01,3868000000.00
2017-01-01,2400000000.00
2017-02-01,2509000000.00
2017-03-01,3581000000.00
2017-04-01,2634000000.00
2017-05-01,2953000000.00
2017-06-01,3807000000.00
2017-07-01,2720000000.00
2017-08-01,2907000000.00
2017-09-01,3910000000.00
2017-10-01,3046000000.00
2017-11-01,3126000000.00
2017-12-01,4341000000.00
2018-01-01,2699000000.00
2018-02-01,2708000000.00
2018-03-01,3933000000.00
2018-04-01,3113000000.00
2018-05-01,3183000000.00
