Date,MSPNHSUS
1997-04-01,150000.00
1997-05-01,141000.00
1997-06-01,145000.00
1997-07-01,145900.00
1997-08-01,144000.00
1997-09-01,146300.00
1997-10-01,141500.00
1997-11-01,145000.00
1997-12-01,145900.00
1998-01-01,148000.00
1998-02-01,156000.00
1998-03-01,152700.00
1998-04-01,148000.00
1998-05-01,153200.00
1998-06-01,148000.00
1998-07-01,149900.00
1998-08-01,154900.00
1998-09-01,155000.00
1998-10-01,154500.00
1998-11-01,151000.00
1998-12-01,152500.00
1999-01-01,153100.00
1999-02-01,160000.00
1999-03-01,157300.00
1999-04-01,159900.00
1999-05-01,154400.00
1999-06-01,159300.00
1999-07-01,158200.00
1999-08-01,154800.00
1999-09-01,163200.00
1999-10-01,161100.00
1999-11-01,172000.00
1999-12-01,164800.00
2000-01-01,163500.00
2000-02-01,162400.00
2000-03-01,165100.00
2000-04-01,162600.00
2000-05-01,164700.00
2000-06-01,160100.00
2000-07-01,169000.00
2000-08-01,166600.00
2000-09-01,171500.00
2000-10-01,176300.00
2000-11-01,174700.00
2000-12-01,162000.00
2001-01-01,171300.00
2001-02-01,169100.00
2001-03-01,166300.00
2001-04-01,175200.00
2001-05-01,175300.00
2001-06-01,179400.00
2001-07-01,175000.00
2001-08-01,173700.00
2001-09-01,166400.00
2001-10-01,171300.00
2001-11-01,168100.00
2001-12-01,180200.00
2002-01-01,187100.00
2002-02-01,191100.00
2002-03-01,183400.00
2002-04-01,187100.00
2002-05-01,181000.00
2002-06-01,190600.00
2002-07-01,175600.00
2002-08-01,178900.00
2002-09-01,177500.00
2002-10-01,189200.00
2002-11-01,181200.00
2002-12-01,197600.00
2003-01-01,181700.00
2003-02-01,187000.00
2003-03-01,185100.00
2003-04-01,189500.00
2003-05-01,195500.00
2003-06-01,187900.00
2003-07-01,190200.00
2003-08-01,190500.00
2003-09-01,192000.00
2003-10-01,194100.00
2003-11-01,207100.00
2003-12-01,196000.00
2004-01-01,209500.00
2004-02-01,219600.00
2004-03-01,209600.00
2004-04-01,222300.00
2004-05-01,211700.00
2004-06-01,215700.00
2004-07-01,212400.00
2004-08-01,218100.00
2004-09-01,211600.00
2004-10-01,229200.00
2004-11-01,224500.00
2004-12-01,229600.00
2005-01-01,223100.00
2005-02-01,237300.00
2005-03-01,229300.00
2005-04-01,236300.00
2005-05-01,228300.00
2005-06-01,226100.00
2005-07-01,229200.00
2005-08-01,240100.00
2005-09-01,240400.00
2005-10-01,243900.00
2005-11-01,237900.00
2005-12-01,238600.00
2006-01-01,244900.00
2006-02-01,250800.00
2006-03-01,238800.00
2006-04-01,257000.00
2006-05-01,238200.00
2006-06-01,243200.00
2006-07-01,238100.00
2006-08-01,243900.00
2006-09-01,226700.00
2006-10-01,250400.00
2006-11-01,240100.00
2006-12-01,244700.00
2007-01-01,254400.00
2007-02-01,250800.00
2007-03-01,262600.00
2007-04-01,242500.00
2007-05-01,245000.00
2007-06-01,235500.00
2007-07-01,246200.00
2007-08-01,236500.00
2007-09-01,240300.00
2007-10-01,234300.00
2007-11-01,249100.00
2007-12-01,227700.00
2008-01-01,232400.00
2008-02-01,245300.00
2008-03-01,229300.00
2008-04-01,246400.00
2008-05-01,229300.00
2008-06-01,234300.00
2008-07-01,237300.00
2008-08-01,221000.00
2008-09-01,225200.00
2008-10-01,213200.00
2008-11-01,221600.00
2008-12-01,229600.00
2009-01-01,208600.00
2009-02-01,209700.00
2009-03-01,205100.00
2009-04-01,219200.00
2009-05-01,222300.00
2009-06-01,214700.00
2009-07-01,214200.00
2009-08-01,207100.00
2009-09-01,216600.00
2009-10-01,215100.00
2009-11-01,218800.00
2009-12-01,222600.00
2010-01-01,218200.00
2010-02-01,221900.00
2010-03-01,224800.00
2010-04-01,208300.00
2010-05-01,230500.00
2010-06-01,219500.00
2010-07-01,212100.00
2010-08-01,226600.00
2010-09-01,228000.00
2010-10-01,204200.00
2010-11-01,219600.00
2010-12-01,241200.00
2011-01-01,240100.00
2011-02-01,220100.00
2011-03-01,220500.00
2011-04-01,224700.00
2011-05-01,222000.00
2011-06-01,240200.00
2011-07-01,229900.00
2011-08-01,219600.00
2011-09-01,217000.00
2011-10-01,224800.00
2011-11-01,214300.00
2011-12-01,218600.00
2012-01-01,221700.00
2012-02-01,239900.00
2012-03-01,239800.00
2012-04-01,236400.00
2012-05-01,239200.00
2012-06-01,232600.00
2012-07-01,237400.00
2012-08-01,253200.00
2012-09-01,254600.00
2012-10-01,247200.00
2012-11-01,245000.00
2012-12-01,258300.00
2013-01-01,251500.00
2013-02-01,265100.00
2013-03-01,257500.00
2013-04-01,279300.00
2013-05-01,263700.00
2013-06-01,259800.00
2013-07-01,262200.00
2013-08-01,255300.00
2013-09-01,269800.00
2013-10-01,264300.00
2013-11-01,277100.00
2013-12-01,275500.00
2014-01-01,269800.00
2014-02-01,268400.00
2014-03-01,282300.00
2014-04-01,274500.00
2014-05-01,285600.00
2014-06-01,287000.00
2014-07-01,280400.00
2014-08-01,291700.00
2014-09-01,261500.00
2014-10-01,297000.00
2014-11-01,298300.00
2014-12-01,301500.00
2015-01-01,292000.00
2015-02-01,286600.00
2015-03-01,286600.00
2015-04-01,294500.00
2015-05-01,287500.00
2015-06-01,285100.00
2015-07-01,292300.00
2015-08-01,293000.00
2015-09-01,299500.00
2015-10-01,298000.00
2015-11-01,312600.00
2015-12-01,297100.00
2016-01-01,288400.00
2016-02-01,305800.00
2016-03-01,303200.00
2016-04-01,318300.00
2016-05-01,295200.00
2016-06-01,311200.00
2016-07-01,297400.00
2016-08-01,298900.00
2016-09-01,314800.00
2016-10-01,302800.00
2016-11-01,315000.00
2016-12-01,327000.00
2017-01-01,315200.00
2017-02-01,298000.00
2017-03-01,321700.00
2017-04-01,311100.00
2017-05-01,323600.00
2017-06-01,315200.00
2017-07-01,322900.00
2017-08-01,314200.00
2017-09-01,331500.00
2017-10-01,319500.00
2017-11-01,343400.00
2017-12-01,343300.00
2018-01-01,329600.00
2018-02-01,327200.00
2018-03-01,334200.00
2018-04-01,318500.00
2018-05-01,313000.00
