Date,U33EUO
2007-12-01,14326000000.00
2008-01-01,15310000000.00
2008-02-01,15650000000.00
2008-03-01,15509000000.00
2008-04-01,16270000000.00
2008-05-01,16028000000.00
2008-06-01,15553000000.00
2008-07-01,16504000000.00
2008-08-01,15915000000.00
2008-09-01,15500000000.00
2008-10-01,15479000000.00
2008-11-01,14732000000.00
2008-12-01,13612000000.00
2009-01-01,12545000000.00
2009-02-01,11915000000.00
2009-03-01,10479000000.00
2009-04-01,9334000000.00
2009-05-01,8709000000.00
2009-06-01,8210000000.00
2009-07-01,7795000000.00
2009-08-01,7409000000.00
2009-09-01,6911000000.00
2009-10-01,6776000000.00
2009-11-01,6624000000.00
2009-12-01,6291000000.00
2010-01-01,6755000000.00
2010-02-01,6716000000.00
2010-03-01,6899000000.00
2010-04-01,7075000000.00
2010-05-01,6984000000.00
2010-06-01,7129000000.00
2010-07-01,7559000000.00
2010-08-01,7580000000.00
2010-09-01,7708000000.00
2010-10-01,8658000000.00
2010-11-01,8592000000.00
2010-12-01,8939000000.00
2011-01-01,9085000000.00
2011-02-01,9055000000.00
2011-03-01,9222000000.00
2011-04-01,10079000000.00
2011-05-01,10071000000.00
2011-06-01,10091000000.00
2011-07-01,9990000000.00
2011-08-01,9886000000.00
2011-09-01,9493000000.00
2011-10-01,9216000000.00
2011-11-01,9098000000.00
2011-12-01,9064000000.00
2012-01-01,9292000000.00
2012-02-01,9386000000.00
2012-03-01,9649000000.00
2012-04-01,9841000000.00
2012-05-01,9691000000.00
2012-06-01,9280000000.00
2012-07-01,9017000000.00
2012-08-01,8898000000.00
2012-09-01,8457000000.00
2012-10-01,8198000000.00
2012-11-01,7879000000.00
2012-12-01,7405000000.00
2013-01-01,7694000000.00
2013-02-01,7474000000.00
2013-03-01,7575000000.00
2013-04-01,8121000000.00
2013-05-01,8055000000.00
2013-06-01,8484000000.00
2013-07-01,8831000000.00
2013-08-01,8622000000.00
2013-09-01,8674000000.00
2013-10-01,8954000000.00
2013-11-01,9252000000.00
2013-12-01,9647000000.00
2014-01-01,10690000000.00
2014-02-01,10301000000.00
2014-03-01,10534000000.00
2014-04-01,10742000000.00
2014-05-01,10278000000.00
2014-06-01,10541000000.00
2014-07-01,10197000000.00
2014-08-01,9683000000.00
2014-09-01,9745000000.00
2014-10-01,9648000000.00
2014-11-01,9009000000.00
2014-12-01,8479000000.00
2015-01-01,9086000000.00
2015-02-01,9191000000.00
2015-03-01,9163000000.00
2015-04-01,9509000000.00
2015-05-01,9224000000.00
2015-06-01,9284000000.00
2015-07-01,9462000000.00
2015-08-01,9589000000.00
2015-09-01,9493000000.00
2015-10-01,9646000000.00
2015-11-01,9616000000.00
2015-12-01,9469000000.00
2016-01-01,9812000000.00
2016-02-01,9879000000.00
2016-03-01,9672000000.00
2016-04-01,9674000000.00
2016-05-01,9407000000.00
2016-06-01,9200000000.00
2016-07-01,9332000000.00
2016-08-01,9184000000.00
2016-09-01,8915000000.00
2016-10-01,8878000000.00
2016-11-01,8741000000.00
2016-12-01,8490000000.00
2017-01-01,8815000000.00
2017-02-01,8796000000.00
2017-03-01,8871000000.00
2017-04-01,8843000000.00
2017-05-01,8898000000.00
2017-06-01,8822000000.00
2017-07-01,8823000000.00
2017-08-01,8825000000.00
2017-09-01,8700000000.00
2017-10-01,9025000000.00
2017-11-01,8636000000.00
2017-12-01,8466000000.00
2018-01-01,8650000000.00
2018-02-01,8665000000.00
2018-03-01,8847000000.00
2018-04-01,8757000000.00
