Date,RTWVDID684NMFRBDAL
2015-03-01,106.05
2015-04-01,104.87
2015-05-01,104.31
2015-06-01,105.66
2015-07-01,107.19
2015-08-01,109.40
2015-09-01,110.70
2015-10-01,109.76
2015-11-01,110.77
2015-12-01,111.77
2016-01-01,114.34
2016-02-01,112.11
2016-03-01,110.06
2016-04-01,108.10
2016-05-01,109.96
2016-06-01,109.83
2016-07-01,109.49
2016-08-01,108.52
2016-09-01,109.65
2016-10-01,110.99
2016-11-01,112.90
2016-12-01,114.48
2017-01-01,114.11
2017-02-01,112.63
2017-03-01,112.77
2017-04-01,112.11
2017-05-01,112.09
2017-06-01,110.94
2017-07-01,109.02
2017-08-01,108.10
2017-09-01,107.53
2017-10-01,109.03
2017-11-01,108.96
2017-12-01,108.40
2018-01-01,106.47
2018-02-01,105.94
2018-03-01,106.99
