Date,RTWVDKS684NMFRBDAL
2007-10-01,95.73
2007-11-01,94.62
2007-12-01,95.71
2008-01-01,95.70
2008-02-01,94.78
2008-03-01,93.63
2008-04-01,93.40
2008-05-01,93.51
2008-06-01,94.19
2008-07-01,93.46
2008-08-01,95.55
2008-09-01,98.05
2008-10-01,106.17
2008-11-01,107.41
2008-12-01,106.11
2009-01-01,107.56
2009-02-01,110.43
2009-03-01,111.55
2009-04-01,107.71
2009-05-01,103.73
2009-06-01,102.66
2009-07-01,101.81
2009-08-01,99.88
2009-09-01,99.28
2009-10-01,97.50
2009-11-01,96.91
2009-12-01,96.80
2010-01-01,96.60
2010-02-01,97.62
2010-03-01,96.52
2010-04-01,95.49
2010-05-01,98.41
2010-06-01,98.67
2010-07-01,97.24
2010-08-01,96.29
2010-09-01,95.55
2010-10-01,92.95
2010-11-01,92.81
2010-12-01,93.16
2011-01-01,92.06
2011-02-01,91.40
2011-03-01,90.94
2011-04-01,89.65
2011-05-01,89.93
2011-06-01,89.98
2011-07-01,88.82
2011-08-01,89.87
2011-09-01,92.81
2011-10-01,93.75
2011-11-01,94.06
2011-12-01,94.58
2012-01-01,93.77
2012-02-01,92.02
2012-03-01,92.83
2012-04-01,93.07
2012-05-01,94.70
2012-06-01,96.07
2012-07-01,94.68
2012-08-01,93.80
2012-09-01,93.02
2012-10-01,92.92
2012-11-01,93.23
2012-12-01,92.32
2013-01-01,92.34
2013-02-01,93.31
2013-03-01,94.39
2013-04-01,93.72
2013-05-01,94.29
2013-06-01,95.51
2013-07-01,95.72
2013-08-01,95.56
2013-09-01,95.41
2013-10-01,94.43
2013-11-01,94.97
2013-12-01,95.30
2014-01-01,96.39
2014-02-01,96.43
2014-03-01,96.56
2014-04-01,95.71
2014-05-01,95.38
2014-06-01,95.39
2014-07-01,94.69
2014-08-01,95.49
2014-09-01,96.83
2014-10-01,98.17
2014-11-01,99.36
2014-12-01,101.29
2015-01-01,103.19
2015-02-01,104.81
2015-03-01,107.37
2015-04-01,106.57
2015-05-01,106.10
2015-06-01,107.38
2015-07-01,109.27
2015-08-01,111.22
2015-09-01,112.39
2015-10-01,111.25
2015-11-01,112.28
2015-12-01,113.36
2016-01-01,116.35
2016-02-01,114.95
2016-03-01,112.18
2016-04-01,110.28
2016-05-01,111.92
2016-06-01,112.80
2016-07-01,113.14
2016-08-01,112.12
2016-09-01,113.50
2016-10-01,114.36
2016-11-01,116.99
2016-12-01,118.81
2017-01-01,118.79
2017-02-01,116.74
2017-03-01,116.12
2017-04-01,114.94
2017-05-01,115.05
2017-06-01,113.26
2017-07-01,110.83
2017-08-01,109.73
2017-09-01,109.09
2017-10-01,111.38
2017-11-01,111.67
2017-12-01,111.16
2018-01-01,109.25
2018-02-01,108.48
2018-03-01,109.33
