Date,UMTUTI
2005-01-01,208678000000.00
2005-02-01,213401000000.00
2005-03-01,212323000000.00
2005-04-01,214596000000.00
2005-05-01,216423000000.00
2005-06-01,212353000000.00
2005-07-01,217305000000.00
2005-08-01,216809000000.00
2005-09-01,215480000000.00
2005-10-01,218274000000.00
2005-11-01,220318000000.00
2005-12-01,215109000000.00
2006-01-01,222954000000.00
2006-02-01,226421000000.00
2006-03-01,226323000000.00
2006-04-01,231588000000.00
2006-05-01,234772000000.00
2006-06-01,234074000000.00
2006-07-01,240720000000.00
2006-08-01,242782000000.00
2006-09-01,244131000000.00
2006-10-01,249381000000.00
2006-11-01,250695000000.00
2006-12-01,244911000000.00
2007-01-01,254147000000.00
2007-02-01,257374000000.00
2007-03-01,254754000000.00
2007-04-01,259262000000.00
2007-05-01,260617000000.00
2007-06-01,257488000000.00
2007-07-01,260595000000.00
2007-08-01,261331000000.00
2007-09-01,259690000000.00
2007-10-01,262882000000.00
2007-11-01,264693000000.00
2007-12-01,259843000000.00
2008-01-01,266815000000.00
2008-02-01,269289000000.00
2008-03-01,268565000000.00
2008-04-01,271646000000.00
2008-05-01,272623000000.00
2008-06-01,268559000000.00
2008-07-01,273390000000.00
2008-08-01,274648000000.00
2008-09-01,269835000000.00
2008-10-01,270320000000.00
2008-11-01,269124000000.00
2008-12-01,259067000000.00
2009-01-01,264391000000.00
2009-02-01,263032000000.00
2009-03-01,254605000000.00
2009-04-01,254117000000.00
2009-05-01,251692000000.00
2009-06-01,242955000000.00
2009-07-01,244146000000.00
2009-08-01,241000000000.00
2009-09-01,236853000000.00
2009-10-01,239134000000.00
2009-11-01,240458000000.00
2009-12-01,232908000000.00
2010-01-01,239719000000.00
2010-02-01,242370000000.00
2010-03-01,240802000000.00
2010-04-01,245344000000.00
2010-05-01,247892000000.00
2010-06-01,247686000000.00
2010-07-01,251965000000.00
2010-08-01,253633000000.00
2010-09-01,252994000000.00
2010-10-01,257086000000.00
2010-11-01,259835000000.00
2010-12-01,254065000000.00
2011-01-01,263390000000.00
2011-02-01,268079000000.00
2011-03-01,270893000000.00
2011-04-01,277482000000.00
2011-05-01,282683000000.00
2011-06-01,280583000000.00
2011-07-01,286952000000.00
2011-08-01,289330000000.00
2011-09-01,284605000000.00
2011-10-01,287553000000.00
2011-11-01,289606000000.00
2011-12-01,281416000000.00
2012-01-01,290542000000.00
2012-02-01,294502000000.00
2012-03-01,293236000000.00
2012-04-01,297267000000.00
2012-05-01,299944000000.00
2012-06-01,296095000000.00
2012-07-01,301452000000.00
2012-08-01,302996000000.00
2012-09-01,299284000000.00
2012-10-01,301904000000.00
2012-11-01,302335000000.00
2012-12-01,293104000000.00
2013-01-01,301352000000.00
2013-02-01,304629000000.00
2013-03-01,300485000000.00
2013-04-01,304272000000.00
2013-05-01,303781000000.00
2013-06-01,299356000000.00
2013-07-01,304244000000.00
2013-08-01,303629000000.00
2013-09-01,300833000000.00
2013-10-01,303000000000.00
2013-11-01,302274000000.00
2013-12-01,295149000000.00
2014-01-01,303686000000.00
2014-02-01,308968000000.00
2014-03-01,306844000000.00
2014-04-01,311049000000.00
2014-05-01,314927000000.00
2014-06-01,311327000000.00
2014-07-01,317266000000.00
2014-08-01,318977000000.00
2014-09-01,315658000000.00
2014-10-01,317010000000.00
2014-11-01,318368000000.00
2014-12-01,309489000000.00
2015-01-01,319452000000.00
2015-02-01,323129000000.00
2015-03-01,319652000000.00
2015-04-01,323269000000.00
2015-05-01,323792000000.00
2015-06-01,321149000000.00
2015-07-01,325805000000.00
2015-08-01,325446000000.00
2015-09-01,319885000000.00
2015-10-01,319921000000.00
2015-11-01,318504000000.00
2015-12-01,310714000000.00
2016-01-01,316279000000.00
2016-02-01,317135000000.00
2016-03-01,313807000000.00
2016-04-01,315592000000.00
2016-05-01,315182000000.00
2016-06-01,307996000000.00
2016-07-01,313411000000.00
2016-08-01,313540000000.00
2016-09-01,309294000000.00
2016-10-01,309520000000.00
2016-11-01,309943000000.00
2016-12-01,300320000000.00
2017-01-01,307667000000.00
2017-02-01,311372000000.00
2017-03-01,309417000000.00
2017-04-01,313005000000.00
2017-05-01,314906000000.00
2017-06-01,311125000000.00
2017-07-01,317178000000.00
2017-08-01,318774000000.00
2017-09-01,318590000000.00
2017-10-01,320610000000.00
2017-11-01,321168000000.00
2017-12-01,314110000000.00
2018-01-01,322695000000.00
2018-02-01,327407000000.00
2018-03-01,324901000000.00
2018-04-01,328962000000.00
2018-05-01,330705000000.00
