Date,UMNMVS
2015-10-01,229452000000.00
2015-11-01,215452000000.00
2015-12-01,214109000000.00
2016-01-01,198914000000.00
2016-02-01,204225000000.00
2016-03-01,225614000000.00
2016-04-01,217289000000.00
2016-05-01,225913000000.00
2016-06-01,229775000000.00
2016-07-01,216045000000.00
2016-08-01,229383000000.00
2016-09-01,226096000000.00
2016-10-01,225760000000.00
2016-11-01,219030000000.00
2016-12-01,223574000000.00
2017-01-01,216673000000.00
2017-02-01,213189000000.00
2017-03-01,237189000000.00
2017-04-01,227800000000.00
2017-05-01,237926000000.00
2017-06-01,236268000000.00
2017-07-01,228033000000.00
2017-08-01,242441000000.00
2017-09-01,236683000000.00
2017-10-01,242814000000.00
2017-11-01,238265000000.00
2017-12-01,234085000000.00
2018-01-01,233427000000.00
2018-02-01,225866000000.00
2018-03-01,251570000000.00
2018-04-01,245625000000.00
