Date,IPB5640CN
1985-03-01,54.06
1985-04-01,53.18
1985-05-01,53.66
1985-06-01,55.21
1985-07-01,52.11
1985-08-01,53.89
1985-09-01,55.27
1985-10-01,55.41
1985-11-01,55.16
1985-12-01,54.60
1986-01-01,54.60
1986-02-01,54.99
1986-03-01,54.73
1986-04-01,55.25
1986-05-01,55.12
1986-06-01,56.30
1986-07-01,53.25
1986-08-01,55.16
1986-09-01,56.40
1986-10-01,56.78
1986-11-01,56.36
1986-12-01,55.90
1987-01-01,55.42
1987-02-01,57.28
1987-03-01,57.70
1987-04-01,56.72
1987-05-01,57.67
1987-06-01,59.00
1987-07-01,55.57
1987-08-01,58.33
1987-09-01,59.45
1987-10-01,61.05
1987-11-01,60.48
1987-12-01,59.61
1988-01-01,59.51
1988-02-01,60.65
1988-03-01,61.15
1988-04-01,61.14
1988-05-01,61.45
1988-06-01,63.05
1988-07-01,58.81
1988-08-01,61.18
1988-09-01,62.69
1988-10-01,63.51
1988-11-01,62.42
1988-12-01,61.53
1989-01-01,61.69
1989-02-01,62.61
1989-03-01,62.05
1989-04-01,63.48
1989-05-01,62.17
1989-06-01,64.00
1989-07-01,58.37
1989-08-01,62.41
1989-09-01,63.14
1989-10-01,63.24
1989-11-01,62.39
1989-12-01,61.98
1990-01-01,60.75
1990-02-01,63.17
1990-03-01,64.22
1990-04-01,62.52
1990-05-01,63.69
1990-06-01,65.66
1990-07-01,61.22
1990-08-01,64.22
1990-09-01,65.68
1990-10-01,65.35
1990-11-01,63.43
1990-12-01,61.97
1991-01-01,61.55
1991-02-01,62.26
1991-03-01,62.08
1991-04-01,62.24
1991-05-01,62.80
1991-06-01,64.67
1991-07-01,59.99
1991-08-01,63.43
1991-09-01,65.09
1991-10-01,65.25
1991-11-01,63.69
1991-12-01,61.93
1992-01-01,61.27
1992-02-01,63.09
1992-03-01,64.01
1992-04-01,63.32
1992-05-01,64.56
1992-06-01,65.63
1992-07-01,61.84
1992-08-01,65.58
1992-09-01,65.92
1992-10-01,67.40
1992-11-01,66.59
1992-12-01,65.15
1993-01-01,65.42
1993-02-01,66.44
1993-03-01,66.56
1993-04-01,65.77
1993-05-01,66.38
1993-06-01,67.11
1993-07-01,63.17
1993-08-01,66.33
1993-09-01,67.34
1993-10-01,68.79
1993-11-01,67.72
1993-12-01,66.43
1994-01-01,66.39
1994-02-01,67.25
1994-03-01,68.41
1994-04-01,67.92
1994-05-01,68.69
1994-06-01,70.09
1994-07-01,65.41
1994-08-01,70.14
1994-09-01,71.00
1994-10-01,72.66
1994-11-01,71.81
1994-12-01,71.00
1995-01-01,70.49
1995-02-01,71.63
1995-03-01,72.36
1995-04-01,70.64
1995-05-01,71.78
1995-06-01,74.01
1995-07-01,68.88
1995-08-01,73.67
1995-09-01,75.23
1995-10-01,75.59
1995-11-01,74.08
1995-12-01,72.82
1996-01-01,71.33
1996-02-01,73.87
1996-03-01,74.01
1996-04-01,74.03
1996-05-01,74.95
1996-06-01,77.31
1996-07-01,72.53
1996-08-01,76.85
1996-09-01,78.64
1996-10-01,78.90
1996-11-01,78.18
1996-12-01,76.66
1997-01-01,76.82
1997-02-01,79.00
1997-03-01,79.66
1997-04-01,79.83
1997-05-01,80.15
1997-06-01,81.83
1997-07-01,77.08
1997-08-01,83.48
1997-09-01,85.02
1997-10-01,86.91
1997-11-01,86.54
1997-12-01,84.52
1998-01-01,84.98
1998-02-01,86.97
1998-03-01,87.54
1998-04-01,85.90
1998-05-01,87.66
1998-06-01,87.58
1998-07-01,82.95
1998-08-01,89.53
1998-09-01,89.15
1998-10-01,91.32
1998-11-01,89.65
1998-12-01,87.74
1999-01-01,87.66
1999-02-01,90.14
1999-03-01,90.21
1999-04-01,88.61
1999-05-01,90.47
1999-06-01,90.91
1999-07-01,84.98
1999-08-01,91.28
1999-09-01,90.44
1999-10-01,93.50
1999-11-01,91.95
1999-12-01,90.51
2000-01-01,90.35
2000-02-01,92.32
2000-03-01,93.63
2000-04-01,92.78
2000-05-01,93.49
2000-06-01,95.48
2000-07-01,89.60
2000-08-01,94.32
2000-09-01,95.53
2000-10-01,96.41
2000-11-01,94.87
2000-12-01,92.72
2001-01-01,91.62
2001-02-01,93.27
2001-03-01,94.13
2001-04-01,91.01
2001-05-01,92.50
2001-06-01,93.99
2001-07-01,87.38
2001-08-01,92.13
2001-09-01,91.83
2001-10-01,92.29
2001-11-01,90.74
2001-12-01,88.66
2002-01-01,88.60
2002-02-01,89.87
2002-03-01,90.71
2002-04-01,90.08
2002-05-01,90.66
2002-06-01,93.75
2002-07-01,86.66
2002-08-01,92.48
2002-09-01,93.23
2002-10-01,93.56
2002-11-01,91.65
2002-12-01,88.86
2003-01-01,89.40
2003-02-01,92.03
2003-03-01,93.42
2003-04-01,91.28
2003-05-01,92.03
2003-06-01,94.27
2003-07-01,87.81
2003-08-01,93.88
2003-09-01,95.14
2003-10-01,95.36
2003-11-01,94.61
2003-12-01,91.63
2004-01-01,91.16
2004-02-01,94.50
2004-03-01,95.08
2004-04-01,93.75
2004-05-01,95.32
2004-06-01,96.11
2004-07-01,91.22
2004-08-01,96.84
2004-09-01,96.69
2004-10-01,98.73
2004-11-01,96.64
2004-12-01,94.96
2005-01-01,95.90
2005-02-01,98.74
2005-03-01,98.23
2005-04-01,99.14
2005-05-01,99.79
2005-06-01,102.48
2005-07-01,95.98
2005-08-01,101.88
2005-09-01,101.43
2005-10-01,103.83
2005-11-01,101.74
2005-12-01,99.92
2006-01-01,99.96
2006-02-01,101.64
2006-03-01,103.16
2006-04-01,101.96
2006-05-01,103.25
2006-06-01,105.92
2006-07-01,99.95
2006-08-01,105.62
2006-09-01,105.74
2006-10-01,106.72
2006-11-01,105.20
2006-12-01,104.43
2007-01-01,102.30
2007-02-01,104.95
2007-03-01,106.81
2007-04-01,106.37
2007-05-01,107.19
2007-06-01,109.46
2007-07-01,103.54
2007-08-01,108.45
2007-09-01,109.13
2007-10-01,109.05
2007-11-01,107.87
2007-12-01,106.00
2008-01-01,105.29
2008-02-01,106.42
2008-03-01,106.39
2008-04-01,105.84
2008-05-01,105.30
2008-06-01,106.78
2008-07-01,101.04
2008-08-01,103.50
2008-09-01,101.02
2008-10-01,100.23
2008-11-01,98.57
2008-12-01,95.74
2009-01-01,91.96
2009-02-01,93.40
2009-03-01,93.68
2009-04-01,91.14
2009-05-01,91.37
2009-06-01,92.35
2009-07-01,90.11
2009-08-01,94.25
2009-09-01,94.07
2009-10-01,95.03
2009-11-01,94.29
2009-12-01,92.21
2010-01-01,92.65
2010-02-01,93.08
2010-03-01,95.19
2010-04-01,94.30
2010-05-01,96.17
2010-06-01,97.36
2010-07-01,93.20
2010-08-01,97.35
2010-09-01,96.65
2010-10-01,98.25
2010-11-01,96.11
2010-12-01,94.32
2011-01-01,94.85
2011-02-01,96.37
2011-03-01,97.91
2011-04-01,96.25
2011-05-01,97.16
2011-06-01,98.75
2011-07-01,95.25
2011-08-01,99.26
2011-09-01,99.01
2011-10-01,100.89
2011-11-01,98.88
2011-12-01,97.62
2012-01-01,98.36
2012-02-01,99.79
2012-03-01,100.68
2012-04-01,99.67
2012-05-01,100.34
2012-06-01,102.41
2012-07-01,97.51
2012-08-01,101.11
2012-09-01,101.01
2012-10-01,100.49
2012-11-01,99.80
2012-12-01,98.83
2013-01-01,97.87
2013-02-01,99.77
2013-03-01,100.56
2013-04-01,100.18
2013-05-01,99.96
2013-06-01,102.23
2013-07-01,96.14
2013-08-01,100.74
2013-09-01,100.86
2013-10-01,101.13
2013-11-01,99.33
2013-12-01,97.24
2014-01-01,96.14
2014-02-01,99.19
2014-03-01,101.54
2014-04-01,100.10
2014-05-01,100.73
2014-06-01,102.60
2014-07-01,98.03
2014-08-01,101.87
2014-09-01,101.76
2014-10-01,102.40
2014-11-01,102.14
2014-12-01,100.09
2015-01-01,99.26
2015-02-01,100.73
2015-03-01,103.16
2015-04-01,101.20
2015-05-01,101.66
2015-06-01,103.17
2015-07-01,99.11
2015-08-01,102.97
2015-09-01,101.58
2015-10-01,102.13
2015-11-01,100.42
2015-12-01,97.98
2016-01-01,98.19
2016-02-01,99.56
2016-03-01,99.81
2016-04-01,100.08
2016-05-01,99.39
2016-06-01,101.45
2016-07-01,96.51
2016-08-01,100.10
2016-09-01,100.30
2016-10-01,101.48
2016-11-01,99.39
2016-12-01,98.44
2017-01-01,97.72
2017-02-01,99.48
2017-03-01,100.79
2017-04-01,100.04
2017-05-01,100.89
2017-06-01,102.74
2017-07-01,98.02
2017-08-01,101.82
2017-09-01,102.18
2017-10-01,103.51
2017-11-01,101.54
2017-12-01,99.95
2018-01-01,99.16
2018-02-01,102.22
2018-03-01,103.28
2018-04-01,103.61
2018-05-01,102.83
