Date,UCMSTI
2006-11-01,60063000000.00
2006-12-01,59125000000.00
2007-01-01,61210000000.00
2007-02-01,62583000000.00
2007-03-01,62429000000.00
2007-04-01,62558000000.00
2007-05-01,62430000000.00
2007-06-01,61708000000.00
2007-07-01,62126000000.00
2007-08-01,61981000000.00
2007-09-01,61658000000.00
2007-10-01,61797000000.00
2007-11-01,61259000000.00
2007-12-01,60884000000.00
2008-01-01,62821000000.00
2008-02-01,63427000000.00
2008-03-01,62602000000.00
2008-04-01,62691000000.00
2008-05-01,62740000000.00
2008-06-01,62081000000.00
2008-07-01,63155000000.00
2008-08-01,63366000000.00
2008-09-01,63129000000.00
2008-10-01,62620000000.00
2008-11-01,61466000000.00
2008-12-01,59781000000.00
2009-01-01,60795000000.00
2009-02-01,59754000000.00
2009-03-01,57660000000.00
2009-04-01,56109000000.00
2009-05-01,54636000000.00
2009-06-01,52845000000.00
2009-07-01,52440000000.00
2009-08-01,51691000000.00
2009-09-01,51142000000.00
2009-10-01,50850000000.00
2009-11-01,50414000000.00
2009-12-01,49540000000.00
2010-01-01,51063000000.00
2010-02-01,51338000000.00
2010-03-01,51764000000.00
2010-04-01,52125000000.00
2010-05-01,52226000000.00
2010-06-01,52437000000.00
2010-07-01,53010000000.00
2010-08-01,52980000000.00
2010-09-01,52873000000.00
2010-10-01,52601000000.00
2010-11-01,52481000000.00
2010-12-01,51814000000.00
2011-01-01,53764000000.00
2011-02-01,54952000000.00
2011-03-01,55303000000.00
2011-04-01,56263000000.00
2011-05-01,57008000000.00
2011-06-01,56323000000.00
2011-07-01,56974000000.00
2011-08-01,57153000000.00
2011-09-01,56809000000.00
2011-10-01,56761000000.00
2011-11-01,56836000000.00
2011-12-01,56007000000.00
2012-01-01,57431000000.00
2012-02-01,58324000000.00
2012-03-01,58175000000.00
2012-04-01,58784000000.00
2012-05-01,59117000000.00
2012-06-01,58910000000.00
2012-07-01,59567000000.00
2012-08-01,59398000000.00
2012-09-01,59229000000.00
2012-10-01,59120000000.00
2012-11-01,58989000000.00
2012-12-01,58534000000.00
2013-01-01,60102000000.00
2013-02-01,60963000000.00
2013-03-01,60847000000.00
2013-04-01,61275000000.00
2013-05-01,61102000000.00
2013-06-01,60117000000.00
2013-07-01,60456000000.00
2013-08-01,60214000000.00
2013-09-01,59536000000.00
2013-10-01,59516000000.00
2013-11-01,59819000000.00
2013-12-01,59627000000.00
2014-01-01,61515000000.00
2014-02-01,62629000000.00
2014-03-01,62746000000.00
2014-04-01,63164000000.00
2014-05-01,63543000000.00
2014-06-01,62935000000.00
2014-07-01,63535000000.00
2014-08-01,63483000000.00
2014-09-01,62996000000.00
2014-10-01,63021000000.00
2014-11-01,63441000000.00
2014-12-01,63519000000.00
2015-01-01,65296000000.00
2015-02-01,66193000000.00
2015-03-01,66690000000.00
2015-04-01,66523000000.00
2015-05-01,65939000000.00
2015-06-01,65187000000.00
2015-07-01,64982000000.00
2015-08-01,64172000000.00
2015-09-01,63698000000.00
2015-10-01,63092000000.00
2015-11-01,62802000000.00
2015-12-01,62390000000.00
2016-01-01,63860000000.00
2016-02-01,64381000000.00
2016-03-01,64226000000.00
2016-04-01,64074000000.00
2016-05-01,64264000000.00
2016-06-01,63445000000.00
2016-07-01,63952000000.00
2016-08-01,63977000000.00
2016-09-01,63803000000.00
2016-10-01,63582000000.00
2016-11-01,63474000000.00
2016-12-01,63110000000.00
2017-01-01,65209000000.00
2017-02-01,66055000000.00
2017-03-01,65756000000.00
2017-04-01,66767000000.00
2017-05-01,66992000000.00
2017-06-01,66574000000.00
2017-07-01,67302000000.00
2017-08-01,67403000000.00
2017-09-01,67229000000.00
2017-10-01,67098000000.00
2017-11-01,67359000000.00
2017-12-01,67244000000.00
2018-01-01,69437000000.00
2018-02-01,70571000000.00
2018-03-01,70871000000.00
2018-04-01,71374000000.00
