Date,RTWVDNM684NMFRBDAL
2003-06-01,126.30
2003-07-01,126.46
2003-08-01,127.67
2003-09-01,127.38
2003-10-01,126.72
2003-11-01,126.56
2003-12-01,125.83
2004-01-01,124.42
2004-02-01,125.09
2004-03-01,126.49
2004-04-01,127.10
2004-05-01,128.88
2004-06-01,128.12
2004-07-01,127.06
2004-08-01,126.70
2004-09-01,126.75
2004-10-01,126.37
2004-11-01,124.68
2004-12-01,122.89
2005-01-01,122.53
2005-02-01,121.96
2005-03-01,122.38
2005-04-01,123.26
2005-05-01,122.86
2005-06-01,123.59
2005-07-01,123.76
2005-08-01,122.65
2005-09-01,124.71
2005-10-01,125.54
2005-11-01,124.21
2005-12-01,122.59
2006-01-01,121.29
2006-02-01,120.52
2006-03-01,121.23
2006-04-01,121.15
2006-05-01,120.44
2006-06-01,121.83
2006-07-01,120.99
2006-08-01,120.21
2006-09-01,119.85
2006-10-01,119.66
2006-11-01,118.38
2006-12-01,116.82
2007-01-01,116.81
2007-02-01,116.35
2007-03-01,117.50
2007-04-01,116.47
2007-05-01,115.84
2007-06-01,115.60
2007-07-01,113.53
2007-08-01,113.38
2007-09-01,113.14
2007-10-01,111.40
2007-11-01,110.37
2007-12-01,109.96
2008-01-01,108.69
2008-02-01,106.61
2008-03-01,106.34
2008-04-01,105.74
2008-05-01,106.58
2008-06-01,106.55
2008-07-01,105.45
2008-08-01,106.48
2008-09-01,109.21
2008-10-01,114.94
2008-11-01,115.69
2008-12-01,114.54
2009-01-01,116.47
2009-02-01,120.30
2009-03-01,121.68
2009-04-01,116.87
2009-05-01,113.56
2009-06-01,113.35
2009-07-01,112.66
2009-08-01,110.41
2009-09-01,110.76
2009-10-01,109.35
2009-11-01,108.52
2009-12-01,107.73
2010-01-01,107.72
2010-02-01,108.95
2010-03-01,107.56
2010-04-01,106.34
2010-05-01,110.05
2010-06-01,110.69
2010-07-01,109.28
2010-08-01,108.19
2010-09-01,107.58
2010-10-01,104.11
2010-11-01,103.76
2010-12-01,104.37
2011-01-01,103.24
2011-02-01,103.15
2011-03-01,102.48
2011-04-01,100.45
2011-05-01,100.98
2011-06-01,100.97
2011-07-01,100.08
2011-08-01,102.23
2011-09-01,106.04
2011-10-01,107.06
2011-11-01,107.61
2011-12-01,108.21
2012-01-01,108.26
2012-02-01,105.83
2012-03-01,106.71
2012-04-01,106.98
2012-05-01,109.40
2012-06-01,111.46
2012-07-01,111.09
2012-08-01,110.46
2012-09-01,109.23
2012-10-01,107.63
2012-11-01,108.43
2012-12-01,105.92
2013-01-01,105.31
2013-02-01,105.57
2013-03-01,105.73
2013-04-01,103.80
2013-05-01,104.38
2013-06-01,106.32
2013-07-01,105.93
2013-08-01,105.76
2013-09-01,106.03
2013-10-01,104.71
2013-11-01,104.86
2013-12-01,104.38
2014-01-01,105.37
2014-02-01,105.98
2014-03-01,105.67
2014-04-01,105.26
2014-05-01,105.19
2014-06-01,105.38
2014-07-01,104.84
2014-08-01,106.06
2014-09-01,107.85
2014-10-01,109.50
2014-11-01,110.25
2014-12-01,113.44
2015-01-01,115.14
2015-02-01,116.46
2015-03-01,119.36
2015-04-01,118.83
2015-05-01,118.61
2015-06-01,119.33
2015-07-01,120.78
2015-08-01,123.41
2015-09-01,125.19
2015-10-01,123.38
2015-11-01,123.97
2015-12-01,124.66
2016-01-01,128.50
2016-02-01,128.63
2016-03-01,126.08
2016-04-01,124.61
2016-05-01,127.46
2016-06-01,129.65
2016-07-01,128.96
2016-08-01,127.71
2016-09-01,130.02
2016-10-01,130.44
2016-11-01,134.06
2016-12-01,136.52
2017-01-01,137.91
2017-02-01,134.21
2017-03-01,131.53
2017-04-01,129.29
2017-05-01,129.41
2017-06-01,126.65
2017-07-01,123.93
2017-08-01,122.61
2017-09-01,122.83
2017-10-01,126.43
2017-11-01,126.89
2017-12-01,126.20
2018-01-01,124.25
2018-02-01,121.94
2018-03-01,123.01
