Date,RTWVDNJ684NMFRBDAL
1998-03-01,108.67
1998-04-01,108.89
1998-05-01,109.04
1998-06-01,110.52
1998-07-01,111.25
1998-08-01,112.88
1998-09-01,111.39
1998-10-01,109.86
1998-11-01,110.24
1998-12-01,109.64
1999-01-01,109.72
1999-02-01,111.16
1999-03-01,112.67
1999-04-01,112.42
1999-05-01,111.99
1999-06-01,112.86
1999-07-01,113.54
1999-08-01,112.51
1999-09-01,112.05
1999-10-01,111.41
1999-11-01,112.16
1999-12-01,112.23
2000-01-01,111.85
2000-02-01,113.72
2000-03-01,114.87
2000-04-01,115.58
2000-05-01,118.56
2000-06-01,116.91
2000-07-01,117.30
2000-08-01,118.35
2000-09-01,120.39
2000-10-01,122.23
2000-11-01,123.11
2000-12-01,120.90
2001-01-01,120.89
2001-02-01,122.22
2001-03-01,124.43
2001-04-01,125.38
2001-05-01,125.30
2001-06-01,126.37
2001-07-01,126.45
2001-08-01,124.40
2001-09-01,125.03
2001-10-01,125.51
2001-11-01,126.26
2001-12-01,125.69
2002-01-01,127.10
2002-02-01,127.81
2002-03-01,127.44
2002-04-01,126.90
2002-05-01,124.69
2002-06-01,122.73
2002-07-01,120.59
2002-08-01,122.14
2002-09-01,122.76
2002-10-01,123.43
2002-11-01,121.68
2002-12-01,120.44
2003-01-01,118.55
2003-02-01,118.31
2003-03-01,117.96
2003-04-01,116.75
2003-05-01,111.93
2003-06-01,110.96
2003-07-01,112.60
2003-08-01,114.07
2003-09-01,112.79
2003-10-01,109.98
2003-11-01,109.45
2003-12-01,107.08
2004-01-01,105.33
2004-02-01,106.04
2004-03-01,107.70
2004-04-01,108.73
2004-05-01,110.89
2004-06-01,109.79
2004-07-01,108.37
2004-08-01,108.46
2004-09-01,108.03
2004-10-01,106.40
2004-11-01,103.07
2004-12-01,101.29
2005-01-01,102.45
2005-02-01,102.91
2005-03-01,102.35
2005-04-01,103.96
2005-05-01,104.71
2005-06-01,105.96
2005-07-01,106.74
2005-08-01,105.37
2005-09-01,105.83
2005-10-01,107.26
2005-11-01,107.56
2005-12-01,106.09
2006-01-01,105.23
2006-02-01,105.61
2006-03-01,106.12
2006-04-01,105.47
2006-05-01,102.89
2006-06-01,104.45
2006-07-01,104.55
2006-08-01,103.44
2006-09-01,103.39
2006-10-01,103.42
2006-11-01,102.21
2006-12-01,101.29
2007-01-01,102.88
2007-02-01,102.67
2007-03-01,102.64
2007-04-01,101.07
2007-05-01,100.42
2007-06-01,100.18
2007-07-01,98.49
2007-08-01,98.56
2007-09-01,96.93
2007-10-01,94.43
2007-11-01,92.99
2007-12-01,94.03
2008-01-01,93.94
2008-02-01,93.12
2008-03-01,91.56
2008-04-01,91.56
2008-05-01,91.91
2008-06-01,92.68
2008-07-01,92.00
2008-08-01,94.70
2008-09-01,97.09
2008-10-01,104.13
2008-11-01,106.02
2008-12-01,103.99
2009-01-01,105.09
2009-02-01,107.64
2009-03-01,108.53
2009-04-01,105.68
2009-05-01,101.93
2009-06-01,100.58
2009-07-01,99.87
2009-08-01,98.25
2009-09-01,97.53
2009-10-01,95.92
2009-11-01,95.28
2009-12-01,95.55
2010-01-01,95.62
2010-02-01,97.08
2010-03-01,96.60
2010-04-01,95.68
2010-05-01,98.92
2010-06-01,99.67
2010-07-01,97.77
2010-08-01,96.70
2010-09-01,95.70
2010-10-01,92.68
2010-11-01,92.87
2010-12-01,93.69
2011-01-01,92.88
2011-02-01,92.23
2011-03-01,91.71
2011-04-01,90.09
2011-05-01,90.53
2011-06-01,90.59
2011-07-01,89.89
2011-08-01,90.79
2011-09-01,93.67
2011-10-01,94.34
2011-11-01,94.51
2011-12-01,95.37
2012-01-01,95.07
2012-02-01,93.33
2012-03-01,94.17
2012-04-01,94.36
2012-05-01,95.89
2012-06-01,97.33
2012-07-01,96.61
2012-08-01,95.80
2012-09-01,94.59
2012-10-01,94.16
2012-11-01,94.45
2012-12-01,93.40
2013-01-01,93.39
2013-02-01,94.50
2013-03-01,95.93
2013-04-01,95.29
2013-05-01,95.83
2013-06-01,96.43
2013-07-01,96.90
2013-08-01,96.47
2013-09-01,96.05
2013-10-01,94.71
2013-11-01,95.28
2013-12-01,95.25
2014-01-01,96.60
2014-02-01,96.67
2014-03-01,96.62
2014-04-01,95.81
2014-05-01,95.53
2014-06-01,95.64
2014-07-01,95.16
2014-08-01,96.13
2014-09-01,97.56
2014-10-01,98.64
2014-11-01,99.66
2014-12-01,100.93
2015-01-01,103.32
2015-02-01,104.75
2015-03-01,107.16
2015-04-01,106.34
2015-05-01,105.31
2015-06-01,106.17
2015-07-01,107.83
2015-08-01,109.03
2015-09-01,109.68
2015-10-01,108.56
2015-11-01,109.96
2015-12-01,110.58
2016-01-01,113.17
2016-02-01,111.59
2016-03-01,109.47
2016-04-01,107.73
2016-05-01,108.81
2016-06-01,109.34
2016-07-01,110.04
2016-08-01,109.13
2016-09-01,110.00
2016-10-01,111.39
2016-11-01,113.35
2016-12-01,114.68
2017-01-01,114.69
2017-02-01,113.30
2017-03-01,113.13
2017-04-01,112.38
2017-05-01,111.94
2017-06-01,110.61
2017-07-01,108.20
2017-08-01,107.17
2017-09-01,106.55
2017-10-01,108.29
2017-11-01,108.59
2017-12-01,107.96
2018-01-01,105.90
2018-02-01,105.45
2018-03-01,106.34
