Date,U36ZTI
1997-12-01,1996000000.00
1998-01-01,2080000000.00
1998-02-01,2006000000.00
1998-03-01,1989000000.00
1998-04-01,1892000000.00
1998-05-01,1897000000.00
1998-06-01,1962000000.00
1998-07-01,1964000000.00
1998-08-01,2021000000.00
1998-09-01,1920000000.00
1998-10-01,1900000000.00
1998-11-01,1834000000.00
1998-12-01,1896000000.00
1999-01-01,1889000000.00
1999-02-01,1899000000.00
1999-03-01,2116000000.00
1999-04-01,2117000000.00
1999-05-01,2083000000.00
1999-06-01,2220000000.00
1999-07-01,2281000000.00
1999-08-01,2307000000.00
1999-09-01,2196000000.00
1999-10-01,2201000000.00
1999-11-01,2227000000.00
1999-12-01,2130000000.00
2000-01-01,2219000000.00
2000-02-01,2246000000.00
2000-03-01,2295000000.00
2000-04-01,2343000000.00
2000-05-01,2340000000.00
2000-06-01,2378000000.00
2000-07-01,2353000000.00
2000-08-01,2333000000.00
2000-09-01,2391000000.00
2000-10-01,2381000000.00
2000-11-01,2473000000.00
2000-12-01,2360000000.00
2001-01-01,2386000000.00
2001-02-01,2351000000.00
2001-03-01,2440000000.00
2001-04-01,2445000000.00
2001-05-01,2413000000.00
2001-06-01,2412000000.00
2001-07-01,2380000000.00
2001-08-01,2349000000.00
2001-09-01,2373000000.00
2001-10-01,2252000000.00
2001-11-01,2278000000.00
2001-12-01,2220000000.00
2002-01-01,2225000000.00
2002-02-01,2288000000.00
2002-03-01,2252000000.00
2002-04-01,2189000000.00
2002-05-01,2093000000.00
2002-06-01,2133000000.00
2002-07-01,2163000000.00
2002-08-01,2114000000.00
2002-09-01,2132000000.00
2002-10-01,2111000000.00
2002-11-01,2123000000.00
2002-12-01,2257000000.00
2003-01-01,2214000000.00
2003-02-01,2288000000.00
2003-03-01,2335000000.00
2003-04-01,2253000000.00
2003-05-01,2252000000.00
2003-06-01,2367000000.00
2003-07-01,2347000000.00
2003-08-01,2355000000.00
2003-09-01,2378000000.00
2003-10-01,2509000000.00
2003-11-01,2452000000.00
2003-12-01,2516000000.00
2004-01-01,2588000000.00
2004-02-01,2702000000.00
2004-03-01,2682000000.00
2004-04-01,2645000000.00
2004-05-01,2756000000.00
2004-06-01,2761000000.00
2004-07-01,2650000000.00
2004-08-01,2623000000.00
2004-09-01,2720000000.00
2004-10-01,2685000000.00
2004-11-01,2777000000.00
2004-12-01,2727000000.00
2005-01-01,2768000000.00
2005-02-01,2743000000.00
2005-03-01,2734000000.00
2005-04-01,2635000000.00
2005-05-01,2514000000.00
2005-06-01,2640000000.00
2005-07-01,2536000000.00
2005-08-01,2610000000.00
2005-09-01,2656000000.00
2005-10-01,2515000000.00
2005-11-01,2570000000.00
2005-12-01,2746000000.00
2006-01-01,2616000000.00
2006-02-01,2596000000.00
2006-03-01,2922000000.00
2006-04-01,2882000000.00
2006-05-01,2889000000.00
2006-06-01,2993000000.00
2006-07-01,3075000000.00
2006-08-01,3114000000.00
2006-09-01,3140000000.00
2006-10-01,3226000000.00
2006-11-01,3215000000.00
2006-12-01,2987000000.00
2007-01-01,3046000000.00
2007-02-01,3103000000.00
2007-03-01,3119000000.00
2007-04-01,3119000000.00
2007-05-01,2933000000.00
2007-06-01,3127000000.00
2007-07-01,3081000000.00
2007-08-01,3169000000.00
2007-09-01,3300000000.00
2007-10-01,3317000000.00
2007-11-01,3373000000.00
2007-12-01,3343000000.00
2008-01-01,3518000000.00
2008-02-01,3607000000.00
2008-03-01,3669000000.00
2008-04-01,3753000000.00
2008-05-01,3436000000.00
2008-06-01,3445000000.00
2008-07-01,3500000000.00
2008-08-01,3613000000.00
2008-09-01,3643000000.00
2008-10-01,3729000000.00
2008-11-01,3776000000.00
2008-12-01,3526000000.00
2009-01-01,3764000000.00
2009-02-01,3864000000.00
2009-03-01,3842000000.00
2009-04-01,3505000000.00
2009-05-01,3458000000.00
2009-06-01,3090000000.00
2009-07-01,3009000000.00
2009-08-01,2843000000.00
2009-09-01,2819000000.00
2009-10-01,2901000000.00
2009-11-01,2914000000.00
2009-12-01,2867000000.00
2010-01-01,2780000000.00
2010-02-01,2668000000.00
2010-03-01,2690000000.00
2010-04-01,2663000000.00
2010-05-01,2567000000.00
2010-06-01,2604000000.00
2010-07-01,2542000000.00
2010-08-01,2316000000.00
2010-09-01,2317000000.00
2010-10-01,2290000000.00
2010-11-01,2312000000.00
2010-12-01,2285000000.00
2011-01-01,2271000000.00
2011-02-01,2382000000.00
2011-03-01,2447000000.00
2011-04-01,2336000000.00
2011-05-01,2223000000.00
2011-06-01,2273000000.00
2011-07-01,2211000000.00
2011-08-01,2258000000.00
2011-09-01,2223000000.00
2011-10-01,2360000000.00
2011-11-01,2275000000.00
2011-12-01,2286000000.00
2012-01-01,2296000000.00
2012-02-01,2272000000.00
2012-03-01,2293000000.00
2012-04-01,2367000000.00
2012-05-01,2369000000.00
2012-06-01,2573000000.00
2012-07-01,2426000000.00
2012-08-01,2514000000.00
2012-09-01,2529000000.00
2012-10-01,2593000000.00
2012-11-01,2570000000.00
2012-12-01,2553000000.00
2013-01-01,2526000000.00
2013-02-01,2479000000.00
2013-03-01,2506000000.00
2013-04-01,2452000000.00
2013-05-01,2347000000.00
2013-06-01,2387000000.00
2013-07-01,2369000000.00
2013-08-01,2342000000.00
2013-09-01,2360000000.00
2013-10-01,2457000000.00
2013-11-01,2423000000.00
2013-12-01,2567000000.00
2014-01-01,2448000000.00
2014-02-01,2527000000.00
2014-03-01,2594000000.00
2014-04-01,2467000000.00
2014-05-01,2512000000.00
2014-06-01,2753000000.00
2014-07-01,2660000000.00
2014-08-01,2668000000.00
2014-09-01,2740000000.00
2014-10-01,2715000000.00
2014-11-01,2846000000.00
2014-12-01,2941000000.00
2015-01-01,2836000000.00
2015-02-01,2898000000.00
2015-03-01,2905000000.00
2015-04-01,2850000000.00
2015-05-01,3066000000.00
2015-06-01,3358000000.00
2015-07-01,3096000000.00
2015-08-01,3122000000.00
2015-09-01,3303000000.00
2015-10-01,3195000000.00
2015-11-01,3216000000.00
2015-12-01,3078000000.00
2016-01-01,3037000000.00
2016-02-01,3145000000.00
2016-03-01,3279000000.00
2016-04-01,3095000000.00
2016-05-01,3227000000.00
2016-06-01,3140000000.00
2016-07-01,3157000000.00
2016-08-01,3120000000.00
2016-09-01,3124000000.00
2016-10-01,3119000000.00
2016-11-01,3134000000.00
2016-12-01,3144000000.00
2017-01-01,3058000000.00
2017-02-01,3069000000.00
2017-03-01,3122000000.00
2017-04-01,3087000000.00
2017-05-01,3069000000.00
2017-06-01,3069000000.00
2017-07-01,3150000000.00
2017-08-01,3038000000.00
2017-09-01,3212000000.00
2017-10-01,3006000000.00
2017-11-01,2926000000.00
2017-12-01,2886000000.00
2018-01-01,2916000000.00
2018-02-01,2978000000.00
2018-03-01,2963000000.00
2018-04-01,2917000000.00
