Date,RTWVDSD684NMFRBDAL
1995-09-01,102.97
1995-10-01,102.56
1995-11-01,103.17
1995-12-01,103.98
1996-01-01,104.82
1996-02-01,105.05
1996-03-01,105.07
1996-04-01,105.21
1996-05-01,105.66
1996-06-01,105.70
1996-07-01,105.75
1996-08-01,105.41
1996-09-01,105.78
1996-10-01,105.70
1996-11-01,104.75
1996-12-01,106.00
1997-01-01,106.51
1997-02-01,107.94
1997-03-01,109.03
1997-04-01,109.80
1997-05-01,108.66
1997-06-01,108.55
1997-07-01,109.27
1997-08-01,111.28
1997-09-01,111.60
1997-10-01,112.25
1997-11-01,113.80
1997-12-01,116.37
1998-01-01,118.78
1998-02-01,117.20
1998-03-01,116.05
1998-04-01,116.04
1998-05-01,116.54
1998-06-01,118.68
1998-07-01,119.60
1998-08-01,122.13
1998-09-01,121.14
1998-10-01,119.93
1998-11-01,119.56
1998-12-01,119.00
1999-01-01,118.49
1999-02-01,118.26
1999-03-01,119.18
1999-04-01,117.93
1999-05-01,116.55
1999-06-01,117.48
1999-07-01,118.03
1999-08-01,117.57
1999-09-01,117.09
1999-10-01,116.97
1999-11-01,117.00
1999-12-01,117.04
2000-01-01,116.49
2000-02-01,118.01
2000-03-01,119.27
2000-04-01,120.35
2000-05-01,123.24
2000-06-01,121.37
2000-07-01,121.55
2000-08-01,122.78
2000-09-01,124.77
2000-10-01,126.80
2000-11-01,127.64
2000-12-01,124.77
2001-01-01,125.23
2001-02-01,126.15
2001-03-01,128.34
2001-04-01,128.59
2001-05-01,127.75
2001-06-01,127.81
2001-07-01,128.23
2001-08-01,127.10
2001-09-01,128.24
2001-10-01,128.76
2001-11-01,130.04
2001-12-01,129.02
2002-01-01,130.43
2002-02-01,130.47
2002-03-01,129.92
2002-04-01,129.64
2002-05-01,127.98
2002-06-01,126.71
2002-07-01,125.95
2002-08-01,127.50
2002-09-01,128.40
2002-10-01,128.89
2002-11-01,127.92
2002-12-01,127.03
2003-01-01,126.22
2003-02-01,126.30
2003-03-01,125.40
2003-04-01,124.04
2003-05-01,119.07
2003-06-01,118.38
2003-07-01,119.98
2003-08-01,121.65
2003-09-01,120.26
2003-10-01,117.78
2003-11-01,116.64
2003-12-01,115.67
2004-01-01,114.07
2004-02-01,115.61
2004-03-01,116.56
2004-04-01,117.68
2004-05-01,120.35
2004-06-01,119.41
2004-07-01,117.94
2004-08-01,117.62
2004-09-01,116.89
2004-10-01,115.20
2004-11-01,112.27
2004-12-01,111.56
2005-01-01,112.42
2005-02-01,113.02
2005-03-01,112.33
2005-04-01,114.02
2005-05-01,114.63
2005-06-01,114.69
2005-07-01,114.53
2005-08-01,113.36
2005-09-01,113.44
2005-10-01,114.45
2005-11-01,114.05
2005-12-01,112.32
2006-01-01,111.80
2006-02-01,111.76
2006-03-01,112.73
2006-04-01,112.64
2006-05-01,110.65
2006-06-01,111.90
2006-07-01,111.93
2006-08-01,110.83
2006-09-01,110.69
2006-10-01,110.73
2006-11-01,110.00
2006-12-01,109.73
2007-01-01,111.29
2007-02-01,111.27
2007-03-01,111.29
2007-04-01,109.72
2007-05-01,108.15
2007-06-01,107.18
2007-07-01,105.54
2007-08-01,106.28
2007-09-01,104.63
2007-10-01,101.64
2007-11-01,100.95
2007-12-01,102.18
2008-01-01,102.57
2008-02-01,101.24
2008-03-01,100.72
2008-04-01,100.62
2008-05-01,100.40
2008-06-01,101.57
2008-07-01,101.19
2008-08-01,103.31
2008-09-01,105.13
2008-10-01,113.85
2008-11-01,114.90
2008-12-01,114.66
2009-01-01,116.14
2009-02-01,119.25
2009-03-01,120.47
2009-04-01,115.80
2009-05-01,111.48
2009-06-01,110.66
2009-07-01,110.29
2009-08-01,108.01
2009-09-01,108.04
2009-10-01,106.13
2009-11-01,105.54
2009-12-01,104.91
2010-01-01,104.51
2010-02-01,105.48
2010-03-01,103.69
2010-04-01,102.26
2010-05-01,105.77
2010-06-01,106.07
2010-07-01,105.23
2010-08-01,104.41
2010-09-01,103.90
2010-10-01,100.99
2010-11-01,100.48
2010-12-01,100.86
2011-01-01,99.81
2011-02-01,99.21
2011-03-01,98.77
2011-04-01,97.24
2011-05-01,97.66
2011-06-01,98.27
2011-07-01,96.80
2011-08-01,98.98
2011-09-01,102.30
2011-10-01,103.89
2011-11-01,104.13
2011-12-01,104.37
2012-01-01,103.24
2012-02-01,100.88
2012-03-01,101.47
2012-04-01,102.11
2012-05-01,104.23
2012-06-01,106.11
2012-07-01,103.97
2012-08-01,102.62
2012-09-01,101.58
2012-10-01,101.57
2012-11-01,102.10
2012-12-01,101.11
2013-01-01,100.97
2013-02-01,101.97
2013-03-01,102.66
2013-04-01,101.63
2013-05-01,102.16
2013-06-01,104.51
2013-07-01,104.74
2013-08-01,104.92
2013-09-01,104.84
2013-10-01,104.12
2013-11-01,104.62
2013-12-01,105.29
2014-01-01,107.15
2014-02-01,107.61
2014-03-01,107.82
2014-04-01,106.91
2014-05-01,106.32
2014-06-01,106.23
2014-07-01,105.60
2014-08-01,106.81
2014-09-01,107.85
2014-10-01,109.35
2014-11-01,110.11
2014-12-01,112.74
2015-01-01,115.55
2015-02-01,118.03
2015-03-01,119.85
2015-04-01,118.82
2015-05-01,118.35
2015-06-01,120.02
2015-07-01,123.20
2015-08-01,125.75
2015-09-01,126.99
2015-10-01,125.18
2015-11-01,126.18
2015-12-01,128.33
2016-01-01,132.49
2016-02-01,131.00
2016-03-01,126.98
2016-04-01,124.63
2016-05-01,126.85
2016-06-01,127.79
2016-07-01,127.95
2016-08-01,127.06
2016-09-01,128.87
2016-10-01,129.51
2016-11-01,132.52
2016-12-01,133.97
2017-01-01,134.12
2017-02-01,131.65
2017-03-01,130.87
2017-04-01,129.61
2017-05-01,130.26
2017-06-01,127.57
2017-07-01,123.96
2017-08-01,123.05
2017-09-01,121.94
2017-10-01,125.09
2017-11-01,125.74
2017-12-01,125.49
2018-01-01,123.12
2018-02-01,122.63
2018-03-01,124.11
