Date,UDXDNO
2016-11-01,198674000000.00
2016-12-01,210578000000.00
2017-01-01,189277000000.00
2017-02-01,203001000000.00
2017-03-01,240838000000.00
2017-04-01,207382000000.00
2017-05-01,221277000000.00
2017-06-01,250183000000.00
2017-07-01,194504000000.00
2017-08-01,224424000000.00
2017-09-01,232408000000.00
2017-10-01,225962000000.00
2017-11-01,220336000000.00
2017-12-01,231480000000.00
2018-01-01,206128000000.00
2018-02-01,219329000000.00
2018-03-01,261794000000.00
2018-04-01,233769000000.00
2018-05-01,239065000000.00
