Date,RTWVDMS684NMFRBDAL
2015-02-01,90.28
2015-03-01,91.84
2015-04-01,91.30
2015-05-01,90.86
2015-06-01,91.72
2015-07-01,93.12
2015-08-01,94.44
2015-09-01,95.15
2015-10-01,94.31
2015-11-01,95.15
2015-12-01,95.92
2016-01-01,97.84
2016-02-01,96.72
2016-03-01,94.88
2016-04-01,93.60
2016-05-01,94.57
2016-06-01,94.98
2016-07-01,94.93
2016-08-01,94.41
2016-09-01,95.26
2016-10-01,95.85
2016-11-01,97.40
2016-12-01,98.19
2017-01-01,98.01
2017-02-01,96.82
2017-03-01,96.71
2017-04-01,96.26
2017-05-01,96.34
2017-06-01,95.28
2017-07-01,93.34
2017-08-01,92.60
2017-09-01,92.21
2017-10-01,93.62
2017-11-01,93.95
2017-12-01,93.53
2018-01-01,92.12
2018-02-01,91.82
2018-03-01,92.72
