Date,TOTALNSA
1989-11-01,1047600.00
1989-12-01,1011900.00
1990-01-01,1161300.00
1990-02-01,1073400.00
1990-03-01,1295200.00
1990-04-01,1226300.00
1990-05-01,1332100.00
1990-06-01,1306100.00
1990-07-01,1244400.00
1990-08-01,1196900.00
1990-09-01,1144800.00
1990-10-01,1169000.00
1990-11-01,1000500.00
1990-12-01,987200.00
1991-01-01,839300.00
1991-02-01,927500.00
1991-03-01,1103100.00
1991-04-01,1059600.00
1991-05-01,1174000.00
1991-06-01,1175300.00
1991-07-01,1185200.00
1991-08-01,1063000.00
1991-09-01,1062200.00
1991-10-01,1047600.00
1991-11-01,932100.00
1991-12-01,961500.00
1992-01-01,867800.00
1992-02-01,988500.00
1992-03-01,1128400.00
1992-04-01,1144900.00
1992-05-01,1169700.00
1992-06-01,1297000.00
1992-07-01,1158200.00
1992-08-01,1065200.00
1992-09-01,1095400.00
1992-10-01,1132200.00
1992-11-01,988600.00
1992-12-01,1070700.00
1993-01-01,915300.00
1993-02-01,976100.00
1993-03-01,1228900.00
1993-04-01,1273500.00
1993-05-01,1342200.00
1993-06-01,1383100.00
1993-07-01,1266900.00
1993-08-01,1158800.00
1993-09-01,1164600.00
1993-10-01,1182500.00
1993-11-01,1140900.00
1993-12-01,1152700.00
1994-01-01,1045500.00
1994-02-01,1170900.00
1994-03-01,1472200.00
1994-04-01,1337900.00
1994-05-01,1382100.00
1994-06-01,1479600.00
1994-07-01,1219500.00
1994-08-01,1329300.00
1994-09-01,1252100.00
1994-10-01,1291800.00
1994-11-01,1197900.00
1994-12-01,1218900.00
1995-01-01,1031500.00
1995-02-01,1128700.00
1995-03-01,1403300.00
1995-04-01,1216000.00
1995-05-01,1427500.00
1995-06-01,1477200.00
1995-07-01,1255300.00
1995-08-01,1365200.00
1995-09-01,1214400.00
1995-10-01,1226000.00
1995-11-01,1169100.00
1995-12-01,1202600.00
1996-01-01,1050600.00
1996-02-01,1237900.00
1996-03-01,1404400.00
1996-04-01,1359300.00
1996-05-01,1522900.00
1996-06-01,1404200.00
1996-07-01,1317300.00
