Date,IR3TIB01USM156N
1994-03-01,3.77
1994-04-01,4.01
1994-05-01,4.51
1994-06-01,4.52
1994-07-01,4.73
1994-08-01,4.81
1994-09-01,5.03
1994-10-01,5.51
1994-11-01,5.79
1994-12-01,6.29
1995-01-01,6.24
1995-02-01,6.16
1995-03-01,6.15
1995-04-01,6.11
1995-05-01,6.02
1995-06-01,5.90
1995-07-01,5.77
1995-08-01,5.77
1995-09-01,5.73
1995-10-01,5.79
1995-11-01,5.74
1995-12-01,5.62
1996-01-01,5.39
1996-02-01,5.15
1996-03-01,5.29
1996-04-01,5.36
1996-05-01,5.36
1996-06-01,5.46
1996-07-01,5.53
1996-08-01,5.40
1996-09-01,5.51
1996-10-01,5.41
1996-11-01,5.38
1996-12-01,5.44
1997-01-01,5.43
1997-02-01,5.37
1997-03-01,5.53
1997-04-01,5.71
1997-05-01,5.70
1997-06-01,5.66
1997-07-01,5.60
1997-08-01,5.60
1997-09-01,5.60
1997-10-01,5.65
1997-11-01,5.74
1997-12-01,5.80
1998-01-01,5.54
1998-02-01,5.54
1998-03-01,5.58
1998-04-01,5.58
1998-05-01,5.59
1998-06-01,5.60
1998-07-01,5.59
1998-08-01,5.58
1998-09-01,5.41
1998-10-01,5.21
1998-11-01,5.24
1998-12-01,5.14
1999-01-01,4.89
1999-02-01,4.90
1999-03-01,4.91
1999-04-01,4.88
1999-05-01,4.92
1999-06-01,5.13
1999-07-01,5.24
1999-08-01,5.41
1999-09-01,5.50
1999-10-01,6.13
1999-11-01,6.00
1999-12-01,6.05
2000-01-01,5.95
2000-02-01,6.01
2000-03-01,6.14
2000-04-01,6.28
2000-05-01,6.71
2000-06-01,6.73
2000-07-01,6.67
2000-08-01,6.61
2000-09-01,6.60
2000-10-01,6.67
2000-11-01,6.65
2000-12-01,6.45
2001-01-01,5.62
2001-02-01,5.26
2001-03-01,4.89
2001-04-01,4.53
2001-05-01,4.02
2001-06-01,3.74
2001-07-01,3.66
2001-08-01,3.48
2001-09-01,2.87
2001-10-01,2.31
2001-11-01,2.03
2001-12-01,1.83
2002-01-01,1.74
2002-02-01,1.82
2002-03-01,1.91
2002-04-01,1.87
2002-05-01,1.82
2002-06-01,1.81
2002-07-01,1.79
2002-08-01,1.73
2002-09-01,1.76
2002-10-01,1.73
2002-11-01,1.39
2002-12-01,1.34
2003-01-01,1.29
2003-02-01,1.27
2003-03-01,1.23
2003-04-01,1.24
2003-05-01,1.22
2003-06-01,1.04
2003-07-01,1.05
2003-08-01,1.08
2003-09-01,1.08
2003-10-01,1.10
2003-11-01,1.11
2003-12-01,1.10
2004-01-01,1.06
2004-02-01,1.05
2004-03-01,1.05
2004-04-01,1.08
2004-05-01,1.20
2004-06-01,1.46
2004-07-01,1.57
2004-08-01,1.68
2004-09-01,1.86
2004-10-01,2.04
2004-11-01,2.26
2004-12-01,2.45
2005-01-01,2.61
2005-02-01,2.77
2005-03-01,2.97
2005-04-01,3.09
2005-05-01,3.22
2005-06-01,3.38
2005-07-01,3.57
2005-08-01,3.77
2005-09-01,3.87
2005-10-01,4.13
2005-11-01,4.31
2005-12-01,4.45
2006-01-01,4.56
2006-02-01,4.72
2006-03-01,4.88
2006-04-01,5.03
2006-05-01,5.15
2006-06-01,5.35
2006-07-01,5.46
2006-08-01,5.38
2006-09-01,5.34
2006-10-01,5.33
2006-11-01,5.32
2006-12-01,5.32
2007-01-01,5.32
2007-02-01,5.31
2007-03-01,5.30
2007-04-01,5.31
2007-05-01,5.31
2007-06-01,5.33
2007-07-01,5.32
2007-08-01,5.49
2007-09-01,5.46
2007-10-01,5.08
2007-11-01,4.97
2007-12-01,5.02
2008-01-01,3.84
2008-02-01,3.06
2008-03-01,2.79
2008-04-01,2.85
2008-05-01,2.66
2008-06-01,2.76
2008-07-01,2.79
2008-08-01,2.79
2008-09-01,3.59
2008-10-01,4.32
2008-11-01,2.36
2008-12-01,1.77
2009-01-01,1.02
2009-02-01,1.16
2009-03-01,1.07
2009-04-01,0.89
2009-05-01,0.57
2009-06-01,0.39
2009-07-01,0.35
2009-08-01,0.30
2009-09-01,0.25
2009-10-01,0.24
2009-11-01,0.21
2009-12-01,0.22
2010-01-01,0.20
2010-02-01,0.19
2010-03-01,0.23
2010-04-01,0.30
2010-05-01,0.45
2010-06-01,0.52
2010-07-01,0.41
2010-08-01,0.32
2010-09-01,0.28
2010-10-01,0.27
2010-11-01,0.27
2010-12-01,0.30
2011-01-01,0.29
2011-02-01,0.28
2011-03-01,0.28
2011-04-01,0.23
2011-05-01,0.21
2011-06-01,0.22
2011-07-01,0.24
2011-08-01,0.29
2011-09-01,0.33
2011-10-01,0.37
2011-11-01,0.41
2011-12-01,0.49
2012-01-01,0.40
2012-02-01,0.30
2012-03-01,0.29
2012-04-01,0.29
2012-05-01,0.29
2012-06-01,0.32
2012-07-01,0.30
2012-08-01,0.26
2012-09-01,0.24
2012-10-01,0.23
2012-11-01,0.23
2012-12-01,0.24
2013-01-01,0.23
2013-02-01,0.22
2013-03-01,0.21
2013-04-01,0.20
2013-05-01,0.20
2013-06-01,0.19
2013-07-01,0.14
2013-08-01,0.12
2013-09-01,0.11
2013-10-01,0.12
2013-11-01,0.12
2013-12-01,0.14
2014-01-01,0.12
2014-02-01,0.13
2014-03-01,0.12
2014-04-01,0.12
2014-05-01,0.11
2014-06-01,0.11
2014-07-01,0.13
2014-08-01,0.13
2014-09-01,0.12
2014-10-01,0.12
2014-11-01,0.13
2014-12-01,0.15
2015-01-01,0.16
2015-02-01,0.15
2015-03-01,0.14
2015-04-01,0.13
2015-05-01,0.15
2015-06-01,0.18
2015-07-01,0.19
2015-08-01,0.26
2015-09-01,0.27
2015-10-01,0.25
2015-11-01,0.30
2015-12-01,0.54
2016-01-01,0.57
2016-02-01,0.54
2016-03-01,0.55
2016-04-01,0.55
2016-05-01,0.57
2016-06-01,0.55
2016-07-01,0.62
2016-08-01,0.73
2016-09-01,0.75
2016-10-01,0.72
2016-11-01,0.71
2016-12-01,0.87
2017-01-01,0.90
2017-02-01,0.87
2017-03-01,0.98
2017-04-01,1.03
2017-05-01,1.05
2017-06-01,1.16
2017-07-01,1.22
2017-08-01,1.25
2017-09-01,1.25
2017-10-01,1.26
2017-11-01,1.32
2017-12-01,1.53
2018-01-01,1.67
2018-02-01,1.78
2018-03-01,2.08
2018-04-01,2.20
2018-05-01,2.16
