Date,U34EVS
2011-09-01,795000000.00
2011-10-01,541000000.00
2011-11-01,649000000.00
2011-12-01,840000000.00
2012-01-01,399000000.00
2012-02-01,436000000.00
2012-03-01,495000000.00
2012-04-01,401000000.00
2012-05-01,653000000.00
2012-06-01,458000000.00
2012-07-01,363000000.00
2012-08-01,414000000.00
2012-09-01,436000000.00
2012-10-01,573000000.00
2012-11-01,482000000.00
2012-12-01,372000000.00
2013-01-01,345000000.00
2013-02-01,370000000.00
2013-03-01,428000000.00
2013-04-01,457000000.00
2013-05-01,423000000.00
2013-06-01,414000000.00
2013-07-01,352000000.00
2013-08-01,405000000.00
2013-09-01,450000000.00
2013-10-01,450000000.00
2013-11-01,398000000.00
2013-12-01,380000000.00
2014-01-01,335000000.00
2014-02-01,371000000.00
2014-03-01,320000000.00
2014-04-01,394000000.00
2014-05-01,304000000.00
2014-06-01,312000000.00
2014-07-01,381000000.00
2014-08-01,314000000.00
2014-09-01,387000000.00
2014-10-01,345000000.00
2014-11-01,336000000.00
2014-12-01,317000000.00
2015-01-01,280000000.00
2015-02-01,317000000.00
2015-03-01,364000000.00
2015-04-01,318000000.00
2015-05-01,251000000.00
2015-06-01,228000000.00
2015-07-01,247000000.00
2015-08-01,280000000.00
2015-09-01,292000000.00
2015-10-01,311000000.00
2015-11-01,284000000.00
2015-12-01,363000000.00
2016-01-01,207000000.00
2016-02-01,283000000.00
2016-03-01,263000000.00
2016-04-01,241000000.00
2016-05-01,252000000.00
2016-06-01,250000000.00
2016-07-01,242000000.00
2016-08-01,294000000.00
2016-09-01,306000000.00
2016-10-01,251000000.00
2016-11-01,273000000.00
2016-12-01,240000000.00
2017-01-01,198000000.00
2017-02-01,246000000.00
2017-03-01,260000000.00
2017-04-01,239000000.00
2017-05-01,248000000.00
2017-06-01,246000000.00
2017-07-01,231000000.00
2017-08-01,263000000.00
2017-09-01,283000000.00
2017-10-01,265000000.00
2017-11-01,266000000.00
2017-12-01,243000000.00
2018-01-01,209000000.00
2018-02-01,265000000.00
2018-03-01,288000000.00
2018-04-01,258000000.00
