Date,CAPUTLGMFOS
2010-07-01,66.62
2010-08-01,65.76
2010-09-01,65.47
2010-10-01,65.90
2010-11-01,66.07
2010-12-01,66.16
2011-01-01,65.51
2011-02-01,65.15
2011-03-01,64.71
2011-04-01,64.86
2011-05-01,64.74
2011-06-01,64.59
2011-07-01,65.15
2011-08-01,65.17
2011-09-01,65.52
2011-10-01,65.87
2011-11-01,65.97
2011-12-01,66.59
2012-01-01,65.92
2012-02-01,66.09
2012-03-01,65.48
2012-04-01,64.93
2012-05-01,63.81
2012-06-01,62.55
2012-07-01,61.65
2012-08-01,61.51
2012-09-01,61.04
2012-10-01,60.68
2012-11-01,61.34
2012-12-01,61.35
2013-01-01,61.16
2013-02-01,60.75
2013-03-01,60.31
2013-04-01,60.49
2013-05-01,61.19
2013-06-01,61.08
2013-07-01,62.04
2013-08-01,63.18
2013-09-01,64.12
2013-10-01,63.51
2013-11-01,62.94
2013-12-01,63.35
2014-01-01,63.62
2014-02-01,64.18
2014-03-01,64.14
2014-04-01,64.13
2014-05-01,64.23
2014-06-01,64.56
2014-07-01,64.23
2014-08-01,63.72
2014-09-01,62.72
2014-10-01,62.27
2014-11-01,62.14
2014-12-01,61.79
2015-01-01,61.78
2015-02-01,61.60
2015-03-01,62.48
2015-04-01,62.90
2015-05-01,63.26
2015-06-01,63.58
2015-07-01,64.82
2015-08-01,64.39
2015-09-01,63.61
2015-10-01,64.24
2015-11-01,64.44
2015-12-01,64.33
2016-01-01,64.39
2016-02-01,64.53
2016-03-01,63.90
2016-04-01,64.02
2016-05-01,64.05
2016-06-01,63.47
2016-07-01,63.52
2016-08-01,63.17
2016-09-01,63.16
2016-10-01,63.07
2016-11-01,62.71
2016-12-01,62.40
2017-01-01,62.46
2017-02-01,62.91
2017-03-01,62.08
2017-04-01,61.63
2017-05-01,61.17
2017-06-01,60.97
2017-07-01,60.10
2017-08-01,59.91
2017-09-01,60.45
2017-10-01,61.63
2017-11-01,60.47
2017-12-01,59.39
2018-01-01,59.43
2018-02-01,60.74
2018-03-01,60.70
2018-04-01,61.30
2018-05-01,60.56
