Date,UMTMVS
2004-06-01,379725000000.00
2004-07-01,332134000000.00
2004-08-01,371578000000.00
2004-09-01,381186000000.00
2004-10-01,377425000000.00
2004-11-01,367316000000.00
2004-12-01,372060000000.00
2005-01-01,346845000000.00
2005-02-01,360009000000.00
2005-03-01,408699000000.00
2005-04-01,386657000000.00
2005-05-01,396886000000.00
2005-06-01,417555000000.00
2005-07-01,362573000000.00
2005-08-01,416538000000.00
2005-09-01,423813000000.00
2005-10-01,414186000000.00
2005-11-01,401328000000.00
2005-12-01,406988000000.00
2006-01-01,380278000000.00
2006-02-01,386860000000.00
2006-03-01,444217000000.00
2006-04-01,402039000000.00
2006-05-01,438708000000.00
2006-06-01,452172000000.00
2006-07-01,392564000000.00
2006-08-01,444840000000.00
2006-09-01,427888000000.00
2006-10-01,422912000000.00
2006-11-01,408549000000.00
2006-12-01,414525000000.00
2007-01-01,388574000000.00
2007-02-01,397035000000.00
2007-03-01,454967000000.00
2007-04-01,431264000000.00
2007-05-01,460286000000.00
2007-06-01,469555000000.00
2007-07-01,423669000000.00
2007-08-01,468381000000.00
2007-09-01,455609000000.00
2007-10-01,470641000000.00
2007-11-01,453942000000.00
2007-12-01,445534000000.00
2008-01-01,432307000000.00
2008-02-01,442996000000.00
2008-03-01,474592000000.00
2008-04-01,475667000000.00
2008-05-01,490500000000.00
2008-06-01,510081000000.00
2008-07-01,476948000000.00
2008-08-01,482530000000.00
2008-09-01,471799000000.00
2008-10-01,450521000000.00
2008-11-01,383475000000.00
2008-12-01,377578000000.00
2009-01-01,337101000000.00
2009-02-01,340896000000.00
2009-03-01,374521000000.00
2009-04-01,354790000000.00
2009-05-01,358584000000.00
2009-06-01,385206000000.00
2009-07-01,358332000000.00
2009-08-01,377369000000.00
2009-09-01,389504000000.00
2009-10-01,389108000000.00
2009-11-01,372369000000.00
2009-12-01,385999000000.00
2010-01-01,359013000000.00
2010-02-01,362439000000.00
2010-03-01,424203000000.00
2010-04-01,408902000000.00
2010-05-01,408799000000.00
2010-06-01,428819000000.00
2010-07-01,398302000000.00
2010-08-01,424860000000.00
2010-09-01,431329000000.00
2010-10-01,425072000000.00
2010-11-01,412464000000.00
2010-12-01,427075000000.00
2011-01-01,403211000000.00
2011-02-01,407684000000.00
2011-03-01,485327000000.00
2011-04-01,456422000000.00
2011-05-01,466496000000.00
2011-06-01,484994000000.00
2011-07-01,445432000000.00
2011-08-01,484300000000.00
2011-09-01,478009000000.00
2011-10-01,469514000000.00
2011-11-01,453233000000.00
2011-12-01,457272000000.00
2012-01-01,434180000000.00
2012-02-01,454085000000.00
2012-03-01,503155000000.00
2012-04-01,472886000000.00
2012-05-01,492985000000.00
2012-06-01,487993000000.00
2012-07-01,453560000000.00
2012-08-01,493770000000.00
2012-09-01,482268000000.00
2012-10-01,491794000000.00
2012-11-01,467007000000.00
2012-12-01,463045000000.00
2013-01-01,447825000000.00
2013-02-01,453495000000.00
2013-03-01,501472000000.00
2013-04-01,481813000000.00
2013-05-01,501730000000.00
2013-06-01,496620000000.00
2013-07-01,472578000000.00
2013-08-01,502365000000.00
2013-09-01,497243000000.00
2013-10-01,502409000000.00
2013-11-01,475238000000.00
2013-12-01,476957000000.00
2014-01-01,451848000000.00
2014-02-01,457671000000.00
2014-03-01,513700000000.00
2014-04-01,496599000000.00
2014-05-01,506633000000.00
2014-06-01,516935000000.00
2014-07-01,487886000000.00
2014-08-01,506579000000.00
2014-09-01,512988000000.00
2014-10-01,505685000000.00
2014-11-01,458472000000.00
2014-12-01,472563000000.00
2015-01-01,424095000000.00
2015-02-01,430233000000.00
2015-03-01,492451000000.00
2015-04-01,468957000000.00
2015-05-01,468526000000.00
2015-06-01,495062000000.00
2015-07-01,453879000000.00
2015-08-01,469213000000.00
2015-09-01,477402000000.00
2015-10-01,465063000000.00
2015-11-01,435515000000.00
2015-12-01,438624000000.00
2016-01-01,398051000000.00
2016-02-01,423282000000.00
2016-03-01,471259000000.00
2016-04-01,439410000000.00
2016-05-01,451226000000.00
2016-06-01,474696000000.00
2016-07-01,421557000000.00
2016-08-01,464790000000.00
2016-09-01,468055000000.00
2016-10-01,452861000000.00
2016-11-01,438012000000.00
2016-12-01,451495000000.00
2017-01-01,421083000000.00
2017-02-01,427284000000.00
2017-03-01,491455000000.00
2017-04-01,449373000000.00
2017-05-01,478519000000.00
2017-06-01,491415000000.00
2017-07-01,440348000000.00
2017-08-01,489567000000.00
2017-09-01,485527000000.00
2017-10-01,486150000000.00
2017-11-01,473983000000.00
2017-12-01,470212000000.00
2018-01-01,453777000000.00
2018-02-01,455059000000.00
2018-03-01,518285000000.00
2018-04-01,489168000000.00
