BGA       	Bioneutra Global Corp                             	TSXV      
BGD       	Bullion Gold Resources Corp                       	TSXV      
BGE       	Bison Gold Resources Inc                          	TSXV      
BGG       	Buccaneer Gold Corp                               	TSXV      
BGL       	Bandera Gold Ltd                                  	TSXV      
BGM       	Barkerville Gold Mines Ltd                        	TSXV      
BGS       	Baroyeca Gold and Silver Inc                      	TSXV      
BHR       	Blackheath Resources Inc                          	TSXV      
BHS       	Bayhorse Silver Inc                               	TSXV      
BHT       	Braveheart Resources Inc                          	TSXV      
BIT       	Black Isle Resources Corp                         	TSXV      
BKD       	Breaking Data Corp                                	TSXV      
BKM       	Pacific Booker Minerals Inc                       	TSXV      
BKR       	Berkwood Resources Ltd                            	TSXV      
BLC.P     	Black Lion Capital Corp                           	TSXV      
BLM       	Blumetric Environmental Inc                       	TSXV      
BLN       	Blackline Safety Corp                             	TSXV      
BLR       	Blackhawk Resource Corp                           	TSXV      
BLS       	Black Sea Copper and Gold Corp                    	TSXV      
BM        	Bc Moly Ltd                                       	TSXV      
BME       	Barsele Minerals Corp                             	TSXV      
BMK       	Macdonald Mines Expl Ltd                          	TSXV      
BML       	Barker Minerals Ltd                               	TSXV      
BMM       	Black Mammoth Metals Corp                         	TSXV      
BMR.H     	Bradmer Pharmaceuticals Inc                       	TSXV      
BN.H      	Bluenose Gold Corp                                	TSXV      
BOC       	Blueocean Nutrasciences Inc                       	TSXV      
BOL       	Bold Ventures Inc                                 	TSXV      
BOR       	Border Petroleum Limited                          	TSXV      
BP.H      	Backstageplay Inc                                 	TSXV      
BPLI      	Bluedrop Performance Learning Inc                 	TSXV      
BQ.H      	Bq Metals Corp                                    	TSXV      
BQE       	Bqe Water Inc                                     	TSXV      
BRC       	Blackrock Gold Corp                               	TSXV      
BRD       	Broadway Gold Mining Ltd                          	TSXV      
BRL       	Bearclaw Capital Corp                             	TSXV      
BRM       	Biorem Inc                                        	TSXV      
BRN.PR.A  	Brookfield Investments Corp Pref A                	TSXV      
BRS       	Brs Resources Ltd                                 	TSXV      
BRU       	Brunswick Resources Inc                           	TSXV      
BRZ       	Bearing Lithium Corp                              	TSXV      
BSH       	Bayshore Petroleum Corp                           	TSXV      
BSI       	Blue Sky Energy Inc                               	TSXV      
BSK       	Blue Sky Uranium Corp                             	TSXV      
BSR       	Bluestone Resources Inc                           	TSXV      
BTI       	Bioasis Technologies Inc                          	TSXV      
BTL       	Btl Group Ltd                                     	TSXV      
BTR       	Bonterra Resources Inc                            	TSXV      
BTRU      	Betteru Education Corp                            	TSXV      
BTT       	Bitterroot Resources Ltd                          	TSXV      
BTU       	Btu Metals Corp                                   	TSXV      
BTV       	Bluerush Media Group Corp                         	TSXV      
BUD       	Satori Resources Inc                              	TSXV      
BUF       	Buffalo Coal Corp                                 	TSXV      
BUL       	Bullman Minerals Inc                              	TSXV      
BUS       	Grande West Transportation Group Inc              	TSXV      
BUZ.P     	Buzz Capital Inc                                  	TSXV      
BVA       	Bravada Gold Corp                                 	TSXV      
BVO       	Bevo Agro Inc                                     	TSXV      
BWR       	Bwr Exploration Inc                               	TSXV      
BXR       	Blue River Resources Ltd                          	TSXV      
BYM.H     	Baymount Incorporated                             	TSXV      
BYN       	Banyan Gold Corp                                  	TSXV      
BYU       	Bayswater Uranium Corp                            	TSXV      
BYU.H     	Bayswater Uranium Corporation                     	TSXV      
BZ        	Benz Mining Corp                                  	TSXV      
C         	Contact Gold Inc                                  	TSXV      
CAD       	Colonial Coal International Corp                  	TSXV      
CAF       	Canaf Group Inc                                   	TSXV      
CAK.H     	Capricorn Business Acquisitions Inc               	TSXV      
CANB.P    	Canadabis Capital Inc                             	TSXV      
CAND      	Candelaria Mining Corp                            	TSXV      
CANX      	Canex Metals Inc                                  	TSXV      
CAP       	Castle Peak Mining Ltd                            	TSXV      
CAT       	Chimata Gold Corp                                 	TSXV      
CAV       	Camrova Resources Inc                             	TSXV      
CAY       	Cache Exploration Inc                             	TSXV      
CBA       	Champion Bear Res Ltd                             	TSXV      
CBE       	Cabo Drilling Corp                                	TSXV      
CBG       	Chibougamau Independent Mines Inc                 	TSXV      
CBI       	Colibri Resource Corp                             	TSXV      
CBLT      	Cblt Inc                                          	TSXV      
CBS       	Bard Ventures Ltd                                 	TSXV      
CBV       	Cobra Venture Corp                                	TSXV      
CBW       	Cannabis Wheaton Income Corp                      	TSXV      
CBW.WT    	Cannabis Wheaton Income Corp Wts                  	TSXV      
CBX       	Cortex Business Solutions Inc                     	TSXV      
CCB       	Canada Carbon Inc                                 	TSXV      
CCC       	Cornerstone Metals Inc                            	TSXV      
CCD       	Cascadero Copper Corp                             	TSXV      
CCE       	Commerce Resources Corp                           	TSXV      
CCK       	Canada Coal Inc                                   	TSXV      
CD        	Cantex Mine Development Corp                      	TSXV      
CDA       	Canuc Resources Corp                              	TSXV      
CDB       	Cordoba Minerals Corp                             	TSXV      
CDC       	Cadillac Ventures Inc                             	TSXV      
CDG       	Candente Gold Corp                                	TSXV      
CDU       	Cardero Resource Corp                             	TSXV      
CE        	Canada Energy Partners Inc                        	TSXV      
CEA       	Cerus Energy Group Ltd                            	TSXV      
CEI       	Crystal Exploration Inc                           	TSXV      
CEL.H     	Columbus Energy Limited                           	TSXV      
CEM       	Constantine Metal Resources Ltd                   	TSXV      
CEN       	Claren Energy Corp                                	TSXV      
CEP       	Cliffside Capital Ltd                             	TSXV      
CFI.P     	Califfi Capital Corp                              	TSXV      
CFM       	Confederation Minerals Ltd                        	TSXV      
CFY       	Changfeng Energy Inc                              	TSXV      
CGD       	Carlin Gold Corp                                  	TSXV      
CGE       	Corex Gold Corp                                   	TSXV      
CGLD      	Core Gold Inc.                                    	TSXV      
CGM       	California Gold Mining Inc                        	TSXV      
CGP       	Cornerstone Capital Resources Inc                 	TSXV      
CGP.WT.S  	Cornerstone Capital Res Inc Wts                   	TSXV      
CH        	Urban Select Captial Corp                         	TSXV      
CHC       	Chc Student Housing Corp                          	TSXV      
CHN       	China Education Resources Inc                     	TSXV      
CHQ       	Carrus Capital Corp                               	TSXV      
CHTA      	Cheetah Canyon Resources Corp                     	TSXV      
CHY.H     	Cypress Hills Resource C                          	TSXV      
CIFR      	Cipher Resources Inc.                             	TSXV      
CII.H     	Corporate Catalyst Acquisition Inc                	TSXV      
CIN       	Canadian Intl Minerals Inc                        	TSXV      
CIO       	Central Iron Ore Limited                          	TSXV      
CIP.H     	Canadian International Pharma Corp                	TSXV      
CIT.H     	Cr Capital Corp                                   	TSXV      
CJC       	Canada Strategic Metals Inc                       	TSXV      
CKG       	Chesapeake Gold Corp                              	TSXV      
CKK       	Cordy Oilfield Services Inc                       	TSXV      
CKR       	Ckr Carbon Corp                                   	TSXV      
CKZ.H     	Caspian Energy Inc                                	TSXV      
CLB       	Colombia Crest Gold Corp                          	TSXV      
CLE       	Clean Commodities Corp                            	TSXV      
CLH       	Coral Gold Resources Ltd                          	TSXV      
CLI       	Clearford Water Systems Inc                       	TSXV      
CLM       	Crystal Lake Mining Corp                          	TSXV      
CLV       	Canoe Mining Ventures Corp                        	TSXV      
CLY       	Clarocity Corp                                    	TSXV      
CLZ       	Canasil Resources Inc                             	TSXV      
CMB       	Cmc Metals Ltd                                    	TSXV      
CMD       	Commander Resources Ltd                           	TSXV      
CMI       	C-Com Satellite Systems Inc                       	TSXV      
CML       	Canickel Mining Limited                           	TSXV      
CMM       	Canabo Medical Inc                                	TSXV      
CMU       	Comet Industries Ltd                              	TSXV      
CMV       	China Minerals Mining Corp                        	TSXV      
CMX       	Chilean Metals Inc                                	TSXV      
CN        	Condor Resources Inc                              	TSXV      
CNC       	Canyon Copper Corp                                	TSXV      
CNG       	Canadian Mining Corp                              	TSXV      
CNH       	Crownia Holdings Ltd                              	TSXV      
CNO       	California Nanotechnologies Corp                  	TSXV      
CNS       	Contagious Gaming Inc                             	TSXV      
CNX       	Callinex Mines Inc                                	TSXV      
CNZ       	Canadian Zeolite Corp                             	TSXV      
COB.U     	Cohbar Inc                                        	TSXV      
