CRBP2     	CRCAM BRIE PIC2CCI                                	PAR       
CRI       	CHARGEURS                                         	PAR       
CRLA      	CRCAM LANGUED CCI                                 	PAR       
CRLO      	CRCAM LOIRE HTE L.                                	PAR       
CRSU      	CRCAM SUD R.A.CCI                                 	PAR       
CRTO      	CRCAM TOURAINE CCI                                	PAR       
CS        	AXA                                               	PAR       
CTRG      	CATERING INTL SCES                                	PAR       
DBG       	DERICHEBOURG                                      	PAR       
DBT       	ENCRES DUBUIT                                     	PAR       
DBV       	                                                  	PAR       
DEC       	JC DECAUX SA.                                     	PAR       
DEXB      	                                                  	PAR       
DG        	VINCI                                             	PAR       
DGE       	DIAGEO                                            	PAR       
DGM       	DIAGNOSTIC MEDICAL                                	PAR       
DGMBS     	                                                  	PAR       
DIG       	DIGIGRAM                                          	PAR       
DIM       	SARTORIUS STED BIO                                	PAR       
DLTA      	DELTA PLUS GROUP                                  	PAR       
DNX       	DNXCORP                                           	PAR       
DP        	IRDNORDPASDECALAIS                                	PAR       
DPT       	ST DUPONT                                         	PAR       
DSY       	DASSAULT SYSTEMES                                 	PAR       
DUC       	                                                  	PAR       
DVT       	DEVOTEAM                                          	PAR       
EC        	TOTAL GABON                                       	PAR       
ECASA     	ECA                                               	PAR       
ECP       	EUROPACORP                                        	PAR       
EDEN      	EDENRED                                           	PAR       
EDF       	EDF                                               	PAR       
EDI       	MEDIA 6                                           	PAR       
EDL       	EURO DISNEY                                       	PAR       
EEM       	ELEC.MADAGASCAR                                   	PAR       
EI        	ESSILOR INTL.                                     	PAR       
EIFF      	TOUR EIFFEL                                       	PAR       
EKI       	                                                  	PAR       
ELE       	EULER HERMES                                      	PAR       
ELEC      	ELEC.STRASBOURG                                   	PAR       
ELIOR     	                                                  	PAR       
ELIS      	SA Elis                                           	PAR       
EMG       	EUROMEDIS GROUPE                                  	PAR       
EN        	BOUYGUES                                          	PAR       
ENX       	                                                  	PAR       
EO        	FAURECIA                                          	PAR       
EOS       	ACTEOS                                            	PAR       
EOSI      	                                                  	PAR       
