3UIS	Nx09100w 190601
A27	Mdr Limited
A30	Aspial Corporation Limited
A31	Addvalue Technologies Ltd
A33	Blumont Group Ltd.
A34	Amara Holdings Ltd
A35	Abf Spore Bond Index Fund Etf
A50	Rowsley Ltd.
A52	Annaik Limited
A55	Asia Enterprises Holding Ltd
A59	Action Asia Limited
A68U	Ascott Residence Trust
A6F	Unionmet (singapore) Limited
A75	Ace Achieve Infocom Limited
A78	Liongold Corp Ltd
A7RU	Cityspring Infrastruct Trust
A7S	Sunvic Chemical Holdings Ltd
A9A	Lyxor Msci Taiwan Index Fund10
A9B	Lyxor Hang Seng Index Fund 10
AAJ	Sunmoon Food Company Limited
ACV	Frasers Hospitality Trust
ACW	Chiwayland International Ltd
ACXW	Chiwayland Intl W170108
AD7	China Bearing (singapore) Ltd.
AD8	Sino Techfibre Limited
ADJ	Ols Enterprise Ltd.
ADN	First Sponsor Group Limited
ADP	Swissco Holdings Limited
ADQU	Accordia Golf Trust
AFC	W Corporation Limited
AFUS	Nx15100z 250601
AFWS	N215100f 171001
AGAW	Innopac Holdings W171110
AGIW	Nol Mb Ecw151201
AGJW	Genting Sin Mb Ecw151201
AGS	The Hour Glass Limited
AGUW	Singtel Mb Epw151102
AI1	Texchem-pack Holdings (s) Ltd.
AIJW	Ezra Mb Ecw160104
AIPW	Sembcorp Marine Mb Ecw151102
AIQW	Yangzijiang Mb Ecw160104
AITW	Ezion Mb Ecw151102
AIY	Ifast Corporation Ltd.
AIZW	Interra Resources W151208
AJ2	Ouhua Energy Holdings Limited
AJBU	Keppel Dc Reit
AJHW	Shs Holdings W191216
AJMW	Sembcorp Marine Mb Ecw160104
AKAW	Noble Group Mb Epw160104
AKBW	Genting Sin Mb Epw160104
ALJW	Nol Mb Ecw160601
ALKW	Nol Mb Ecw160201
ALLW	Genting Sin Mb Epw160106
ALNW	Genting Sin Mb Ecw160301
ALOW	Genting Sin Mb Ecw160201
ALPW	Genting Sin Mb Ecw160105
ALRW	Capitaland Mb Ecw160601
ALSW	Capitaland Mb Epw160302
ALTW	Capitaland Mb Epw160301
ALUW	Globallogisticpropmbecw160601
ALVW	Globallogisticpropmbepw151005
ALWW	Globallogisticpropmbepw151002
ALXW	Globallogisticpropmbecw151005
AMAW	Noble Group Mb Ecw160601
AMBW	Noble Group Mb Epw151201
AMCW	Singtel Mb Ecw160111
AMDW	Singtel Mb Epw160106
AMEW	Singtel Mb Epw160105
AMFW	Wilmar Mb Epw160106
AMGW	Wilmar Mb Epw160105
AMIW	Yangzijiang Mbecw160105
AMJW	Yangzijiang Mb Ecw160606
AMKW	Wilmar Mb Ecw160104
AMLW	Sembcorp Marine Mb Ecw151103
AMQW	Kepcorp Mb Ecw160601
AMVW	Uob Mb Ecw160601
ANBW	Dbs Mb Ecw160601
ANHW	Ocbc Bk Mb Ecw160601
ANKW	Singapore Exchangembepw160104
ANLW	Singapore Post Mb Ecw160601
ANMW	Singapore Post Mb Ecw160104
ANNW	Singapore Exchangembecw160601
ANOW	Singapore Exchangembecw160105
ANPW	Singapore Exchangembecw160104
ANQW	Singapore Exchangembepw160105
AO9	Lyxor Korea 10
AOF	Amplefield Limited
AP4	Riverstone Holdings Limited
ASQW	Genting Sin Mb Ecw160302
ATAW	China Mobile Mb Ecw151005
ATBW	China Mobile Mb Epw151005
ATCW	Cnooc Mb Ecw151005
ATDW	Cnooc Mb Epw151005
ATL	Courage Marine Group Limited
ATN	The Stratech Group Limited
ATRW	Singtel Mb Ecw160603
ATSW	Singtel Mb Epw160603
AU8U	Capitaretail China Trust
AUE	United Fiber System Limited
AUHW	Hkexc Mb Ecw151005
AUIW	Hkexc Mb Epw151005
AUJW	Pinganins Mb Ecw151005
AUKW	Pinganins Mb Epw151005
AULW	Tencent Mb Ecw151005
