CADDKK    	Canadian Dollar / Danish Krone                    	FOREX     
CADEUR    	Canadian Dollar / Euro Dollar                     	FOREX     
CADGBP    	Canadian Dollar / Pound Sterling                  	FOREX     
CADHKD    	Canadian Dollar / Hong Kong Dollar                	FOREX     
CADIDR    	Canadian Dollar / Indian Rupiah                   	FOREX     
CADILS    	Canadian Dollar / New Israeli Sheqel              	FOREX     
CADINR    	Canadian Dollar / Indian Rupee                    	FOREX     
CADISK    	Canadian Dollar / Iceland Krona                   	FOREX     
CADJPY    	Canadian Dollar / Japanese Yen                    	FOREX     
CADKRW    	Canadian Dollar / Korean Won                      	FOREX     
CADKWD    	Canadian Dollar / Kuwaiti Dinar                   	FOREX     
CADMXN    	Canadian Dollar / Mexican Peso                    	FOREX     
CADMYR    	Canadian Dollar / Malaysian Ringgit               	FOREX     
CADNOK    	Canadian Dollar / Norwegian Krone                 	FOREX     
CADNZD    	Canadian Dollar / New Zealand Dollar              	FOREX     
CADPKR    	Canadian Dollar / Pakistan Rupee                  	FOREX     
CADPLN    	Canadian Dollar / Polish Zloty                    	FOREX     
CADRUB    	Canadian Dollar / Russian Ruble                   	FOREX     
CADSEK    	Canadian Dollar / Swedish Krona                   	FOREX     
CADSGD    	Canadian Dollar / Singapore Dollar                	FOREX     
CADTHB    	Canadian Dollar / Thai Baht                       	FOREX     
CADTRY    	Canadian Dollar / Turkish Lira                    	FOREX     
CADTWD    	Canadian Dollar / New Taiwan Dollar               	FOREX     
CADUSD    	Canadian Dollar / US Dollar                       	FOREX     
CADZAR    	Canadian Dollar / South African Rand              	FOREX     
CDFUSD    	Franc Congolais / US Dollar                       	FOREX     
CHFAED    	Swiss Franc / UAE Dirham                          	FOREX     
CHFARS    	Swiss Franc / Argentine Peso                      	FOREX     
CHFAUD    	Swiss Franc / Australian Dollar                   	FOREX     
CHFBRL    	Swiss Franc / Brazilian Real                      	FOREX     
CHFBWP    	Swiss Franc / Pula                                	FOREX     
CHFCAD    	Swiss Franc / Canadian Dollar                     	FOREX     
CHFCNH    	Swiss Franc / Renminbi (Offshore)                 	FOREX     
CHFCNY    	Swiss Franc / Yuan Renminbi                       	FOREX     
CHFCZK    	Swiss Franc / Czech Koruna                        	FOREX     
CHFDKK    	Swiss Franc / Danish Krone                        	FOREX     
CHFEUR    	Swiss Franc / Euro Dollar                         	FOREX     
CHFGBP    	Swiss Franc / Pound Sterling                      	FOREX     
CHFHKD    	Swiss Franc / Hong Kong Dollar                    	FOREX     
CHFHUF    	Swiss Franc / Hungarian Forint                    	FOREX     
CHFIDR    	Swiss Franc / Indian Rupiah                       	FOREX     
CHFILS    	Swiss Franc / New Israeli Sheqel                  	FOREX     
CHFINR    	Swiss Franc / Indian Rupee                        	FOREX     
CHFISK    	Swiss Franc / Iceland Krona                       	FOREX     
CHFJPY    	Swiss Franc / Japanese Yen                        	FOREX     
CHFKRW    	Swiss Franc / Korean Won                          	FOREX     
CHFMXN    	Swiss Franc / Mexican Peso                        	FOREX     
CHFMYR    	Swiss Franc / Malaysian Ringgit                   	FOREX     
CHFNOK    	Swiss Franc / Norwegian Krone                     	FOREX     
CHFNZD    	Swiss Franc / New Zealand Dollar                  	FOREX     
CHFPKR    	Swiss Franc / Pakistan Rupee                      	FOREX     
CHFPLN    	Swiss Franc / Polish Zloty                        	FOREX     
CHFRON    	Swiss Franc / Romanian Leu                        	FOREX     
CHFRUB    	Swiss Franc / Russian Ruble                       	FOREX     
CHFSEK    	Swiss Franc / Swedish Krona                       	FOREX     
CHFSGD    	Swiss Franc / Singapore Dollar                    	FOREX     
CHFSZL    	Swiss Franc / Lilangeni                           	FOREX     
CHFTHB    	Swiss Franc / Thai Baht                           	FOREX     
CHFTRY    	Swiss Franc / Turkish Lira                        	FOREX     
CHFTWD    	Swiss Franc / New Taiwan Dollar                   	FOREX     
CHFUSD    	Swiss Franc / US Dollar                           	FOREX     
CHFUZS    	Swiss Franc / Uzbekistan Sum                      	FOREX     
CHFZAR    	Swiss Franc / South African Rand                  	FOREX     
CLPEUR    	Chilean Peso / Euro Dollar                        	FOREX     
CLPGBP    	Chilean Peso / Pound Sterling                     	FOREX     
CLPUSD    	Chilean Peso / US Dollar                          	FOREX     
CNHHKD    	Renminbi (Offshore) / Hong Kong Dollar            	FOREX     
CNHIDR    	Renminbi (Offshore) / Indonesian Rupiah           	FOREX     
CNHINR    	Renminbi (Offshore) / Indian Rupee                	FOREX     
CNHJPY    	Renminbi (Offshore) / Japanese Yen                	FOREX     
CNHKRW    	Renminbi (Offshore) / Korean Won                  	FOREX     
CNHPHP    	Renminbi (Offshore) / Philippine Peso             	FOREX     
CNHTHB    	Renminbi (Offshore) / Thai Baht                   	FOREX     
CNHTWD    	Renminbi (Offshore) / New Taiwan Dollar           	FOREX     
CNYAUD    	Yuan Renminbi / Australian Dollar                 	FOREX     
CNYBGN    	Yuan Renminbi / Bulgarian Lev                     	FOREX     
CNYCAD    	Yuan Renminbi / Canadian Dollar                   	FOREX     
CNYCHF    	Yuan Renminbi / Swiss Franc                       	FOREX     
CNYDKK    	Yuan Renminbi / Danish Krone                      	FOREX     
CNYEUR    	Yuan Renminbi / Euro Dollar                       	FOREX     
CNYGBP    	Yuan Renminbi / Pound Sterling                    	FOREX     
CNYHKD    	Yuan Renminbi / Hong Kong Dollar                  	FOREX     
CNYJPY    	Yuan Renminbi / Japanese Yen                      	FOREX     
CNYKRW    	Yuan Renminbi / Korean Won                        	FOREX     
CNYNZD    	Yuan Renminbi / New Zealand Dollar                	FOREX     
CNYPLN    	Yuan Renminbi / Polish Zloty                      	FOREX     
CNYUSD    	Yuan Renminbi / US Dollar                         	FOREX     
CNYZAR    	Yuan Renminbi / South African Rand                	FOREX     
COPDKK    	Colombian Peso / Danish Krone                     	FOREX     
COPPLN    	Colombian Peso / Polish Zloty                     	FOREX     
CRCGBP    	Costa Rican Colon / Pound Sterling                	FOREX     
CYPZAR    	Cyprus Pound / South African Rand                 	FOREX     
CZKCHF    	Czech Koruna / Swiss Franc                        	FOREX     
CZKDKK    	Czech Koruna / Danish Krone                       	FOREX     
CZKEUR    	Czech Koruna / Euro Dollar                        	FOREX     
CZKJPY    	Czech Koruna / Japanese Yen                       	FOREX     
CZKMXN    	Czech Koruna / Mexican Peso                       	FOREX     
CZKNOK    	Czech Koruna / Norwegian Krone                    	FOREX     
CZKPLN    	Czech Koruna / Polish Zloty                       	FOREX     
CZKSEK    	Czech Koruna / Swedish Krona                      	FOREX     
CZKUSD    	Czech Koruna / US Dollar                          	FOREX     
DJFGBP    	Djibouti Franc / Pound Sterling                   	FOREX     
DKKAED    	Danish Krone / UAE Dirham                         	FOREX     
DKKAUD    	Danish Krone / Australian Dollar                  	FOREX     
DKKBGN    	Danish Krone / Bulgarian Lev                      	FOREX     
DKKCAD    	Danish Krone / Canadian Dollar                    	FOREX     
DKKCHF    	Danish Krone / Swiss Franc                        	FOREX     
DKKCNY    	Danish Krone / Yuan Renminbi                      	FOREX     
DKKCOP    	Danish Krone / Colombian Peso                     	FOREX     
DKKCZK    	Danish Krone / Czech Koruna                       	FOREX     
DKKEUR    	Danish Krone / Euro Dollar                        	FOREX     
DKKGBP    	Danish Krone / Pound Sterling                     	FOREX     
DKKHKD    	Danish Krone / Hong Kong Dollar                   	FOREX     
DKKHUF    	Danish Krone / Hungarian Forint                   	FOREX     
DKKINR    	Danish Krone / Indian Rupee                       	FOREX     
DKKISK    	Danish Krone / Iceland Krona                      	FOREX     
DKKJPY    	Danish Krone / Japanese Yen                       	FOREX     
DKKMXN    	Danish Krone / Mexican Peso                       	FOREX     
DKKMYR    	Danish Krone / Malaysian Ringgit                  	FOREX     
DKKNOK    	Danish Krone / Norwegian Krone                    	FOREX     
DKKNZD    	Danish Krone / New Zealand Dollar                 	FOREX     
DKKPHP    	Danish Krone / Philippine Peso                    	FOREX     
DKKPKR    	Danish Krone / Pakistan Rupee                     	FOREX     
DKKPLN    	Danish Krone / Polish Zloty                       	FOREX     
DKKSEK    	Danish Krone / Swedish Krona                      	FOREX     
DKKSGD    	Danish Krone / Singapore Dollar                   	FOREX     
DKKTHB    	Danish Krone / Thai Baht                          	FOREX     
DKKTRY    	Danish Krone / Turkish Lira                       	FOREX     
DKKTWD    	Danish Krone / New Taiwan Dollar                  	FOREX     
DKKUAH    	Danish Krone / Hryvnia                            	FOREX     
DKKUSD    	Danish Krone / US Dollar                          	FOREX     
DKKZAR    	Danish Krone / South African Rand                 	FOREX     
DOPGBP    	Dominican Peso / Pound Sterling                   	FOREX     
DZDEUR    	Algerian Dinar / Euro Dollar                      	FOREX     
DZDUSD    	Algerian Dinar / US Dollar                        	FOREX     
EGPEUR    	Egyptian Pound / Euro Dollar                      	FOREX     
EGPJPY    	Egyptian Pound / Japanese Yen                     	FOREX     
EGPPKR    	Egyptian Pound / Pakistan Rupee                   	FOREX     
EGPUSD    	Egyptian Pound / US Dollar                        	FOREX     
ETBGBP    	Ethiopian Birr / Pound Sterling                   	FOREX     
EURAED    	Euro Dollar / UAE Dirham                          	FOREX     
EURAFN    	Euro Dollar / Afghani                             	FOREX     
EURALL    	Euro Dollar / Lek                                 	FOREX     
EURAMD    	Euro Dollar / Armenian Dram                       	FOREX     
EURARS    	Euro Dollar / Argentine Peso                      	FOREX     
EURAUD    	Euro Dollar / Australian Dollar                   	FOREX     
EURBAM    	Euro Dollar / Convertible Marks                   	FOREX     
EURBBD    	Euro Dollar / Barbados Dollar                     	FOREX     
EURBDT    	Euro Dollar / Taka                                	FOREX     
EURBGN    	Euro Dollar / Bulgarian Lev                       	FOREX     
EURBHD    	Euro Dollar / Bahraini Dinar                      	FOREX     
EURBIF    	Euro Dollar / Burundi Franc                       	FOREX     
