AEMMY     	A2A Spa ADR                                       	OTCBB     
AENG      	Advanced Engine Tech                              	OTCBB     
AEPP      	Advanced Environmental Petroleum Producers Inc.   	OTCBB     
AEPT      	American Energy Partners Inc.                     	OTCBB     
AERG      	Applied Energetics Inc                            	OTCBB     
AERN      	Aer Energy Resources                              	OTCBB     
AERO      	Aerogrow Intl Inc                                 	OTCBB     
AERS      	Aerius Cmn Stk                                    	OTCBB     
AESO      	Atlantic Energy Sltns Inc                         	OTCBB     
AETUF     	Arc Energy Trust Uni                              	OTCBB     
AEXAF     	Atos Origin Sa Ord                                	OTCBB     
AEXAY     	Atos                                              	OTCBB     
AEXE      	Aim Exploration Inc                               	OTCBB     
AEXFF     	Aminex Plc Ord                                    	OTCBB     
AEYE      	Audioeye Inc                                      	OTCBB     
AFAP      	Afa Protective Syste                              	OTCBB     
AFBG      	American Fiber Green Products Inc                 	OTCBB     
AFCB      	Athens Bancshares Corp                            	OTCBB     
AFFMQ     	Affirmative Insurance Holdings                    	OTCBB     
AFFY      	Affymax                                           	OTCBB     
AFGC      	Africa Growth Corp.                               	OTCBB     
AFGR      	Affinion Group Holdings Inc                       	OTCBB     
AFLQF     	                                                  	OTCBB     
AFLYY     	Air France Ads                                    	OTCBB     
AFMJF     	Alphamin Resources                                	OTCBB     
AFNL      	Amtrust Financial Co                              	OTCBB     
AFOM      	All For One Media Corp.                           	OTCBB     
AFPW      	Alumifuel Pwr Corp                                	OTCBB     
AFQMF     	African Qn Mines Ord                              	OTCBB     
AFRBY     	African Rainbow ADR                               	OTCBB     
AFRMF     	Alphaform Ag                                      	OTCBB     
AFRS      	Amer First Financial Inc                          	OTCBB     
AFSLF     	Amiad Filtration Sys Ord                          	OTCBB     
AFTC      	Alternative Fuel Tec                              	OTCBB     
AFTM      	Aftermaster Inc.                                  	OTCBB     
AFYG      	Affinity Gold Corp                                	OTCBB     
AGCBF     	Amarillo Gold Corpor                              	OTCBB     
AGCCF     	Gensource Potash                                  	OTCBB     
AGCZ      	Andes Gold Corp                                   	OTCBB     
AGDXF     	Antioqua Gold Inc                                 	OTCBB     
AGDY      	Agri-Dynamics Inc                                 	OTCBB     
AGEEF     	Apogee Minerals Ltd                               	OTCBB     
AGESY     	Ageas N.V. Ads                                    	OTCBB     
AGFMF     	Agf Management Ltd                                	OTCBB     
AGGFF     	African Gold Group I                              	OTCBB     
AGGI      	Allied Energy Inc                                 	OTCBB     
AGGX      	Angiogenex Inc                                    	OTCBB     
AGGZF     	Ag Growth Inc Fd                                  	OTCBB     
AGHEF     	Agility Health/Sh Sh                              	OTCBB     
AGHI      	Agora Holdings Inc                                	OTCBB     
AGIN      	American Graphite Technologies Inc                	OTCBB     
AGLDF     	Austral Gold Ltd                                  	OTCBB     
AGLNF     	Agl Energy                                        	OTCBB     
