BRM19     	Brazilian Real (Pit) {Jun 19}                     	CME       
BRM20     	Brazilian Real (Pit) {Jun 20}                     	CME       
BRM21     	Brazilian Real (Pit) {Jun 21}                     	CME       
BRN17     	Brazilian Real (Pit) {Jul 17}                     	CME       
BRN18     	Brazilian Real (Pit) {Jul 18}                     	CME       
BRN19     	Brazilian Real (Pit) {Jul 19}                     	CME       
BRN20     	Brazilian Real (Pit) {Jul 20}                     	CME       
BRN21     	Brazilian Real (Pit) {Jul 21}                     	CME       
BRQ17     	Brazilian Real (Pit) {Aug 17}                     	CME       
BRQ18     	Brazilian Real (Pit) {Aug 18}                     	CME       
BRQ19     	Brazilian Real (Pit) {Aug 19}                     	CME       
BRQ20     	Brazilian Real (Pit) {Aug 20}                     	CME       
BRQ21     	Brazilian Real (Pit) {Aug 21}                     	CME       
BRU17     	Brazilian Real (Pit) {Sep 17}                     	CME       
BRU18     	Brazilian Real (Pit) {Sep 18}                     	CME       
BRU19     	Brazilian Real (Pit) {Sep 19}                     	CME       
BRU20     	Brazilian Real (Pit) {Sep 20}                     	CME       
BRU21     	Brazilian Real (Pit) {Sep 21}                     	CME       
BRV17     	Brazilian Real (Pit) {Oct 17}                     	CME       
BRV18     	Brazilian Real (Pit) {Oct 18}                     	CME       
BRV19     	Brazilian Real (Pit) {Oct 19}                     	CME       
BRV20     	Brazilian Real (Pit) {Oct 20}                     	CME       
BRV21     	Brazilian Real (Pit) {Oct 21}                     	CME       
BRX17     	Brazilian Real (Pit) {Nov 17}                     	CME       
BRX18     	Brazilian Real (Pit) {Nov 18}                     	CME       
BRX19     	Brazilian Real (Pit) {Nov 19}                     	CME       
BRX20     	Brazilian Real (Pit) {Nov 20}                     	CME       
BRX21     	Brazilian Real (Pit) {Nov 21}                     	CME       
BRZ17     	Brazilian Real (Pit) {Dec 17}                     	CME       
BRZ18     	Brazilian Real (Pit) {Dec 18}                     	CME       
BRZ19     	Brazilian Real (Pit) {Dec 19}                     	CME       
BRZ20     	Brazilian Real (Pit) {Dec 20}                     	CME       
BRZ21     	Brazilian Real (Pit) {Dec 21}                     	CME       
BS        	S&P 500 Health Care                               	CME       
BS.C      	S&P 500 Health Care Continuation                  	CME       
BSM17     	S&P 500 Health Care {Jun 17}                      	CME       
BSU17     	S&P 500 Health Care {Sep 17}                      	CME       
C2        	Milk Grade A                                      	CME       
C2X17     	Milk Grade A {Nov 17}                             	CME       
C3        	Cheese Barrels                                    	CME       
C3X17     	Cheese Barrels {Nov 17}                           	CME       
C4        	Cheese Blocks                                     	CME       
C4X17     	Cheese Blocks {Nov 17}                            	CME       
