14D       	1414 Degrees Limited                              	ASX       
MQGKOU    	Macquarie Group Limited                           	ASX       
MQGKOV    	Macquarie Group Limited                           	ASX       
MQGKOZ    	Macquarie Group Limited                           	ASX       
MQGLOA    	Macquarie Group Limited                           	ASX       
MQGLOF    	Macquarie Group Limited                           	ASX       
MQGLOG    	Macquarie Group Limited                           	ASX       
MQGLOH    	Macquarie Group Limited                           	ASX       
MQGLOM    	Macquarie Group Limited                           	ASX       
MQGLOQ    	Macquarie Group Limited                           	ASX       
MQGLOR    	Macquarie Group Limited                           	ASX       
MQGLOS    	Macquarie Group Limited                           	ASX       
MQGLOU    	Macquarie Group Limited                           	ASX       
MQGLOV    	Macquarie Group Limited                           	ASX       
MQGLOX    	Macquarie Group Limited                           	ASX       
MQGMOA    	Macquarie Group Limited                           	ASX       
MQGMOP    	Macquarie Group Limited                           	ASX       
MQGMOQ    	Macquarie Group Limited                           	ASX       
MQGPB     	Macquarie Group Limited                           	ASX       
MQGPC     	Macquarie Group Limited                           	ASX       
MQR       	Marquee Resources Limited                         	ASX       
MQRO      	Marquee Resources Limited                         	ASX       
MRC       	Mineral Commodities Ltd                           	ASX       
MRD       	Mount Ridley Mines Limited                        	ASX       
MRDOA     	Mount Ridley Mines Limited                        	ASX       
MRG       	Murray River Organics Group Limited               	ASX       
MRL       	Miller's Retail Ltd                               	ASX       
MRM       	Mermaid Marine Australia Ltd                      	ASX       
MRN       	Macquarie Radio Network Ltd                       	ASX       
MRP       	Macphersons Reward Gold Limited                   	ASX       
MRQ       	Mrg Metals Limited                                	ASX       
MRQOA     	Mrg Metals Limited                                	ASX       
MRQOB     	Mrg Metals Limited                                	ASX       
MRR       	Minrex Resources Nl                               	ASX       
MRV       	Moreton Resources Ltd                             	ASX       
MSB       	Mesoblast Ltd                                     	ASX       
MSBKOE    	Mesoblast Limited                                 	ASX       
MSBKOQ    	Mesoblast Limited                                 	ASX       
MSBKOR    	Mesoblast Limited                                 	ASX       
MSBKOS    	Mesoblast Limited                                 	ASX       
MSE       	Metalsearch Limited                               	ASX       
MSG       	Mcs Services Limited                              	ASX       
MSI       	Multistack International Ltd                      	ASX       
MSM       	Msm Corporation International Ltd                 	ASX       
MSMOA     	Msm Corporation International Ltd                 	ASX       
MSR       	Manas Resources Ltd                               	ASX       
MSV       	Mitchell Services Limited                         	ASX       
MTB       	Mount Burgess Mining NL                           	ASX       
MTC       	Metalstech Limited                                	ASX       
MTH       	Mithril Resources Ltd                             	ASX       
MTL       	Manalto Limited                                   	ASX       
MTM       	Mareterram Limited                                	ASX       
MTO       	Moto Goldmines Ltd                                	ASX       
MTS       	Metcash Ltd                                       	ASX       
MTSKOB    	Metcash Limited                                   	ASX       
MTSKOD    	Metcash Limited                                   	ASX       
MTSKOE    	Metcash Limited                                   	ASX       
MTSKOQ    	Metcash Limited                                   	ASX       
MTSKOR    	Metcash Limited                                   	ASX       
MTSKOS    	Metcash Limited                                   	ASX       
MUA       	Mitula Group Limited                              	ASX       
MVA       	MVA                                               	ASX       
MVB       	MVB                                               	ASX       
MVE       	MVE                                               	ASX       
MVF       	Monash Ivf Group Limited                          	ASX       
MVOL      	MVOL                                              	ASX       
MVP       	Medical Developments International                	ASX       
MVR       	MVR                                               	ASX       
MVS       	MVS                                               	ASX       
MVT       	Mercantile Investment Company Ltd                 	ASX       
MVTHA     	Mercantile Investment Company Ltd                 	ASX       
MVW       	MVW                                               	ASX       
MWR       	MGM Wireless Ltd                                  	ASX       
MWY       	Midway Limited                                    	ASX       
MX1       	Micro-x Limited                                   	ASX       
MXC       	Mgc Pharmaceuticals Ltd                           	ASX       
MXCOD     	Mgc Pharmaceuticals Ltd                           	ASX       
MXI       	MaxiTRA Industries Ltd                            	ASX       
MXR       	Maximus Resources Ltd                             	ASX       
MXT       	Mcp Master Income Trust                           	ASX       
MXUPA     	MXU                                               	ASX       
MYE       	Mastermyne Group Limited                          	ASX       
MYL       	Myanmar Metals Limited                            	ASX       
MYLO      	Myanmar Metals Limited                            	ASX       
MYO       	MYOB Ltd                                          	ASX       
MYOKOA    	Myob Group Limited                                	ASX       
MYOKOD    	Myob Group Limited                                	ASX       
MYOKOQ    	Myob Group Limited                                	ASX       
MYOKOR    	Myob Group Limited                                	ASX       
MYQ       	Myfiziq Limited                                   	ASX       
MYR       	Myer Holdings Limited                             	ASX       
MYRBOR    	Myer Holdings Limited                             	ASX       
MYRKOB    	Myer Holdings Limited                             	ASX       
MYRKOP    	Myer Holdings Limited                             	ASX       
MYRKOQ    	Myer Holdings Limited                             	ASX       
MYRKOR    	Myer Holdings Limited                             	ASX       
MYRKOS    	Myer Holdings Limited                             	ASX       
MYS       	Mystate Limited                                   	ASX       
MYX       	MYX                                               	ASX       
MYXKOA    	Mayne Pharma Group Limited                        	ASX       
MYXKOB    	Mayne Pharma Group Limited                        	ASX       
MYXKOC    	Mayne Pharma Group Limited                        	ASX       
MYXKOD    	Mayne Pharma Group Limited                        	ASX       
MYXKOE    	Mayne Pharma Group Limited                        	ASX       
MYXKOQ    	Mayne Pharma Group Limited                        	ASX       
MZI       	Matilda Zircon Limited                            	ASX       
MZN       	Marindi Metals Limited                            	ASX       
MZZ       	Matador Mining Limited                            	ASX       
MZZO      	Matador Mining Limited                            	ASX       
N1H       	N1 Holdings Limited                               	ASX       
N27       	Northern Cobalt Limited                           	ASX       
N27O      	Northern Cobalt Limited                           	ASX       
NAB       	National Australia Bank Ltd                       	ASX       
NABBOA    	National Australia Bank Limited                   	ASX       
NABBOB    	National Australia Bank Limited                   	ASX       
NABBOC    	National Australia Bank Limited                   	ASX       
NABBOD    	National Australia Bank Limited                   	ASX       
NABBOE    	National Australia Bank Limited                   	ASX       
NABBOF    	National Australia Bank Limited                   	ASX       
NABBOG    	National Australia Bank Limited                   	ASX       
NABBOH    	National Australia Bank Limited                   	ASX       
NABBOI    	National Australia Bank Limited                   	ASX       
NABBOR    	National Australia Bank Limited                   	ASX       
NABBOY    	National Australia Bank Limited                   	ASX       
NABBOZ    	National Australia Bank Limited                   	ASX       
NABHA     	NABHA                                             	ASX       
NABKOA    	National Australia Bank Limited                   	ASX       
NABKOB    	National Australia Bank Limited                   	ASX       
NABKOF    	National Australia Bank Limited                   	ASX       
NABKOG    	National Australia Bank Limited                   	ASX       
NABKOH    	National Australia Bank Limited                   	ASX       
NABKOI    	National Australia Bank Limited                   	ASX       
NABKOL    	National Australia Bank Limited                   	ASX       
NABKON    	National Australia Bank Limited                   	ASX       
NABKOO    	National Australia Bank Limited                   	ASX       
NABKOR    	National Australia Bank Limited                   	ASX       
NABKOT    	National Australia Bank Limited                   	ASX       
NABKOU    	National Australia Bank Limited                   	ASX       
NABKOV    	National Australia Bank Limited                   	ASX       
NABKOW    	National Australia Bank Limited                   	ASX       
NABKOX    	National Australia Bank Limited                   	ASX       
NABKOY    	National Australia Bank Limited                   	ASX       
NABKOZ    	National Australia Bank Limited                   	ASX       
NABLOA    	National Australia Bank Limited                   	ASX       
NABLOB    	National Australia Bank Limited                   	ASX       
NABLOC    	National Australia Bank Limited                   	ASX       
NABLOD    	National Australia Bank Limited                   	ASX       
NABLOE    	National Australia Bank Limited                   	ASX       
NABLOG    	National Australia Bank Limited                   	ASX       
NABLOP    	National Australia Bank Limited                   	ASX       
NABLOQ    	National Australia Bank Limited                   	ASX       
NABLOR    	National Australia Bank Limited                   	ASX       
NABLOT    	National Australia Bank Limited                   	ASX       
NABLOW    	National Australia Bank Limited                   	ASX       
NABMOA    	National Australia Bank Limited                   	ASX       
NABMOP    	National Australia Bank Limited                   	ASX       
NABPA     	National Australia Bank Limited                   	ASX       
NABPB     	National Australia Bank Limited                   	ASX       
NABPC     	National Australia Bank Limited                   	ASX       
NABPD     	National Australia Bank Limited                   	ASX       
NABPE     	National Australia Bank Limited                   	ASX       
NAC       	Naos Absolute Opportunities Company Limited       	ASX       
NAE       	New Age Exploration Ltd                           	ASX       
NAG       	                                                  	ASX       
NAM       	Namoi Cotton Co-operative Ltd                     	ASX       
NAN       	Nanosonics Ltd                                    	ASX       
NANKOB    	Nanosonics Limited                                	ASX       
NANKOP    	Nanosonics Limited                                	ASX       
NAV       	Navigator Resources Ltd                           	ASX       
NBI       	Nb Global Corporate Income Trust                  	ASX       
NBL       	Noni B Ltd                                        	ASX       
NC6       	Nanollose Limited                                 	ASX       
NC6O      	Nanollose Limited                                 	ASX       
NCC       	Naos Emerging Opportunities Company Limited       	ASX       
NCK       	Nick Scali Ltd                                    	ASX       
NCL       	Netccentric Limited                               	ASX       
NCM       	Newcrest Mining Ltd                               	ASX       
NCMKOB    	Newcrest Mining Limited                           	ASX       
NCMKOC    	Newcrest Mining Limited                           	ASX       
NCMKOD    	Newcrest Mining Limited                           	ASX       
NCMKOH    	Newcrest Mining Limited                           	ASX       
NCMKOI    	Newcrest Mining Limited                           	ASX       
NCMKOJ    	Newcrest Mining Limited                           	ASX       
NCMKOL    	Newcrest Mining Limited                           	ASX       
NCMKOP    	Newcrest Mining Limited                           	ASX       
NCMKOV    	Newcrest Mining Limited                           	ASX       
NCMKOX    	Newcrest Mining Limited                           	ASX       
NCMKOY    	Newcrest Mining Limited                           	ASX       
NCMKOZ    	Newcrest Mining Limited                           	ASX       
NCMLOA    	Newcrest Mining Limited                           	ASX       
NCMLOB    	Newcrest Mining Limited                           	ASX       
NCMLOC    	Newcrest Mining Limited                           	ASX       
NCMLOD    	Newcrest Mining Limited                           	ASX       
NCMLOF    	Newcrest Mining Limited                           	ASX       
NCMLOP    	Newcrest Mining Limited                           	ASX       
NCMLOQ    	Newcrest Mining Limited                           	ASX       
NCMLOR    	Newcrest Mining Limited                           	ASX       
NCMLOS    	Newcrest Mining Limited                           	ASX       
NCMLOU    	Newcrest Mining Limited                           	ASX       
NCMMOQ    	Newcrest Mining Limited                           	ASX       
NCR       	Nucoal Resources Nl                               	ASX       
NCZ       	New Century Resources Limited                     	ASX       
NDQ       	NDQ                                               	ASX       
NDXKOE    	NDXKOE                                            	ASX       
NDXKOF    	NDXKOF                                            	ASX       
NDXKON    	NDXKON                                            	ASX       
NDXKOO    	NDXKOO                                            	ASX       
NDXKOR    	Nasdaq 100 E-mini                                 	ASX       
NDXKOV    	NDXKOV                                            	ASX       
NDXKOX    	NDXKOX                                            	ASX       
NDXMOA    	NDXMOA                                            	ASX       
NDXMOY    	NDXMOY                                            	ASX       
NEA       	Nearmap Ltd                                       	ASX       
NEC       	Nine Entertainment Co Holdings Ltd                	ASX       
NECKOB    	Nine Entertainment Co. Holdings Limited           	ASX       
NECKOC    	Nine Entertainment Co. Holdings Limited           	ASX       
NECKOP    	Nine Entertainment Co. Holdings Limited           	ASX       
NECKOQ    	Nine Entertainment Co. Holdings Limited           	ASX       
NECKOR    	Nine Entertainment Co. Holdings Limited           	ASX       
NECN      	Nine Entertainment Co. Holdings Limited           	ASX       
NES       	Nelson Resources Limited.                         	ASX       
NESO      	Nelson Resources Limited.                         	ASX       
NET       	Netlinkz Limited                                  	ASX       
NEU       	Neuren Pharmaceuticals Ltd                        	ASX       
NEW       	New Energy Solar                                  	ASX       
NEWOA     	New Energy Solar                                  	ASX       
NEWOB     	New Energy Solar                                  	ASX       
NFNG      	NFNG                                              	ASX       
NGE       	New Guinea Energy Ltd                             	ASX       
NGI       	Navigator Global Investments Limited              	ASX       
NGY       	Nuenergy Capital Ltd                              	ASX       
NHC       	New Hope Corporation Ltd                          	ASX       
NHF       	Nib Holdings Ltd                                  	ASX       
NHFKOA    	Nib Holdings Limited                              	ASX       
NHFKOB    	Nib Holdings Limited                              	ASX       
NHFKOC    	Nib Holdings Limited                              	ASX       
NHL       	Nova Health Ltd                                   	ASX       
NI2KOA    	NI2KOA                                            	ASX       
NI2KOD    	NI2KOD                                            	ASX       
NI2KOF    	NI2KOF                                            	ASX       
NI2KOQ    	NI2KOQ                                            	ASX       
NI2KOV    	NI2KOV                                            	ASX       
NIC       	Nickel Mines Limited                              	ASX       
NIU       	Niuminco Group Limited                            	ASX       
NIUO      	Niuminco Group Limited                            	ASX       
NKP       	Nkwe Platinum Ltd                                 	ASX       
NME       	Nex Metals Exploration Ltd                        	ASX       
NMI       	Northern Mining Ltd                               	ASX       
NML       	Navarre Minerals Limited                          	ASX       
NMM       	Noble Metals Limited                              	ASX       
NMS       	Neptune Marine Services Ltd                       	ASX       
NMT       	Neometals Ltd                                     	ASX       
NNW       	99 Wuxian Limited                                 	ASX       
NOR       	Norwood Systems Limited                           	ASX       
NOROA     	Norwood Systems Limited                           	ASX       
NOV       	Novatti Group Limited                             	ASX       
NOX       	Noxopharm Limited                                 	ASX       
NSB       	Neuroscientific Biopharmaceuticals Ltd            	ASX       
NSC       	Naos Small Cap Opportunities Company Limited      	ASX       
NSCG      	Naos Small Cap Opportunities Company Limited      	ASX       
NSE       	New Standard Energy Ltd                           	ASX       
NSR       	National Storage Reit                             	ASX       
NSRKOB    	National Storage Reit                             	ASX       
NST       	Northern Star Resources Ltd                       	ASX       
NSTKOA    	Northern Star Resources Ltd                       	ASX       
NSTKOB    	Northern Star Resources Ltd                       	ASX       
NSTKOE    	Northern Star Resources Ltd                       	ASX       
NSTKOP    	Northern Star Resources Ltd                       	ASX       
NSTKOT    	Northern Star Resources Ltd                       	ASX       
NSTKOU    	Northern Star Resources Ltd                       	ASX       
NSX       	X Ltd                                             	ASX       
NTC       	Netcomm Ltd                                       	ASX       
NTD       	National Tyre & Wheel Limited                     	ASX       
NTI       	Neurotech International Limited                   	ASX       
NTL       	New Talisman Gold Mines Limited                   	ASX       
NTM       	Northern Manganese Limited                        	ASX       
NTU       	Northen Uranium Ltd                               	ASX       
NUF       	NuFarm Ltd                                        	ASX       
NUFKOA    	Nufarm Limited                                    	ASX       
NUFKOC    	Nufarm Limited                                    	ASX       
NUFKOE    	Nufarm Limited                                    	ASX       
NUFKOP    	Nufarm Limited                                    	ASX       
NUFKOR    	Nufarm Limited                                    	ASX       
NUH       	Nuheara Limited                                   	ASX       
NUS       	Nusantara Resources Limited                       	ASX       
NUSOA     	Nusantara Resources Limited                       	ASX       
NVA       	Nova Minerals Limited                             	ASX       
NVAO      	Nova Minerals Limited                             	ASX       
NVL       	National Veterinary Care Ltd                      	ASX       
NVO       	Nvoi Ltd                                          	ASX       
NVT       	Navitas Ltd                                       	ASX       
NVTKOA    	Navitas Limited                                   	ASX       
NVTKOB    	Navitas Limited                                   	ASX       
NVTKOP    	Navitas Limited                                   	ASX       
NVTKOS    	Navitas Limited                                   	ASX       
NVU       	Nanoveu Limited                                   	ASX       
NVX       	Novonix Limited                                   	ASX       
NWC       	New World Cobalt Limited                          	ASX       
NWE       	Norwest Energy NL                                 	ASX       
NWF       	Newfield Resources Limited                        	ASX       
NWH       	NRW Holdings Ltd                                  	ASX       
NWL       	New Tel                                           	ASX       
NWM       	Norwest Minerals Limited                          	ASX       
NWS       	News Corporation                                  	ASX       
NWSLV     	NEWS CORP-PREFD                                   	ASX       
NXE       	New Energy Minerals Ltd                           	ASX       
NXEOA     	New Energy Minerals Ltd                           	ASX       
NXM       	Nexus Minerals Limited                            	ASX       
NXR       	Nemex Resources Limited                           	ASX       
NXT       	Nextdc Limited                                    	ASX       
NXTKOA    	Nextdc Limited                                    	ASX       
NXTKOB    	Nextdc Limited                                    	ASX       
NXTKOC    	Nextdc Limited                                    	ASX       
NXTKOE    	Nextdc Limited                                    	ASX       
NXTKOF    	Nextdc Limited                                    	ASX       
NXTKOG    	Nextdc Limited                                    	ASX       
NXTKOR    	Nextdc Limited                                    	ASX       
NZC       	Nzuri Copper Limited                              	ASX       
NZK       	New Zealand King Salmon Investments Limited       	ASX       
NZM       	Nzme Limited                                      	ASX       
OAR       	Oakdale Resources Limited                         	ASX       
OBJ       	OBJ Ltd                                           	ASX       
OCA       	Oil Company Of Australia                          	ASX       
OCC       	Orthocell Limited                                 	ASX       
OCL       	Objective Corporation Ltd                         	ASX       
OCP       	Oceania Capital Partners Limited                  	ASX       
ODA       	Orcoda Limited                                    	ASX       
ODM       	Odin Metals Limited                               	ASX       
ODY       	Odyssey Energy Ltd                                	ASX       
OEC       	Orbital Corporation Ltd                           	ASX       
OEL       	Ottoman Energy Ltd                                	ASX       
OEQ       	Orion Equities Ltd                                	ASX       
OEX       	Oilex NL                                          	ASX       
OFX       	Ozforex Group Limited                             	ASX       
OFXKOA    	Ozforex Group Limited                             	ASX       
OFXKOE    	Ozforex Group Limited                             	ASX       
OFXKOQ    	Ozforex Group Limited                             	ASX       
OFXKOR    	Ozforex Group Limited                             	ASX       
OGA       	Ocean Grown Abalone Limited                       	ASX       
OGC       	Oceanagold Corporation                            	ASX       
OGX       	Orinoco Gold Limited                              	ASX       
OGXOD     	Orinoco Gold Limited                              	ASX       
OHE       	Orion Health Group Limited                        	ASX       
OIL       	Optiscan Imaging Ltd                              	ASX       
OKJ       	Oakajee Corporation Ltd                           	ASX       
OKR       	Okapi Resources Limited                           	ASX       
OKU       	Oklo Uranium Ltd                                  	ASX       
OLH       	Oldfields Holdings Ltd                            	ASX       
OLI       	Olivers Real Food Limited                         	ASX       
OLV       	Otherlevels Holdings Limited                      	ASX       
OMH       	OM Holdings Ltd                                   	ASX       
OML       	Ooh!media Limited                                 	ASX       
OMLKOA    	Ooh!media Limited                                 	ASX       
OMLKOB    	Ooh!media Limited                                 	ASX       
OMN       	Onemarket Limited                                 	ASX       
ONE       	Oneview Healthcare Plc                            	ASX       
ONT       	1300 Smiles Ltd                                   	ASX       
ONX       	Orminex Ltd                                       	ASX       
OOK       	Ookami Limited                                    	ASX       
OOO       	Betashares Crude Oil Index Etf-currency Hedged (synthetic)	ASX       
OPH       	Ophir High Conviction Fund                        	ASX       
OPN       	Opendna Limited                                   	ASX       
OPT       	Opthea Limited                                    	ASX       
ORA       	Orora Limited                                     	ASX       
ORAKOB    	Orora Limited                                     	ASX       
ORAKOP    	Orora Limited                                     	ASX       
ORAKOQ    	Orora Limited                                     	ASX       
ORE       	Orocobre Ltd                                      	ASX       
OREKOA    	Orocobre Limited                                  	ASX       
OREKOE    	Orocobre Limited                                  	ASX       
ORG       	Origin Energy Ltd                                 	ASX       
ORGKOA    	Origin Energy Limited                             	ASX       
ORGKOB    	Origin Energy Limited                             	ASX       
ORGKOD    	Origin Energy Limited                             	ASX       
ORGKOQ    	Origin Energy Limited                             	ASX       
ORGKOR    	Origin Energy Limited                             	ASX       
ORI       	Orica Ltd                                         	ASX       
ORIBOA    	Orica Limited                                     	ASX       
ORIBOD    	Orica Limited                                     	ASX       
ORIBOF    	Orica Limited                                     	ASX       
ORIKOC    	Orica Limited                                     	ASX       
ORIKOQ    	Orica Limited                                     	ASX       
ORIKOS    	Orica Limited                                     	ASX       
ORIKOT    	Orica Limited                                     	ASX       
ORM       	Orion Metals Limited                              	ASX       
ORN       	ORN                                               	ASX       
ORR       	Orecorp Limited                                   	ASX       
OSH       	Oil Search Ltd (PNG)                              	ASX       
OSHKOA    	Oil Search Limited                                	ASX       
OSHKOB    	Oil Search Limited                                	ASX       
OSHKOP    	Oil Search Limited                                	ASX       
OSHKOQ    	Oil Search Limited                                	ASX       
OSHKOT    	Oil Search Limited                                	ASX       
OSHQOB    	Oil Search Limited                                	ASX       
OSL       	Oncosil Medical Ltd                               	ASX       
OSP       	Osprey Medical Inc                                	ASX       
OTR       	Otter Gold Mines                                  	ASX       
OTW       	Over The Wire Holdings Limited                    	ASX       
OVH       	Onevue Holdings Limited                           	ASX       
OVL       	Oro Verde Limited                                 	ASX       
OVN       	Oventus Medical Limited                           	ASX       
OXX       	Octanex N.l.                                      	ASX       
OZF       	Spdr S&p/asx 200 Financials Ex A-reit Fund        	ASX       
OZG       	Ozgrowth Ltd                                      	ASX       
OZGOC     	Ozgrowth Limited                                  	ASX       
OZL       	OZ Minerals                                       	ASX       
OZLKOA    	Oz Minerals Limited                               	ASX       
OZLKOB    	Oz Minerals Limited                               	ASX       
OZLKOD    	Oz Minerals Limited                               	ASX       
OZLKOE    	Oz Minerals Limited                               	ASX       
OZLKOQ    	Oz Minerals Limited                               	ASX       
OZLKOR    	Oz Minerals Limited                               	ASX       
OZLKOS    	Oz Minerals Limited                               	ASX       
OZR       	Spdr S&p/asx 200 Resources Fund                   	ASX       
P2P       	P2p Transport Limited                             	ASX       
PAA       	PharmAust Ltd                                     	ASX       
PAB       	Patrys Ltd                                        	ASX       
PAC       	Pacsoft Ltd                                       	ASX       
PAF       	Pm Capital Asian Opportunities Fund Limited       	ASX       
PAI       	Platinum Asia Investments Limited                 	ASX       
PAK       	Pacific American Coal Limited                     	ASX       
PAN       	Panoramic Resources Ltd                           	ASX       
PAR       	Paradigm Biopharmaceuticals Limited..             	ASX       
PBP       	Probiotec Ltd                                     	ASX       
PBT       	Prana Biotechnology Ltd                           	ASX       
PBX       	Pacific Bauxite Limited                           	ASX       
PC1       	Plus Connect Limited                              	ASX       
PCG       	PCH Group Ltd                                     	ASX       
PCH       	Property Connect Holdings Limited                 	ASX       
PCK       	Painchek Ltd                                      	ASX       
PCL       	Pancontinental Oil & Gas NL                       	ASX       
PDF       	Pacific Dairies Limited                           	ASX       
PDI       	Predictive Discovery Limited                      	ASX       
PDIO      	Predictive Discovery Limited                      	ASX       
PDL       	Petra Diamonds Ltd                                	ASX       
PDLKOB    	Pendal Group Limited                              	ASX       
PDN       	Paladin Resources Ltd                             	ASX       
PDZ       	Prairie Downs Metals Ltd                          	ASX       
PEA       	Pacific Energy Ltd                                	ASX       
PEC       	Perpetual Resources Limited                       	ASX       
PEK       	Peak Resources Ltd                                	ASX       
PEKOC     	Peak Resources Limited                            	ASX       
PEL       	Pelican Resources Ltd                             	ASX       
PEN       	Peninsula Minerals Ltd                            	ASX       
PENOD     	Peninsula Energy Limited                          	ASX       
PET       	Peters MacGregor Investments Ltd                  	ASX       
PEX       	Peel Exploration Ltd                              	ASX       
PFG       	Prime Financial Group Ltd                         	ASX       
PFP       	WC Penfold                                        	ASX       
PG1       	Pearl Global Limited                              	ASX       
PG1OB     	Pearl Global Limited                              	ASX       
PGC       	Paragon Care Ltd                                  	ASX       
PGF       	Pm Capital Global Opportunities Fund Limited      	ASX       
PGH       	Pact Group Holdings Ltd                           	ASX       
PGI       	Panterra Gold Limited                             	ASX       
PGIOA     	Panterra Gold Limited                             	ASX       
PGM       	Platina Resources Ltd                             	ASX       
PGR       	The Pas Group Limited                             	ASX       
PGS       	Planet Gas Ltd                                    	ASX       
PGX       	Primero Group Limited                             	ASX       
PGY       	Pilot Energy Limited                              	ASX       
PHI       	Phileo Australia Ltd                              	ASX       
PIA       	Prudential Investment Company Of Australia        	ASX       
PIAO      	Pengana International Equities Limited            	ASX       
PIC       	Perpetual Equity Investment Company Limited       	ASX       
PIL       	Pilbara Mines NL.                                 	ASX       
PIN       	Pinchme.com Inc.                                  	ASX       
PIO       	Pioneer Nickel Ltd                                	ASX       
PIQ       	Proteomics International Laboratories Ltd         	ASX       
PKA       	Plukka Limited                                    	ASX       
PKD       	Parkd Ltd                                         	ASX       
PKDO      	Parkd Ltd                                         	ASX       
PKO       	Peak Oil & Gas Limited                            	ASX       
PL8       	Plato Income Maximiser Limited.                   	ASX       
PL8O      	Plato Income Maximiser Limited.                   	ASX       
PLC       	Plc Financial Solutions Limited                   	ASX       
PLG       	Propertylink Group                                	ASX       
PLL       	Poltech International                             	ASX       
PLS       	Pilbara Minerals Limited                          	ASX       
PLX       	Plexus International                              	ASX       
PM1       	Pure Minerals Limited                             	ASX       
PM1O      	Pure Minerals Limited                             	ASX       
PM8       	Pensana Metals Ltd                                	ASX       
PMC       	Platinum Capital Ltd                              	ASX       
PME       	Pro Medicus Ltd                                   	ASX       
PMGOLD    	PMGOLD                                            	ASX       
PMP       	PMP Ltd                                           	ASX       
PMV       	Premier Investments Ltd                           	ASX       
PMVKOA    	Premier Investments Limited                       	ASX       
PMVKOB    	Premier Investments Limited                       	ASX       
PMVKOC    	Premier Investments Limited                       	ASX       
PMVKOP    	Premier Investments Limited                       	ASX       
PMVKOQ    	Premier Investments Limited                       	ASX       
PMVKOR    	Premier Investments Limited                       	ASX       
PMY       	Pacifico Minerals Limited                         	ASX       
PMYO      	Pacifico Minerals Limited                         	ASX       
PNC       	Pioneer Credit Limited                            	ASX       
PNI       	Pinnacle Investment Management Group Ltd          	ASX       
PNL       	Paringa Resources Limited                         	ASX       
PNN       	PeppinNini Minerals Ltd                           	ASX       
PNR       	Pacific Niugini Minerals Ltd                      	ASX       
PNV       	Polynovo Limited                                  	ASX       
PNW       	Pacific Star Network Ltd                          	ASX       
PNX       	Phoenix Copper Ltd                                	ASX       
PO3       	Purifloh Limited                                  	ASX       
POD       	Podium Minerals Limited                           	ASX       
PODO      	Podium Minerals Limited                           	ASX       
POH       	Phosphagenics Ltd                                 	ASX       
POS       	Poseidon Nickel Ltd                               	ASX       
POU       	Betashares British Pound Etf                      	ASX       
POW       	Protean Wave Energy Ltd                           	ASX       
PPC       	Peet & Company Ltd                                	ASX       
PPCHA     	Peet Limited                                      	ASX       
PPCHB     	Peet Limited                                      	ASX       
PPE       	People Infrastructure Ltd                         	ASX       
PPG       	Pro-Pac Packaging Ltd                             	ASX       
PPH       	Pan Pharmaceuticals                               	ASX       
PPK       	Plaspak Group Ltd                                 	ASX       
PPL       	Park Plaza Kemayan                                	ASX       
PPS       	Praemium Ltd                                      	ASX       
PPT       	Perpetual Trustees Australia Ltd                  	ASX       
PPTKOE    	Perpetual Limited                                 	ASX       
PPTKOF    	Perpetual Limited                                 	ASX       
PPTKOH    	Perpetual Limited                                 	ASX       
PPTKOI    	Perpetual Limited                                 	ASX       
PPTKOP    	Perpetual Limited                                 	ASX       
PPTKOR    	Perpetual Limited                                 	ASX       
PPY       	Papyrus Australia Ltd                             	ASX       
PRL       	Petrel Energy Limited                             	ASX       
PRO       	Prophecy International Holdings Ltd               	ASX       
PRT       	Prime Television Ltd                              	ASX       
PRU       	Perseus Mining Ltd                                	ASX       
PRX       	Prime Retail Group unit/ord                       	ASX       
PRY       	Primary Healthcare Ltd                            	ASX       
PRYKOA    	Primary Health Care Limited                       	ASX       
PRYKOC    	Primary Health Care Limited                       	ASX       
PRYKOF    	Primary Health Care Limited                       	ASX       
PRYKOQ    	Primary Health Care Limited                       	ASX       
PRYKOR    	Primary Health Care Limited                       	ASX       
PRYKOS    	Primary Health Care Limited                       	ASX       
PRYKOT    	Primary Health Care Limited                       	ASX       
PRZ       	Primary Resources Ltd                             	ASX       
PSA       	Petsec Energy Ltd                                 	ASX       
PSC       	Prospect Resources Limited                        	ASX       
PSI       	Pacific Strategic Investments Ltd                 	ASX       
PSM       	Peninsula Mines Limited                           	ASX       
PSMO      	Peninsula Mines Limited                           	ASX       
PSQ       	Pacific Smiles Group Limited                      	ASX       
PSZ       	Ps&c Limited                                      	ASX       
PTB       	PTB Group Ltd                                     	ASX       
PTL       	Pental Limited                                    	ASX       
PTM       	Platinum Asset Management Ltd                     	ASX       
PTMKOC    	Platinum Asset Management Limited                 	ASX       
PTMKOP    	Platinum Asset Management Limited                 	ASX       
PTMKOS    	Platinum Asset Management Limited                 	ASX       
PTR       	Petratherm Ltd                                    	ASX       
PTX       	Prescient Therapeutics Limited                    	ASX       
PUA       	Pure Alumina Limited                              	ASX       
PUAOC     	Pure Alumina Limited                              	ASX       
PUN       	Pegasus Metals Ltd                                	ASX       
PUR       	Purus Energy Ltd                                  	ASX       
PVD       	Pura Vida Energy Nl                               	ASX       
PVE       	Po Valley Energy Ltd                              	ASX       
PVL       	Powerhouse Ventures Limited                       	ASX       
PVS       	Pivotal Systems Corporation Inc.                  	ASX       
PWH       	Pwr Holdings Limited                              	ASX       
PWN       	Potash West Nl                                    	ASX       
PWNCA     	Potash West Nl                                    	ASX       
