EMAN      	Everyman Media Group Plc                          	LSE       
EMAS      	SSGA SPDR ETFS Europe I Plc                       	LSE       
EMBE      	Ishares Vi Plc (The Comp                          	LSE       
EMCB      	SSGA SPDR ETFS Europe I                           	LSE       
EMCP      	Ishares V Public Limited Company                  	LSE       
EMCR      	Ishares V Public Limited Company                  	LSE       
EMDD      	SSGA SPDR ETFS Europe I Plc                       	LSE       
EMDL      	SSGA SPDR ETFS Europe I Plc                       	LSE       
EMDV      	SSGA SPDR ETFS Europe I Plc                       	LSE       
EME       	Empyrean Energy Plc                               	LSE       
EMG       	Man Group Plc                                     	LSE       
EMH       	European Metals Holdings Limited                  	LSE       
EMH5      	SSGA SPDR ETFS Europe II                          	LSE       
EMIL      	SSGA SPDR ETFS Europe I                           	LSE       
EMIM      	Ishares Plc                                       	LSE       
EMIN      	SSGA SPDR ETFS Europe I                           	LSE       
EMIS      	Emis Group Plc                                    	LSE       
EMLA      	SSGA SPDR ETFS Europe I Plc                       	LSE       
EMLB      	Pimco Fixed Income Source ETFS Plc                	LSE       
EMLD      	SSGA SPDR ETFS Europe I Plc                       	LSE       
EMLI      	Pimco Fixed Income Sourc                          	LSE       
EMLP      	Pimco Fixed Income Sourc                          	LSE       
EMM       	Emerging Market Minerals                          	LSE       
EMMV      	Ishares Vi Plc (The Comp                          	LSE       
EMOD      	SSGA SPDR ETFS Europe I Plc                       	LSE       
EMR       	Empresaria Group Plc                              	LSE       
EMRD      	SSGA SPDR ETFS Europe I Plc                       	LSE       
EMRG      	SSGA SPDR ETFS Europe I Plc                       	LSE       
EMSM      	SSGA SPDR ETFS Europe I Plc                       	LSE       
EMUE      	SSGA SPDR ETFS Europe I                           	LSE       
EMUL      	Ishares IV Plc                                    	LSE       
EMUM      	Ishares IV Plc                                    	LSE       
EMUU      	Ishares Vii Plc                                   	LSE       
EMV       	Ishares Vi Plc (The Comp                          	LSE       
EMXB      	SSGA SPDR ETFS Europe II                          	LSE       
ENA3      	FTSE Epra/Nareit Asia 33                          	LSE       
ENAD      	Epra/Nareit Asia Index [Us Version]               	LSE       
ENDEM     	FTSE Epra/Nareit Developed Ex Mea Index           	LSE       
ENDP      	FTSE Epra Europe Ex UK Dividend +                 	LSE       
ENEA      	FTSE Epra/Nareit Emer Asia Pac Index              	LSE       
ENEE      	FTSE Epra/Nareit Europe Non-Reit                  	LSE       
ENEI      	FTSE Epra/Nareit Emerging Index                   	LSE       
ENEL      	FTSE Epra/Nareit Emer Americas Index              	LSE       
ENEM      	FTSE Epra/Nareit Emerging EMEA Index              	LSE       
ENER      	UBS Ag                                            	LSE       
ENEU      	FTSE Epra/Nareit Emerging Europe Index            	LSE       
ENFX      	ETFS Foreign Exchange Li                          	LSE       
ENGD      	Epra/Nareit Global Index                          	LSE       
ENGI      	Energiser Investments Plc                         	LSE       
ENGL      	Epra Global Index                                 	LSE       
ENGY      	SSGA SPDR ETFS Europe II                          	LSE       
ENHA      	FTSE Epra/Nareit Americas Index                   	LSE       
ENHE      	FTSE Epra/Nareit Global Ex US Index               	LSE       
ENHG      	FTSE Epra/Nareit Global Index                     	LSE       
ENHM      	FTSE Epra/Nareit Middle East and Africa           	LSE       
ENHN      	FTSE Epra/Nareit EMEA Index                       	LSE       
ENHP      	FTSE Epra/Nareit Asia Pacific Index               	LSE       
ENHU      	FTSE Epra/Nareit Europe Index                     	LSE       
ENME      	FTSE Epra/Nareit Emer M East&Africa Idx           	LSE       
ENQ       	Enquest Plc                                       	LSE       
ENQ1      	Enquest Plc                                       	LSE       
ENRT      	Environmental Recycling Tech. Plc                 	LSE       
ENTU      	Entu (Uk) Plc                                     	LSE       
ENUD      	Epra/Nareit US Index                              	LSE       
ENXGUS    	FTSE  Epra/Nareit Global                          	LSE       
EO100     	FTSE Env Opportunities 1                          	LSE       
EOAIM     	FTSE Evm Opport Aim Index                         	LSE       
EOAP      	FTSE Evm Opport Asia Pac Index                    	LSE       
EOAS      	FTSE Env Opp All-Shares Idx                       	LSE       
EOAX      	FTSE Evm Opport Asia Pac Ex-Japan Index           	LSE       
EOEE      	FTSE Env Opp Energy Eff Idx                       	LSE       
EOEE50    	FTSE Env Opp Energy Eff                           	LSE       
EOEU      	FTSE Evm Opport Europe Index                      	LSE       
EOG       	Europa Oil & Gas [Holdings] Plc                   	LSE       
EOJP      	FTSE Evm Opportjapan Index                        	LSE       
EORE      	FTSE Env Opp Re+Alt Energy Eff Idx                	LSE       
EORE50    	FTSE Env Opp Re+Alt Ener                          	LSE       
EOUK      	FTSE Evm Opport UK Index                          	LSE       
EOUS      	FTSE Evm Opport US Index                          	LSE       
EOWP      	FTSE Env Opp Waste+Pollution Control Idx          	LSE       
EOWP30    	FTSE Env Opp Waste+Pollu                          	LSE       
EOWR      	FTSE Env Opp Water Tech Index                     	LSE       
EOWR30    	FTSE Env Opp Water Tech                           	LSE       
EPEU      	Epra Euro Zone Index                              	LSE       
EPG       	Ep Global Opportunities Trust Plc                 	LSE       
EPHG      	Epra Europe [Uk Restricted] Index                 	LSE       
EPIC      	Ediston Property Investm                          	LSE       
EPO       	Earthport Plc                                     	LSE       
EPRA      	Epra Europe Index                                 	LSE       
EPRE      	Amundi ETF                                        	LSE       
EPWN      	Epwin Group Plc                                   	LSE       
EQN       	Equiniti Group Plc                                	LSE       
EQQQ      	Powershares Glbal Funds Ireland Plc               	LSE       
EQQU      	Powershares Glbal Funds                           	LSE       
EREE      	FTSE Epra/Nareit Europe REIT                      	LSE       
ERET      	European Real Estate Inv                          	LSE       
ERGO      	Ergomed Plc                                       	LSE       
ERM       	Euromoney Institutional Investor Plc              	LSE       
ERN1      	Ishares IV Plc                                    	LSE       
ERND      	Ishares IV Plc                                    	LSE       
ERNE      	Ishares IV Plc                                    	LSE       
ERNS      	Ishares IV Plc                                    	LSE       
ERNU      	Ishares IV Plc                                    	LSE       
ERO       	SSGA SPDR ETFS Europe II                          	LSE       
ERO1      	Eros International Plc                            	LSE       
ES15      	Ishares Plc                                       	LSE       
ESCH      	Escher Group Holdings Public Limited Com          	LSE       
ESG       	Eservglobal Limited                               	LSE       
ESGOV01   	FTSE Spain Government To                          	LSE       
ESNT      	Essentra Plc                                      	LSE       
ESO       	Epe Special Opportunities Plc                     	LSE       
ESP       	Empiric Student Property                          	LSE       
ESR       	Ensor Holdings Plc                                	LSE       
ESUR      	Esure Group Plc                                   	LSE       
ET        	Establishment Investment Trust                    	LSE       
ET100     	FTSE Et100                                        	LSE       
ET50      	FTSE Et50 Index                                   	LSE       
ETI       	Enterprise Inns Plc                               	LSE       
ETLN      	Etalon Group Limited                              	LSE       
ETO       	Entertainment One Limited                         	LSE       
ETX       	E-Therapeutics Plc                                	LSE       
EU13      	SSGA SPDR ETFS Europe I                           	LSE       
EU5L      	Sg Issuer                                         	LSE       
EU5S      	Sg Issuer                                         	LSE       
EUA       	Eurasia Mining Plc                                	LSE       
EUAG      	SSGA SPDR ETFS Europe I                           	LSE       
EUCF      	Ishares Vi Plc (The Comp                          	LSE       
EUCO      	SSGA SPDR ETFS Europe I                           	LSE       
EUDI      	SSGA SPDR ETFS Europe I Plc                       	LSE       
EUDV      	SSGA SPDR ETFS Europe I Plc                       	LSE       
EUE       	Ishares II Plc                                    	LSE       
EUHD      	Powershares Glbal Funds Ireland Plc               	LSE       
EULC      	Ishares IV Plc                                    	LSE       
EUMC      	Ishares IV Plc                                    	LSE       
EUMV      	Ossiam Lux                                        	LSE       
EUN       	Ishares II Plc                                    	LSE       
EUP3      	ETFS Foreign Exchange Li                          	LSE       
EUP5      	ETFS Foreign Exchange Limited                     	LSE       
EURCORPA  	                                                  	LSE       
EURE      	SSGA SPDR ETFS Europe I                           	LSE       
EURL      	SSGA SPDR ETFS Europe I                           	LSE       
EURO      	SSGA SPDR ETFS Europe I                           	LSE       
EURP      	ETFS Foreign Exchange Limited                     	LSE       
EUSC      	SSGA SPDR ETFS Europe II                          	LSE       
EUSP      	EU Supply Plc                                     	LSE       
EUT       	The European Investment Trust Plc                 	LSE       
EUXS      	Ishares Plc                                       	LSE       
EVG       	Evgen Pharma Plc                                  	LSE       
EVO       	Evocutis Plc                                      	LSE       
EVR       	Evraz Plc                                         	LSE       
EVRH      	Evr Holdings Plc                                  	LSE       
EWG       	EW Group Limited                                  	LSE       
EWI       	Edinburgh Worldwide Investment Trust Plc          	LSE       
EXFN      	Ishares II Plc                                    	LSE       
EXI       	Exillon Energy Plc                                	LSE       
EXO       	Exova Group Plc                                   	LSE       
EXPN      	Experian Plc                                      	LSE       
EYE       	Eagle Eye Solutions Grou                          	LSE       
EZH       	Easyhotel Plc                                     	LSE       
EZJ       	Easyjet Plc                                       	LSE       
EZXU      	Source Markets Public Li                          	LSE       
F4GAS     	Ftse4Goodaseanind                                 	LSE       
F4GEM     	Ftse4Goodemergind                                 	LSE       
F4GLA     	Ftse4Goodemlatamind                               	LSE       
FAGR      	ETFS Commodity Securities Limited                 	LSE       
FAIG      	ETFS Commodity Securities Limited                 	LSE       
FAIR      	Fair Oaks Income Fund Li                          	LSE       
FAL       	Falcon Acquisitions Limited                       	LSE       
FAM       	Finnaust Mining Plc                               	LSE       
FAN       	Volution Group Plc                                	LSE       
FARN      	Faron Pharmaceuticals Oy                          	LSE       
FAS       	Fidelity Asian Values Plc                         	LSE       
FAUSA     	FTSE Asfa Australia All-Share Index               	LSE       
FAUSLC    	FTSE Asfa Australia Large Cap 50 Index            	LSE       
FAUSLMC   	FTSE Asfa Australia 200 Index                     	LSE       
FAUSMC    	FTSE Asfa Australia Mid Cap 150 Index             	LSE       
FAUSO     	FTSE Asfa Australia 100 Index                     	LSE       
FAUSSC    	FTSE Asfa Australia Small Cap Index               	LSE       
FAUST     	FTSE Asfa Australia 300 Index                     	LSE       
FAUSX     	FTSE Asfa Australia All-Share Ex 100 Ind          	LSE       
FBBRC     	FTSE Beyond Brics Index                           	LSE       
FBBRCN    	FTSE Beyond Brics Net of                          	LSE       
FBDU      	Flying Brands Ld                                  	LSE       
FBH       	Fbd Holdings Plc                                  	LSE       
FBRIC     	FTSE BRIC 50 Index                                	LSE       
FBRIC50   	FTSE Rafi BRIC Index                              	LSE       
FBRT      	ETFS Commodity Securities Limited                 	LSE       
FBT       	Forbidden Technologies Plc                        	LSE       
FCCN      	French Connection Group Plc                       	LSE       
FCI       	F&C Capital & Income Investment Trust Pl          	LSE       
FCIF      	Funding Circle Sme Income Fund Limited            	LSE       
FCNBCA    	                                                  	LSE       
FCNBCG    	                                                  	LSE       
FCPT      	F&C Commercial Property Trust Limited             	LSE       
FCR       	Ferrum Crescent Limited                           	LSE       
FCRE      	F&C UK Real Estate Inves                          	LSE       
FCRM      	Fulcrum Utility Services Ld                       	LSE       
FCRU      	ETFS Commodity Securities Limited                 	LSE       
FCS       	F&C Global Smaller Companies Plc                  	LSE       
FCSC      	F&C Global Smaller Compa                          	LSE       
FCSE      	FTSE Cse Morocco 15 Index                         	LSE       
FCSELIQ   	FTSE Cse Morocco All-Liquid Index                 	LSE       
FCSS      	Fidelity China Special Situations Plc             	LSE       
FDAPQVY5  	FTSE Developed Asia Pacific Qual/Vol/Yie          	LSE       
FDBK      	Feedback Plc                                      	LSE       
FDEFQVY5  	FTSE Developed Europe Qual/Vol/Yield 5%           	LSE       
FDEV      	Frontier Developments Pl                          	LSE       
FDI       	Firestone Diamonds Plc                            	LSE       
FDL       	Findel Plc                                        	LSE       
FDM       	Fdm Group (Holdings) Plc                          	LSE       
FDP       	First Derivatives Plc                             	LSE       
FDSA      	Fidessa Group Plc                                 	LSE       
FDXUCPFR  	FTSE Developed Ex US Comprehensive Facto          	LSE       
FDXULBR   	FTSE Developed Ex US Low Beta Equal Weig          	LSE       
FECPFR    	FTSE Emerging Comprehensive Factor Net T          	LSE       
FEDF      	Multi Units Luxembourg                            	LSE       
FEES      	Jsc Federal Grid Company                          	LSE       
FEET      	Fundsmith Emerging Equit                          	LSE       
FEM       	First Trust Global Funds                          	LSE       
FEMU      	First Trust Global Funds                          	LSE       
FEN       	Frenkel Topping Group Plc                         	LSE       
FENR      	Fenner Plc                                        	LSE       
FEUZ      	First Trust Global Funds                          	LSE       
FEV       	Fidelity European Values Plc                      	LSE       
FEVR      	Fevertree Drinks Plc                              	LSE       
FEX       	First Trust Global Funds                          	LSE       
FEXD      	First Trust Global Funds                          	LSE       
FEXU      	First Trust Global Funds                          	LSE       
FF50      	FTSE Frontier 50 Index                            	LSE       
FFWD      	Fastforward Innovations Limited                   	LSE       
FFX       	Fairfx Group Plc                                  	LSE       
FFY       	Fyffes Plc                                        	LSE       
FGBL      	First Trust Global Funds                          	LSE       
FGCHN150  	FTSE Greaterchin150                               	LSE       
FGP       	Firstgroup Plc                                    	LSE       
FGT       	Finsbury Growth & Income Trust Plc                	LSE       
FH01      	FTSE Asiatop Index                                	LSE       
FH02      	FTSE Asiatop Capped                               	LSE       
FIF       	Finsbury Food Group Plc                           	LSE       
FIGOV01   	FTSE Finland Government                           	LSE       
FIND      	ETFS Commodity Securities Limited                 	LSE       
FIPP      	Frontier Ip Group Plc                             	LSE       
FISH      	Fishing Republic Plc                              	LSE       
FITB      	Fitbug Holdings Plc                               	LSE       
FIVE      	X5 Retail Group N.V                               	LSE       
FJET      	Fastjet Plc                                       	LSE       
FJP       	First Trust Global Funds                          	LSE       
FJV       	Fidelity Japanese Values Plc                      	LSE       
FKE       	Fiske Plc                                         	LSE       
FKL       	Falkland Islands Holdings Plc                     	LSE       
FKU       	First Trust Global Funds                          	LSE       
FKUD      	First Trust Global Funds Public Limited           	LSE       
FLFQVVF   	FTSE Latin America Qual/                          	LSE       
FLK       	Fletcher King Plc                                 	LSE       
FLKS      	FTSE Lujain Kuwait Shariah Index                  	LSE       
FLKW      	FTSE Lujain Kuwait Index                          	LSE       
FLO       	Flowtech Fluidpower Plc                           	LSE       
FLOW      	Flowgroup Plc                                     	LSE       
FLX       	Falanx Group Limited                              	LSE       
FLYB      	Flybe Group Plc                                   	LSE       
FMIBI1    	FTSE MIB Short Strategy                           	LSE       
FMIBI1X   	FTSE MIB Daily Short Str                          	LSE       
FMIBI2    	FTSE MIB Daily Super Sho                          	LSE       
FMIBI2X   	FTSE MIB Daily Super Sho                          	LSE       
FMIBI3X   	FTSE MIB Daily Ultra Sho                          	LSE       
FMIBI5X   	FTSE MIB Gross TR Index                           	LSE       
FMIBL2    	FTSE MIB Daily Leveraged                          	LSE       
FMIBL2X   	FTSE MIB Daily Leveraged                          	LSE       
FMIBL3X   	FTSE MIB Daily Super Lev                          	LSE       
FMIBL4X   	FTSE MIB Daily Ultra Lev                          	LSE       
FMIBL5X   	FTSE MIB TR Index                                 	LSE       
FMPG      	F&C Managed Portfolio Trust Plc                   	LSE       
FMPI      	F&C Managed Portfolio Trust Plc                   	LSE       
FN10      	FTSE Nareit Equity Diver                          	LSE       
FN11      	FTSE Nareit Equity Healt                          	LSE       
FN12      	FTSE Nareit Equity Self                           	LSE       
FN13C     	FTSE Nareit Industrial/O                          	LSE       
FN14      	FTSE Nareit Equity Indus                          	LSE       
FN15      	FTSE Nareit Equity Offic                          	LSE       
FN17      	FTSE Nareit Equity Resid                          	LSE       
FN17C     	FTSE Nareit All Resident                          	LSE       
FN18      	FTSE Nareit Equity Apart                          	LSE       
FN19      	FTSE Nareit Equity Manuf                          	LSE       
FN20      	FTSE Nareit Equity Retai                          	LSE       
FN20C     	FTSE Nareit Retail Cappe                          	LSE       
FN21      	FTSE Nareit Equity Shopp                          	LSE       
FN22      	FTSE Nareit Equity Regio                          	LSE       
FN23      	FTSE Nareit Equity Free                           	LSE       
FN24      	FTSE Nareit Equity Lodgi                          	LSE       
FN26      	FTSE Nareit Timber                                	LSE       
FN28      	FTSE Nareit Infrastructu                          	LSE       
FN42      	FTSE Nareit Mortgage Hom                          	LSE       
FN43      	FTSE Nareit Mortgage Com                          	LSE       
FNAR      	FTSE Nareit All Reits                             	LSE       
FNCL      	SSGA SPDR ETFS Europe II                          	LSE       
FNCO      	FTSE Nareit Composite                             	LSE       
FNER      	FTSE Nareit Equity Reits                          	LSE       
FNKEN1    	FTSE Nse Kenya 15 Index                           	LSE       
FNKEN2    	FTSE Nse Kenya 25 Index                           	LSE       
FNMR      	FTSE Nareit Mortgage Reits                        	LSE       
FNMRC     	FTSE Nareit All Mortgage Capped Index             	LSE       
FNR5      	FTSE Nareit Real Estate                           	LSE       
FNRE      	FTSE Nareit Equity                                	LSE       
FOG       	Falcon Oil & Gas Ltd.                             	LSE       
FORT      	Forterra Plc                                      	LSE       
FOUR      	4Imprint Group Plc                                	LSE       
FOX       	Fox Marble Holdings Plc                           	LSE       
FOXT      	Foxtons Group Plc                                 	LSE       
FP        	Friends Provident                                 	LSE       
FPEO      	F&C Private Equity Trust Plc                      	LSE       
FPGAL     	FTSE Portugal 20 Index                            	LSE       
FPGALN    	FTSE Portugal 20 Net Tax                          	LSE       
FPM       	Faroe Petroleum Plc                               	LSE       
FPO       	First Property Group Plc                          	LSE       
FPX       	First Trust Global Funds                          	LSE       
FQCAACY   	FTSE China A All Cap Ind                          	LSE       
FQCAN     	FTSE China A Net Tax Ind                          	LSE       
FQCAY     	FTSE China A Index                                	LSE       
FQE       	FTSE Emerging R/Qfii Ind                          	LSE       
FQEAC     	FTSE Emerging All Cap R/                          	LSE       
FQEACN    	FTSE Emerging All Cap R/                          	LSE       
FQEACR    	FTSE Emerging All Cap R/                          	LSE       
FQECONQ   	FTSE Emerging Incl China                          	LSE       
FQECOQ    	FTSE Emerging Incl China                          	LSE       
FQEN      	FTSE Emerging R/Qfii Net                          	LSE       
FQM       	First Quantum Minerals Ltd                        	LSE       
FR10      	FTSE Rafi 1000 Index                              	LSE       
FR10N     	FTSE Rafi US 1000 Net In                          	LSE       
FR10Q     	FTSE Rafi US 1000 Index                           	LSE       
FR10QN    	FTSE Rafi US 1000 Net In                          	LSE       
FR15      	FTSE Rafi US 1500 Index                           	LSE       
FR15N     	FTSE Rafi US 1500 MS Ind                          	LSE       
FR15Q     	FTSE Rafi US 1500 Mid Sm                          	LSE       
FR15QN    	FTSE Rafi US 1500 Mid Sm                          	LSE       
FR30Q     	FTSE Rafi US 3000 Index                           	LSE       
FRAPXJQN  	FTSE Rafi Asia Pacific E                          	LSE       
FRAU200   	FTSE Rafi Australia 200                           	LSE       
FRAW3     	FTSE Rafi All-World 3000                          	LSE       
FRAW3Q    	FTSE Rafi All World 3000                          	LSE       
FRAWLVNU  	FTSE Rafi All-World Low                           	LSE       
FRAWLVQU  	FTSE Rafi All-World Low                           	LSE       
FRBR5     	FTSE Rafi Brazil 50 Inde                          	LSE       
FRCAN     	FTSE Rafi Canada Index                            	LSE       
FRCANQ    	FTSE Rafi Canada Index -                          	LSE       
FRCHEN    	FTSE Rafi Switzerland Index                       	LSE       
FRCL      	Foreign & Colonial Investment Trust Plc           	LSE       
FRD       	FTSE Rafi Dev 1000 Idx                            	LSE       
FRDAPXJ   	FTSE Rafi Dev Asia/Pac Ex Japan                   	LSE       
FRDAPXJN  	FTSE Rafi Dev Asia Pacific Ex Jap Net In          	LSE       
FRDAPXJQ  	FTSE Rafi Developed Asia                          	LSE       
FRDELVN   	FTSE Rafi Developed Euro                          	LSE       
FRDELVNU  	FTSE Rafi Developed Low                           	LSE       
FRDELVQ   	FTSE Rafi Developed Euro                          	LSE       
FRDELVQU  	FTSE Rafi Developed Low                           	LSE       
FRDQ      	FTSE Rafi Developed 1000                          	LSE       
FREIAWN   	FTSE Rafi All-World Equi                          	LSE       
FREIDEN   	FTSE Rafi Developed Euro                          	LSE       
FREIDXU   	FTSE Rafi Dev Xusei                               	LSE       
FREIDXUN  	FTSE Rafi Equity Income Developed Ex US           	LSE       
FREIEM    	FTSE Rafi EM Eq Inc                               	LSE       
FREIEMN   	FTSE Rafi Emerging Equit                          	LSE       
FREIUKN   	FTSE Rafi UK Equity Inco                          	LSE       
FREIUSA   	FTSE Rafi US Eq Inc                               	LSE       
FREIUSAN  	FTSE Rafi US Equity Inco                          	LSE       
FREM      	FTSE Rafi Emerging Index                          	LSE       
FREMLVNU  	FTSE Rafi USD Emerging L                          	LSE       
FREMLVQU  	FTSE Rafi Emerging Low V                          	LSE       
FREMN     	FTSE Rafi Emer Nt Index                           	LSE       
FREMQ     	FTSE Rafi Emerging Index                          	LSE       
FREMQN    	FTSE Rafi Emerging Net I                          	LSE       
FRES      	Fresnillo Plc                                     	LSE       
FREU      	FTSE Europe Index                                 	LSE       
FREUQ     	FTSE Rafi Europe Index -                          	LSE       
FREZ      	FTSE Rafi Eurozone Index                          	LSE       
FRGBR1    	FTSE Rafi UK 100 Index                            	LSE       
FRGBR1N   	FTSE Rafi UK 100 Net Ind                          	LSE       
FRGBR1Q   	FTSE Rafi UK 100 Index -                          	LSE       
FRGBR3    	FTSE Rafi UK 300 Index                            	LSE       
FRGBR3Q   	FTSE Rafi UK 300 Index -                          	LSE       
FRGOV01   	FTSE France Government T                          	LSE       
FRHKG     	FTSE Rafi Hong Kong/China Index                   	LSE       
FRI       	Frontier Resources Inter                          	LSE       
FRITA3    	FTSE Rfi Italy 30 Index                           	LSE       
FRITA3Q   	FTSE Rafi Italy 30 Index                          	LSE       
FRJP350Q  	FTSE Rafi Japan 350 Inde                          	LSE       
FRJPN     	FTSE Rafi Japan Index                             	LSE       
FRJPN350  	FTSE Rafi Japan 350 Inde                          	LSE       
FRJPNQ    	FTSE Rafi Japan Index -                           	LSE       
FRJPNUH   	FTSE Rafi Japan Index [Cad]                       	LSE       
FRM       	Formation Group Plc                               	LSE       
FRP       	Fairpoint Group Plc                               	LSE       
FRR       	Frontera Resources Corporation                    	LSE       
FRSDEURN  	FTSE Rafi Dveu Net Index                          	LSE       
FRSDEURQ  	FTSE Rafi Developed Euro                          	LSE       
FRSDEURS  	FTSE Rafi Developed Europe Mid Small              	LSE       
FRSDXUS   	FTSE Rafi Developed Ex US Mid Small 1500          	LSE       
FRSDXUSN  	FTSE Rafi Dev Ex US MS Index                      	LSE       
FRSDXUSQ  	FTSE Rafi Developed Mid                           	LSE       
FRSWEAC   	FTSE Rafi Sweden All Cap Index                    	LSE       
FRTW100   	Tsec Rafi Taian 100 Inde                          	LSE       
FRTW50    	Tsec Rafi Taian 50 Index                          	LSE       
FRTWLVN   	FTSE Rafi Twd Taiwan Low                          	LSE       
FRUKLVN   	FTSE Rafi UK Low Volatil                          	LSE       
FRUKLVQ   	FTSE Rafi UK Low Volatil                          	LSE       
FRUR      	FTSE Rafi US 100 Real Estate Index                	LSE       
FRUS500   	FTSE Rafi US 500 Index                            	LSE       
FRUSLVN   	FTSE Rafi US Low Volatil                          	LSE       
FRUSLVQ   	FTSE Rafi US Low Volatil                          	LSE       
FRUT      	Frutarom Industries Ld                            	LSE       
FRX1      	FTSE Rafi Global Ex US 1                          	LSE       
FRX1C     	FTSE Rafi Global Ex US 1                          	LSE       
FRX1N     	FTSE Rafi Dev Ex US Inde                          	LSE       
FRX1Q     	FTSE Rafi Developed Ex U                          	LSE       
FRX1QN    	FTSE Rafi Developed Ex U                          	LSE       
FRXR      	FTSE Rafi Global Ex US Real Estate                	LSE       
FRXULVNU  	FTSE Rafi Developed Ex U                          	LSE       
FRXULVQU  	FTSE Rafi Developed Ex U                          	LSE       
FSEU      	Ishares IV Plc                                    	LSE       
FSFL      	Foresight Solar Fund Lim                          	LSE       
FSJ       	Fisher [James] & Sons Plc                         	LSE       
FSTA      	Fuller Smith & Turner Plc                         	LSE       
FSTHA     	FTSE Set All Shares Index                         	LSE       
FSTHF     	FTSE Set Fledgling Index                          	LSE       
FSTHL     	FTSE Set Large Cap Index                          	LSE       
FSTHM     	FTSE Set Mid Cap Index                            	LSE       
FSTHMS    	FTSE Set Mid Small Cap Index                      	LSE       
FSTHS     	FTSE Set Small Cap Index                          	LSE       
FSTSH     	FTSE Set Shariah Index                            	LSE       
FSUS      	Ishares IV Plc                                    	LSE       
FSV       	Fidelity Special Values Plc                       	LSE       
FSWD      	Ishares IV Plc                                    	LSE       
FT40      	Sga Societe Generale Acc                          	LSE       
FT41      	Sga Societe Generale Acc                          	LSE       
FT42      	Sga Societe Generale Acc                          	LSE       
FT44      	Sga Societe Generale Acc                          	LSE       
FT45      	Sga Societe Generale Acc                          	LSE       
FT46      	Sga Societe Generale Acc                          	LSE       
FTAL      	SSGA SPDR ETFS Europe I Plc                       	LSE       
FTASBE    	FTSE Asian Food & Beverage Index                  	LSE       
FTASCH    	FTSE Asian Chemicals Index                        	LSE       
FTBRXX    	FTSE Brazil Infrastructu                          	LSE       
FTBRXXN   	FTSE Brazil Infrastructu                          	LSE       
FTC       	Filtronic Plc                                     	LSE       
FTD       	Foresight 3 Vct Plc                               	LSE       
FTDCUN    	FTSE All-World Cyclical                           	LSE       
FTDDUN    	FTSE Developed Defensive                          	LSE       
FTECEN    	FTSE Developed Europe Cy                          	LSE       
FTEDEN    	FTSE Developed Europe De                          	LSE       
FTEMCUN   	FTSE Emerging Cyclical N                          	LSE       
FTEMDUN   	FTSE Emerging Defensive                           	LSE       
FTEMSLNU  	FTSE Emerging Large Cap                           	LSE       
FTEMSLU   	FTSE Emerging Super Liqu                          	LSE       
FTENNASN  	FTSE Epra/Nareit North A                          	LSE       
FTESLNE   	FTSE Eurobloc Large Cap                           	LSE       
FTESPSL   	FTSE All Cap Spain Super                          	LSE       
FTESPSLN  	FTSE Spain Super Liquid                           	LSE       
FTEUCEN   	FTSE Eurobloc Cyclical N                          	LSE       
FTEUDEN   	FTSE Eurobloc Defensive                           	LSE       
FTEUSLNE  	FTSE Eurobloc Large Cap                           	LSE       
FTF       	Foresight 4 Vct Plc                               	LSE       
FTICEN    	FTSE Italy Cyclical Net                           	LSE       
FTIDEN    	FTSE Italy Defensive Net                          	LSE       
FTJPEM    	FTSE Emerging Diversifie                          	LSE       
FTJPEMN   	FTSE Emerging Diversifie                          	LSE       
FTJPEU    	FTSE Deveudivfactor                               	LSE       
FTJPEUN   	FTSE Deveudivfct Nt                               	LSE       
FTJPGE    	FTSE Developed Diversifi                          	LSE       
FTJPGEN   	FTSE Developed Diversifi                          	LSE       
FTJPIN    	FTSE Developed Ex North                           	LSE       
FTJPINN   	FTSE Developed Ex North                           	LSE       
FTJPUS    	Russell 1000 Diversified Factor Index             	LSE       
FTJSLY    	FTSE Japan Large Cap Sup                          	LSE       
FTJSLYN   	FTSE Japan Large Cap Sup                          	LSE       
FTSC      	Foresight Solar Vct Plc                           	LSE       
FTSD10    	FTSE Asia Pac Small Cap                           	LSE       
FTSD14    	FTSE Dev Europe Small CA                          	LSE       
FTSV      	Foresight Solar Vct Plc                           	LSE       
FTSWD     	FTSE Shariah Developed Europe Index               	LSE       
FTUGAS    	Epra/Nareit Asia Index [Usd]                      	LSE       
FTUKCGN   	FTSE UK Cyclical Net Ind                          	LSE       
FTUKDGN   	FTSE UK Defensive Net In                          	LSE       
FTUKLSNG  	FTSE UK Large Cap Super                           	LSE       
FTUKMSLG  	FTSE UK Mid Cap Super Li                          	LSE       
FTUKMSNG  	FTSE UK Mid Cap Super Li                          	LSE       
FTUKSLSP  	FTSE UK Large Cap Super Liquid Expiry Index       	LSE       
FTUSLNU   	FTSE USA Large Cap Super                          	LSE       
FTUSLU    	FTSE USA Super Liquid In                          	LSE       
FTUSSNU   	FTSE USA Small Cap Super                          	LSE       
FTUSSU    	FTSE USA Small Cap Super                          	LSE       
FTV       	Foresight Vct Plc                                 	LSE       
FTVP      	Foresight Vct Plc                                 	LSE       
FTXUKSNE  	FTSE Developed Europe Ex                          	LSE       
FUDP      	FTSE UK Dividend+ Index                           	LSE       
FUDPN     	FTSE UK Dividend+ Net Ta                          	LSE       
FUL       	The Fulham Shore Plc                              	LSE       
FUM       	Futura Medical Plc                                	LSE       
