0FIZ      	HELLENIC TELECOM.ORGANIZATION S.A. EUR2.39        	LSE       
0FJ8      	OUTOKUMPU OYJ `A`NPV                              	LSE       
0FJC      	PATRIZIA IMMOBILIEN AG NPV                        	LSE       
0FJJ      	PANARIAGROUP INDUSTRIE CERAMICHE EUR0.5           	LSE       
0FM1      	PIAGGIO & C SPA EUR0.52                           	LSE       
0FMN      	POLSKI KONCERN NAFTOWY ORLEN SA PLN1.25           	LSE       
0FMO      	POWSZECHNA KASA OSZCZED BK POLSKI PLN1            	LSE       
0FN3      	SPAREBANKEN PLUSS NOK100                          	LSE       
0FN4      	PLASTIQUE DU VAL EUR2                             	LSE       
0FNI      	PININFARINA SPA EUR1                              	LSE       
0FNZ      	PONSSE NPV                                        	LSE       
0FP9      	BANCA PROFILO EUR0.52                             	LSE       
0FPB      	PARIS ORLEANS EUR2                                	LSE       
0FPQ      	PHOENIX SOLAR AG ORD (NPV)                        	LSE       
0FQ8      	PORTUGAL TELECOM SGPS SA EUR0.35(REGD)            	LSE       
0FQI      	PUBLICIS GROUPE SA EUR0.40                        	LSE       
0FQR      	PFEIFFER VACUUM TECHNOLOGY ORD NPV                	LSE       
0FR0      	EUROPA & C PAPELES Y CART DE EUROPA EUR2          	LSE       
0FRE      	QUEST FOR GROWTH NPV                              	LSE       
0FRJ      	RATIONAL AG NPV                                   	LSE       
0FS8      	RENEWABLE ENERGY CORP AS NOK1                     	LSE       
0FSN      	RESILUX NPV                                       	LSE       
0FSO      	RETAIL ESTATES NPV                                	LSE       
0FTC      	RINGKJOBING LANDBOBANK DKK5                       	LSE       
0FUZ      	RWE AG(NEU) NON VTG PRF NPV                       	LSE       
0FVZ      	SAFT GROUPE S.A. EUR1                             	LSE       
0FWF      	SMT SCHARF AG NPV (BR)                            	LSE       
0FWY      	SALMAR ASA NOK0.25                                	LSE       
0FX5      	SANISTAAL `B`DKK100                               	LSE       
0FXQ      	SCANA INDUSTRIER ASA NOK1.25                      	LSE       
0G0W      	SIAS EUR0.50                                      	LSE       
0G15      	KOENIG & BAUER AG NPV                             	LSE       
0G29      	SEMPERIT HLDGS AG NPV                             	LSE       
0G2X      	SOFINA NPV                                        	LSE       
0G33      	SOLAR A/S `B`DKK100                               	LSE       
0G5B      	STO AG NON VTG PRF NPV                            	LSE       
0G68      	KENDRION N.V. EUR2                                	LSE       
0G6J      	SEKTKELLEREI SCHLOSS WACHENHEIM AG NPV            	LSE       
0G6T      	SYMRISE AG NPV                                    	LSE       
0G77      	SALZGITTER AG ORD NPV                             	LSE       
0G7B      	SUDZUCKER AG NPV                                  	LSE       
0G8C      	TELENOR ASA ORD NOK6                              	LSE       
0G91      	TREVI FINANZIARIA INDUSTRIALE EUR0.50             	LSE       
0G99      	THROMBOGENICS NPV                                 	LSE       
0G9J      	TAMBURI INVESTMENT PARTNERS EUR0.52               	LSE       
0G9W      	GESTEVISION TELECINCO SA ORD EUR0.5               	LSE       
0GA3      	TELECOM ITALIA SPA(NEW) DI RISP EUR0.55           	LSE       
0GAF      	TELENET NPV                                       	LSE       
0GAW      	TOTENS SPAREBANK NOK100(GRUNNFONDSBEVIS)          	LSE       
0GB6      	TECHNOPOLIS OYJ NPV                               	LSE       
0GB7      	TELEKOMUNIKACJA POLSKA PLN3                       	LSE       
0GC8      	TAKKT AG NPV                                      	LSE       
0GD5      	UBM REALITAETENENTWICKLUNG NPV                    	LSE       
0GDR      	UNIQA VERSICHERUNG AG NPV                         	LSE       
0GE4      	UNITED INTERNET AG NPV                            	LSE       
0GF6      	VEIDEKKE NOK0.5                                   	LSE       
0GJK      	WASHTEC AG NPV                                    	LSE       
0GJN      	WUSTENROT & WURTTEMBERGISCHE AG NPV               	LSE       
0GKA      	YIT OYJ NPV                                       	LSE       
0GM2      	LEROY SEAFOOD GROUP NOK1                          	LSE       
0GN0      	VITROLIFE AB NPV                                  	LSE       
0GNM      	REZIDOR HOTEL GROUP AB NPV                        	LSE       
0GO4      	SWEDISH MATCH AB NPV                              	LSE       
0GO5      	KAPPAHL HLDG AB SEK0                              	LSE       
0GOW      	NIBE INDUSTRIER AB SER`B`NPV                      	LSE       
0GP7      	MEDIVIR SER`B`NPV                                 	LSE       
0GQE      	CLAS OHLSON AB SER `B` NPV                        	LSE       
0GQU      	ACTIVE BIOTECH NPV                                	LSE       
0GRD      	EXIQON A/S DKK1                                   	LSE       
0GRG      	KUNGSLEDEN NPV                                    	LSE       
0GRK      	MILLICOM INTERNATIONAL CELLULAR BDR EACH REP 1 USD1.50 MILLICOM INTL	LSE       
0GRP      	BIOTAGE AB NPV                                    	LSE       
0GRX      	HEXAGON AB SER`B`NPV                              	LSE       
0GRZ      	RAYSEARCH LABORATORIES AB SER`B`NPV               	LSE       
0GSU      	MEDA AB SER`A`NPV                                 	LSE       
0GT1      	CASTELLUM AB SEK0.50                              	LSE       
0GTM      	DIOS FASTIGHETER AB NPV                           	LSE       
0GTO      	KAPSCH TRAFFICCOM AG NPV                          	LSE       
0GTP      	FINGERPRINT CARDS AB SER`B`NPV                    	LSE       
0GTR      	HUSQVARNA SER`B`NPV                               	LSE       
0GTW      	NORDNET AB SER`B`NPV                              	LSE       
0GUV      	AARHUSKARLSHAMN AB NPV                            	LSE       
0GW0      	NOBIA AB NPV                                      	LSE       
0GW3      	HUFVUDSTADEN AB SER`A`NPV                         	LSE       
0GW8      	GRIEG SEAFOOD NOK1                                	LSE       
0GWB      	LUNDBERGFORETAGEN AB SER`B`NPV                    	LSE       
