Sym	Name	Exch
BDMF.IDX	Barchart TSX Market Momentum Declines Yesterday	INDEX
BDMG.IDX	Barchart TSX Market Momentum Unch Yesterday	INDEX
BDMM.IDX	Barchart Market Momentum Yesterday	INDEX
BDMU.IDX	Barchart Market Momentum Unch Yesterday	INDEX
BFMA.IDX	Barchart Market Momentum Advances Last Week	INDEX
BFMC.IDX	Barchart TSX Market Momentum Last Week	INDEX
BFMD.IDX	Barchart Market Momentum Declines Last Week	INDEX
BFME.IDX	Barchart TSX Market Momentum Advances Last Week	INDEX
BFMF.IDX	Barchart TSX Market Momentum Declines Last Week	INDEX
BFMG.IDX	Barchart TSX Market Momentum Unch Last Week	INDEX
BFMM.IDX	Barchart Market Momentum Last Week	INDEX
BFMU.IDX	Barchart Market Momentum Unch Last Week	INDEX
BGMA.IDX	Barchart Market Momentum Advances Last Month	INDEX
BGMC.IDX	Barchart TSX Market Momentum Last Month	INDEX
BGMD.IDX	Barchart Market Momentum Declines Last Month	INDEX
BGME.IDX	Barchart TSX Market Momentum Advances Last Month	INDEX
BGMF.IDX	Barchart TSX Market Momentum Declines Last Month	INDEX
BGMG.IDX	Barchart TSX Market Momentum Unch Last Month	INDEX
BGMM.IDX	Barchart Market Momentum Last Month	INDEX
BGMU.IDX	Barchart Market Momentum Unch Last Month	INDEX
BKX.IDX	KBW Bank Index	INDEX
BOXR.IDX	S&P C.S. Ma-Boston Home Price Index	INDEX
BWH.IDX	POWERSHARES WILDERHILL CLEAN EN	INDEX
BXD.IDX	CBOE DJIA BUYWRITE INDEX	INDEX
BXM.IDX	CBOE BUYWRITE MONTHLY INDEX	INDEX
BXN.IDX	CBOE BUYWRITE MONTHLY INDEX	INDEX
BXR.IDX	CBOE RUSSELL 2000 BUYWRITE INDE	INDEX
BXY.IDX	CBOE S& P 500 BUYWRITE    INDEX	INDEX
CEX.IDX	S& P Chemicals Index	INDEX
CEXR.IDX	S&P C.S. Oh-Cleveland Home Price Index	INDEX
CHXR.IDX	S&P C.S. Il-Chicago Home Price Index	INDEX
CIV.IDX	Cboe/Cbot Corn Volatility Index	INDEX
COMP.IDX	Nasdaq Composite	INDEX
CPR.IDX	Copper Index	INDEX
CRXR.IDX	S&P C.S. Nc-Charlotte Home Price Index	INDEX
CS2R.IDX	S&P C.S. 20-City Composite Home Price Index	INDEX
CSXR.IDX	S&P C.S. 10-City Composite Home Price Index	INDEX
CYM.IDX	Claymore Yield ETF Iopv	INDEX
DAXR.IDX	S&P C.S. Tx-Dallas Home Price Index	INDEX
DCFD.IDX	DOW Comp Stocks Above 5-Day Average	INDEX
DCFI.IDX	DOW Comp Stocks Above 50-Day Average	INDEX
DCOF.IDX	DOW Comp Stocks Above 150-Day Average	INDEX
DCOH.IDX	DOW Comp Stocks Above 100-Day Average	INDEX
DCSE.IDX	Djw US Semiconductor	INDEX
DCTH.IDX	DOW Comp Stocks Above 200-Day Average	INDEX
DCTW.IDX	DOW Comp Stocks Above 20-Day Average	INDEX
DDA.IDX	DJIA VOLATILITY INDEX - OFFER S	INDEX
DDB.IDX	DJIA VOLATILITY INDEX - BID SID	INDEX
DECA.IDX	AMEX Declining Stocks	INDEX
DECD.IDX	OTC Declining Stocks	INDEX
DECE.IDX	ETFS  Declining Stocks	INDEX
DECN.IDX	NYSE Declining Stocks	INDEX
DECQ.IDX	NASD Declining Stocks	INDEX
DECS.IDX	TSX Declining Stocks	INDEX
DECT.IDX	Total Declining Stocks	INDEX
DECV.IDX	Tsxv Declining Stocks	INDEX
DECX.IDX	CAD Total Declining Stocks	INDEX
DEXR.IDX	S&P C.S. Mi-Detroit Home Price Index	INDEX
DIFD.IDX	DOW Indu Stocks Above 5-Day Average	INDEX
DIFI.IDX	DOW Indu Stocks Above 50-Day Average	INDEX
DIOF.IDX	DOW Indu Stocks Above 150-Day Average	INDEX
DIOH.IDX	DOW Indu Stocks Above 100-Day Average	INDEX
DITH.IDX	DOW Indu Stocks Above 200-Day Average	INDEX
DITW.IDX	DOW Indu Stocks Above 20-Day Average	INDEX
DIVQ.IDX	NASDAQ Dividend Achievers Index	INDEX
DJC.IDX	Dow Jones Composite Average	INDEX
DJEC.IDX	DJ INTERNET COMMERCE IND	INDEX
DJI.IDX	DJ Industrial Average	INDEX
DJT.IDX	DJ Transport Average	INDEX
DJU.IDX	DJ Utility Average	INDEX
DJWO.IDX	DJ WORLD STOCK INDEX	INDEX
DLTC.IDX	U.S. Large-Cap Technology Index	INDEX
DNXR.IDX	S&P C.S. Co-Denver Home Price Index	INDEX
DOWE.IDX	INDUSTRIALS EU$	INDEX
DRCI.IDX	DJ COMPREIT	INDEX
DREI.IDX	DJ EQUITYREIT	INDEX
DSAE.IDX	DJ US AERODEF	INDEX
DSAF.IDX	DJ US DELIVRYSRV	INDEX
DSAG.IDX	DJ US ASSETMNG	INDEX
DSAI.IDX	DJ US ELECEQUIP	INDEX
DSAL.IDX	DJ US ALUMINUM	INDEX
DSAM.IDX	DJ US MEDEQUIP	INDEX
DSAP.IDX	DJ US AUTOPARTS	INDEX
DSAR.IDX	DJ US AIRLINES	INDEX
DSAS.IDX	DJ US AEROSPACE	INDEX
DSAT.IDX	DJ US AUTOPARTS	INDEX
DSAU.IDX	DJ US AUTOMOBILE	INDEX
DSAV.IDX	DJ US MEDIAAGN	INDEX
DSBC.IDX	DJ US BRDCASTENT	INDEX
DSBD.IDX	DJ US BLDGMATFIX	INDEX
DSBE.IDX	DJ US BSTRNGEMP	INDEX
DSBK.IDX	DJ US BANKS	INDEX
DSBM.IDX	DJ US BASICMAT	INDEX
DSBS.IDX	DJ US BSCRSRCES	INDEX
DSBT.IDX	DJ US BIOTECHNO	INDEX
DSBV.IDX	DJ US BEVERAGES	INDEX
DSCA.IDX	DJ US GAMBLING	INDEX
DSCC.IDX	DJ US COMMCHEM	INDEX
DSCF.IDX	DJ US CLOTHACCSS	INDEX
DSCG.IDX	DJ US TRAVLEIS	INDEX
DSCH.IDX	DJ US CHEMICALS	INDEX
DSCL.IDX	DJ US COAL	INDEX
DSCM.IDX	DJ US PERSPROD	INDEX
DSCN.IDX	DJ US CONSMATRLS	INDEX
DSCP.IDX	DJ US CTNRS&PKNG	INDEX
DSCR.IDX	DJ US CMPTRHRDWR	INDEX
DSCS.IDX	DJ US SPLTYCNSRV	INDEX
DSCT.IDX	DJ US SEMICONDTR	INDEX
DSCX.IDX	DJ US SPCLTYCHEM	INDEX
DSCY.IDX	DJ US CONSUMSRV	INDEX
DSDB.IDX	DJ US BREWERS	INDEX
DSDN.IDX	DJ US DEFENSE	INDEX
DSDR.IDX	DJ US FDDRGRET	INDEX
DSDS.IDX	DJ US INSUPPLIER	INDEX
DSDT.IDX	U.S. Diversified REITs Index	INDEX
DSDV.IDX	DJ US CMPTRSRV	INDEX
DSEC.IDX	DJ US ELCCOMPEQP	INDEX
DSEE.IDX	DJ US ELECEQUP	INDEX
DSEH.IDX	U.S. Real Estate Holding & Development Index	INDEX
DSEN.IDX	DJ US OIL&GAS	INDEX
DSES.IDX	U.S. Real Estate Services Index	INDEX
DSEU.IDX	DJ US ELECTRCTY	INDEX
DSFA.IDX	DJ US FINADMIN	INDEX
DSFB.IDX	DJ US FOOD&BEV	INDEX
DSFC.IDX	DJ US FXLNTELCM	INDEX
DSFD.IDX	DJ US FOODRTWHSL	INDEX
DSFE.IDX	DJ US INDUSTMACH	INDEX
DSFH.IDX	DJ US FURNISHNG	INDEX
DSFI.IDX	DJ US FINCLSRV	INDEX
DSFN.IDX	DJ US FINANCIALS	INDEX
DSFO.IDX	DJ US FOODPRODRS	INDEX
DSFP.IDX	DJ US FOODPRDCTS	INDEX
DSFR.IDX	DJ US FORESTPAPR	INDEX
DSFT.IDX	DJ US FOOTWEAR	INDEX
DSFV.IDX	U.S. Financial Services Index	INDEX
DSGF.IDX	DJ US GENFINAN	INDEX
DSGI.IDX	DJ US GENINDUST	INDEX
DSGT.IDX	DJ US GENRETAIL	INDEX
DSGU.IDX	DJ US GASDISTRIB	INDEX
DSHB.IDX	DJ US HOMECONS	INDEX
DSHC.IDX	DJ US HLTHCARE	INDEX
DSHD.IDX	DJ US DURHLDPROD	INDEX
DSHG.IDX	DJ US HLDGOODS	INDEX
DSHI.IDX	DJ US HMIMPRETL	INDEX
DSHL.IDX	U.S. Hotel & Lodging REITs Index	INDEX
DSHN.IDX	DJ US NDURHLDPRD	INDEX
DSHP.IDX	DJ US HLTHCRPVDR	INDEX
DSHR.IDX	DJ US COMRVEHTRK	INDEX
DSHV.IDX	DJ US HVYCONS	INDEX
DSIB.IDX	DJ US INSBROKERS	INDEX
DSID.IDX	DJ US DVSFINDUS	INDEX
DSIF.IDX	DJ US FLLINEINS	INDEX
DSIG.IDX	DJ US INDGDS&SRV	INDEX
DSIL.IDX	DJ US LIFEINSUR	INDEX
DSIM.IDX	DJ US INDMETALS	INDEX
DSIN.IDX	DJ US INDSTRIALS	INDEX
DSIO.IDX	U.S. Industrial & Office REITs Index	INDEX
DSIP.IDX	DJ US PROPCASINS	INDEX
DSIQ.IDX	DJ US INDSTENGNG	INDEX
DSIR.IDX	DJ US INSURANCE	INDEX
DSIS.IDX	DJ US SUPPORTSRV	INDEX
DSIT.IDX	DJ US INDSTTRANS	INDEX
DSIU.IDX	DJ US REINSURAN	INDEX
DSIV.IDX	DJ US BUSSUPSRV	INDEX
DSIX.IDX	DJ US NLIFEINSUR	INDEX
DSLE.IDX	DJ US LEISGOODS	INDEX
DSLG.IDX	DJ US HOTELS	INDEX
DSLW.IDX	DJ US LOWCAP	INDEX
DSMC.IDX	DJ US HCREQPSRV	INDEX
DSME.IDX	DJ US MEDIA	INDEX
DSMF.IDX	DJ US MORTGFIN	INDEX
DSMG.IDX	DJ US MINING	INDEX
DSMR.IDX	U.S. Mortgage REITs Index	INDEX
DSMS.IDX	DJ US MDSUPPLIES	INDEX
DSMT.IDX	DJ US MARTRANSPT	INDEX
DSMU.IDX	DJ US MULUTILTES	INDEX
DSNC.IDX	DJ US CONSUMGDS	INDEX
DSNF.IDX	DJ US NONFERMET	INDEX
DSNG.IDX	DJ US PERHLDGDS	INDEX
DSNS.IDX	DJ US INTERNET	INDEX
DSOE.IDX	DJ US ELECOFFEQP	INDEX
DSOG.IDX	DJ US OILGAS	INDEX
DSOI.IDX	DJ US OILEQPSRV	INDEX
DSOL.IDX	DJ US INTGOILGAS	INDEX
DSOQ.IDX	DJ US OILEQPSRV	INDEX
DSOS.IDX	DJ US EXPLPROD	INDEX
DSPB.IDX	DJ US PUBLISHING	INDEX
DSPC.IDX	DJ US WSTDSPSRV	INDEX
DSPG.IDX	DJ US PERSGOODS	INDEX
DSPL.IDX	DJ US PIPELINES	INDEX
DSPM.IDX	DJ US GOLDMNG	INDEX
DSPN.IDX	DJ US PHARMBIO	INDEX
DSPP.IDX	DJ US PAPER	INDEX
DSPR.IDX	DJ US PHARMCTCLS	INDEX
DSRA.IDX	DJ US APPRLRET	INDEX
DSRB.IDX	DJ US BRDLNRET	INDEX
DSRD.IDX	DJ US DRUGRET	INDEX
DSRE.IDX	U.S. Real Estate Index	INDEX
DSRH.IDX	DJ US RESTHLDG	INDEX
DSRI.IDX	DJ US RESTINVTR	INDEX
DSRL.IDX	U.S. Retail REITs Index	INDEX
DSRN.IDX	U.S. Residential REITs Index	INDEX
DSRP.IDX	DJ US RECPRODUCT	INDEX
DSRQ.IDX	DJ US RECSERVICE	INDEX
DSRR.IDX	DJ US RAILROADS	INDEX
DSRS.IDX	DJ US SPLTYRET	INDEX
DSRT.IDX	DJ US RETAIL	INDEX
DSRU.IDX	DJ US RESTRBARS	INDEX
DSSB.IDX	DJ US INVSRV	INDEX
DSSC.IDX	DJ US SEMCNDCTRS	INDEX
DSSD.IDX	DJ US SOFTDRINKS	INDEX
DSSF.IDX	DJ US CONSUMFIN	INDEX
DSSP.IDX	DJ US SPECIALFIN	INDEX
DSSR.IDX	U.S. Specialty REITs Index	INDEX
DSST.IDX	DJ US STEEL	INDEX
DSSV.IDX	DJ US SFTCPTRSRV	INDEX
DSSW.IDX	DJ US SOFTWARE	INDEX
DSTB.IDX	DJ US TOBACCO	INDEX
DSTC.IDX	DJ US TECHNOLOGY	INDEX
DSTK.IDX	DJ US TRUCKING	INDEX
DSTL.IDX	DJ US TELECOM	INDEX
DSTP.IDX	DJ US TOPCAP	INDEX
DSTQ.IDX	DJ US TECHHRDEQ	INDEX
DSTR.IDX	DJ US TIRES	INDEX
DSTS.IDX	DJ US TRANSSRV	INDEX
DSTT.IDX	DJ US TRVLTOUR	INDEX
DSTY.IDX	DJ US TOYS	INDEX
DSUO.IDX	DJ US GASWTRMUT	INDEX
DSUT.IDX	DJ US UTILITIES	INDEX
DSVE.IDX	U.S. Conventional Electricity Index	INDEX
DSVN.IDX	DJ US DISVINTNER	INDEX
DSWC.IDX	DJ US MOBTELECOM	INDEX
DSWU.IDX	DJ US WATER	INDEX
DTCI.IDX	DJ COMPREIT TR	INDEX
DTEI.IDX	DJ EQUITYREIT TR	INDEX
DTFD.IDX	DOW Tran Stocks Above 5-Day Average	INDEX
DTFI.IDX	DOW Tran Stocks Above 50-Day Average	INDEX
DTFX.IDX	CME FX Index	INDEX
DTOF.IDX	DOW Tran Stocks Above 150-Day Average	INDEX
DTOH.IDX	DOW Tran Stocks Above 100-Day Average	INDEX
DTTH.IDX	DOW Tran Stocks Above 200-Day Average	INDEX
DTTW.IDX	DOW Tran Stocks Above 20-Day Average	INDEX
DTWC.IDX	DJ COMPAVGTR	INDEX
DTWI.IDX	DJ INDUS AVG TR	INDEX
DTWT.IDX	DJ TRANSAVGTR	INDEX
DTWU.IDX	DJ UTILITYAVGTR	INDEX
DUBS.IDX	DJ UBS COMMODITY INDEX	INDEX
DUFD.IDX	DOW Util Stocks Above 5-Day Average	INDEX
DUFI.IDX	DOW Util Stocks Above 50-Day Average	INDEX
DUOF.IDX	DOW Util Stocks Above 150-Day Average	INDEX
DUOH.IDX	DOW Util Stocks Above 100-Day Average	INDEX
DUSL.IDX	DJ US LRGCAP	INDEX
DUSM.IDX	DJ US MIDCAP	INDEX
DUSS.IDX	DJ US SMLCAP	INDEX
DUTH.IDX	DOW Util Stocks Above 200-Day Average	INDEX
DUTW.IDX	DOW Util Stocks Above 20-Day Average	INDEX
DVCA.IDX	AMEX Declining Volume	INDEX
DVCD.IDX	OTC Declining Volume	INDEX
DVCE.IDX	ETFS  Declining Volume	INDEX
DVCN.IDX	NYSE Declining Volume	INDEX
DVCQ.IDX	NASD Declining Volume	INDEX
DVCS.IDX	TSX Declining Volume	INDEX
DVCT.IDX	Total Declining Volume	INDEX
DVCV.IDX	Tsxv Declining Volume	INDEX
DVCX.IDX	CAD Total Declining Volume	INDEX
DVS.IDX	S&P 500 DIVIDEND INDEX - 10X	INDEX
DWCB.IDX	DJ US BANKS TOTAL INDEX	INDEX
DXY.IDX	U.S. Dollar Index	INDEX
EED.IDX	Claymore Bric ETF Iopv	INDEX
EVZ.IDX	CBOE EURO CURR VOL IND	INDEX
FBV.IDX	Powershrs Db G10 Fd Iopv	INDEX
FVX.IDX	5-YEAR TREASURY NOTE	INDEX
GLD.IDX	Gold Index	INDEX
GMI.IDX	Mkt Vector Gold Min Iopv	INDEX
GNX.IDX	GSCI Spot Return	INDEX
GVX.IDX	Goldman Sachs Livestock Sub Index	INDEX
GVZ.IDX	GSTI SERVICES INDEX SETTLEMENT	INDEX
HGX.IDX	Phlx Hsg Sector Index	INDEX
HIGA.IDX	AMEX New Highs	INDEX
HIGD.IDX	OTC New Highs	INDEX
HIGN.IDX	NYSE New Highs	INDEX
HIGQ.IDX	NASD New Highs	INDEX
HIGS.IDX	TSX New Highs	INDEX
HIGV.IDX	Tsxv New Highs	INDEX
HUI.IDX	AMEX Gold Bugs Index	INDEX
HVX.IDX	Mkt Vector Env Serv Iopv	INDEX
IDX.IDX	S&P 400 Midcap Index	INDEX
INDS.IDX	Nasdaq Industrial	INDEX
INSR.IDX	Nasdaq Inurance	INDEX
IQX.IDX	S&P 500 EQUAL WEIGHT	INDEX
IQZ.IDX	S&P 1000	INDEX
IRX.IDX	13-WEEK TREASURY BILL	INDEX
IVX.IDX	S&P 500 Value	INDEX
IXB.IDX	Materials Select Sector Index	INDEX
IXCO.IDX	Nasdaq Computer	INDEX
IXE.IDX	The Energy Select Sector Index	INDEX
IXF.IDX	Nasdaq Financial 100	INDEX
IXHC.IDX	NASDAQ Health Care Index	INDEX
IXI.IDX	Industrial Select Sector Index	INDEX
IXM.IDX	Financial Select Sector Index	INDEX
IXR.IDX	Consumer Staples Select Sector Index	INDEX
IXTC.IDX	Nasdaq Telecommunications	INDEX
IXU.IDX	Utilities Select Sector Index	INDEX
IXV.IDX	Healthcare Select Sector Index	INDEX
IXY.IDX	Consumer Discretionary Select Sector Index	INDEX
JX.IDX	Tsx Venture Composite Index	INDEX
KDX.IDX	KBW Finsec Dividend Yield Index	INDEX
KIX.IDX	KBW Insurance Index	INDEX
KLX.IDX	Mkt Vectors Steel Iopv	INDEX
KPX.IDX	KBW Property & Casualty Index	INDEX
KRX.IDX	KBW Regional Banking Index	INDEX
KSX.IDX	KBW Capital Markets Index	INDEX
KYX.IDX	KBW Premium Yield Equity REIT Index	INDEX
LOWA.IDX	AMEX New Lows	INDEX
LOWD.IDX	OTC New Lows	INDEX
LOWN.IDX	NYSE New Lows	INDEX
LOWQ.IDX	NASD New Lows	INDEX
LOWS.IDX	TSX New Lows	INDEX
LOWV.IDX	Tsxv New Lows	INDEX
LVXR.IDX	S&P C.S. Nv-Las Vegas Home Price Index	INDEX
LXXR.IDX	S&P C.S. Ca-Los Angeles Home Price Index	INDEX
M1DA.IDX	1-Month Hi-Lo AMEX	INDEX
M1DB.IDX	1-Month Hi-Lo S&P 500 Materials	INDEX
M1DC.IDX	1-Month Hi-Lo Russell 2000	INDEX
M1DD.IDX	1-Month Hi-Lo Otcbb	INDEX
M1DE.IDX	1-Month Hi-Lo ETFS	INDEX
M1DF.IDX	1-Month Hi-Lo S&P 500 Financials	INDEX
M1DG.IDX	1-Month Hi-Lo Russell 1000	INDEX
M1DH.IDX	1-Month Hi-Lo Price GT $10	INDEX
M1DI.IDX	1-Month Hi-Lo S&P 500 Industrials	INDEX
M1DJ.IDX	1-Month Hi-Lo S&P 500 Utilities	INDEX
M1DK.IDX	1-Month Hi-Lo S&P 500 Info Tech	INDEX
M1DL.IDX	1-Month Hi-Lo Price Lt $10	INDEX
M1DM.IDX	1-Month Hi-Lo S&P 500 Consumer Staples	INDEX
M1DN.IDX	1-Month Hi-Lo NYSE	INDEX
M1DO.IDX	1-Month Hi-Lo S&P 100	INDEX
M1DP.IDX	1-Month Hi-Lo S&P 500	INDEX
M1DQ.IDX	1-Month Hi-Lo Nasdaq	INDEX
M1DR.IDX	1-Month Hi-Lo S&P 500 Real Estate	INDEX
M1DS.IDX	1-Month Hi-Lo S&P 500 Health Care	INDEX
M1DT.IDX	1-Month Hi-Lo S&P 500 Energies	INDEX
M1DU.IDX	1-Month Hi-Lo Volume Lt 100K	INDEX
M1DV.IDX	1-Month Hi-Lo Volume GT 100K	INDEX
M1DW.IDX	1-Month Hi-Lo S&P 500 Telcomm	INDEX
M1DX.IDX	1-Month Hi-Lo Overall	INDEX
M1DY.IDX	1-Month Hi-Lo S&P 500 Consumer Disc	INDEX
M1DZ.IDX	1-Month Hi-Lo Russell 3000	INDEX
M1HA.IDX	1-Month Highs AMEX	INDEX
M1HB.IDX	1-Month Highs S&P 500 Materials	INDEX
M1HC.IDX	1-Month Highs Russell 2000	INDEX
M1HD.IDX	1-Month Highs Otcbb	INDEX
M1HE.IDX	1-Month Highs ETFS	INDEX
M1HF.IDX	1-Month Highs S&P 500 Financials	INDEX
M1HG.IDX	1-Month Highs Russell 1000	INDEX
M1HH.IDX	1-Month Highs Price GT $10	INDEX
M1HI.IDX	1-Month Highs S&P 500 Industrials	INDEX
M1HJ.IDX	1-Month Highs S&P 500 Utilities	INDEX
M1HK.IDX	1-Month Highs S&P 500 Info Tech	INDEX
M1HL.IDX	1-Month Highs Price Lt $10	INDEX
M1HM.IDX	1-Month Highs S&P 500 Consumer Staples	INDEX
M1HN.IDX	1-Month Highs NYSE	INDEX
M1HO.IDX	1-Month Highs S&P 100	INDEX
M1HP.IDX	1-Month Highs S&P 500	INDEX
M1HQ.IDX	1-Month Highs Nasdaq	INDEX
M1HR.IDX	1-Month Highs S&P 500 Real Estate	INDEX
M1HS.IDX	1-Month Highs S&P 500 Health Care	INDEX
M1HT.IDX	1-Month Highs S&P 500 Energies	INDEX
M1HU.IDX	1-Month Highs Volume Lt 100K	INDEX
M1HV.IDX	1-Month Highs Volume GT 100K	INDEX
M1HW.IDX	1-Month Highs S&P 500 Telcomm	INDEX
M1HX.IDX	1-Month Highs Overall	INDEX
M1HY.IDX	1-Month Highs S&P 500 Consumer Disc	INDEX
M1HZ.IDX	1-Month Highs Russell 3000	INDEX
M1LA.IDX	1-Month Lows AMEX	INDEX
M1LB.IDX	1-Month Lows S&P 500 Materials	INDEX
M1LC.IDX	1-Month Lows Russell 2000	INDEX
M1LD.IDX	1-Month Lows Otcbb	INDEX
M1LE.IDX	1-Month Lows ETFS	INDEX
M1LF.IDX	1-Month Lows S&P 500 Financials	INDEX
M1LG.IDX	1-Month Lows Russell 1000	INDEX
M1LH.IDX	1-Month Lows Price GT $10	INDEX
M1LI.IDX	1-Month Lows S&P 500 Industrials	INDEX
M1LJ.IDX	1-Month Lows S&P 500 Utilities	INDEX
M1LK.IDX	1-Month Lows S&P 500 Info Tech	INDEX
M1LL.IDX	1-Month Lows Price Lt $10	INDEX
M1LM.IDX	1-Month Lows S&P 500 Consumer Staples	INDEX
M1LN.IDX	1-Month Lows NYSE	INDEX
M1LO.IDX	1-Month Lows S&P 100	INDEX
M1LP.IDX	1-Month Lows S&P 500	INDEX
M1LQ.IDX	1-Month Lows Nasdaq	INDEX
M1LR.IDX	1-Month Lows S&P 500 Real Estate	INDEX
M1LS.IDX	1-Month Lows S&P 500 Health Care	INDEX
M1LT.IDX	1-Month Lows S&P 500 Energies	INDEX
M1LU.IDX	1-Month Lows Volume Lt 100K	INDEX
M1LV.IDX	1-Month Lows Volume GT 100K	INDEX
M1LW.IDX	1-Month Lows S&P 500 Telcomm	INDEX
M1LX.IDX	1-Month Lows Overall	INDEX
M1LY.IDX	1-Month Lows S&P 500 Consumer Disc	INDEX
M1LZ.IDX	1-Month Lows Russell 3000	INDEX
M3DA.IDX	3-Month Hi-Lo AMEX	INDEX
M3DB.IDX	3-Month Hi-Lo S&P 500 Materials	INDEX
M3DC.IDX	3-Month Hi-Lo Russell 2000	INDEX
M3DD.IDX	3-Month Hi-Lo Otcbb	INDEX
M3DE.IDX	3-Month Hi-Lo ETFS	INDEX
M3DF.IDX	3-Month Hi-Lo S&P 500 Financials	INDEX
M3DG.IDX	3-Month Hi-Lo Russell 1000	INDEX
M3DH.IDX	3-Month Hi-Lo Price GT $10	INDEX
M3DI.IDX	3-Month Hi-Lo S&P 500 Industrials	INDEX
M3DJ.IDX	3-Month Hi-Lo S&P 500 Utilities	INDEX
M3DK.IDX	3-Month Hi-Lo S&P 500 Info Tech	INDEX
M3DL.IDX	3-Month Hi-Lo Price Lt $10	INDEX
M3DM.IDX	3-Month Hi-Lo S&P 500 Consumer Staples	INDEX
