A9H19     	MSCI EAFE NTR Index {Mar 19}                      	NYBOT     
GYM19     	Euro/Forint {Jun 19}                              	NYBOT     
GYU19     	Euro/Forint {Sep 19}                              	NYBOT     
GYZ18     	Euro/Forint {Dec 18}                              	NYBOT     
GZ        	Euro/Koruna                                       	NYBOT     
GZH19     	Euro/Koruna {Mar 19}                              	NYBOT     
GZM19     	Euro/Koruna {Jun 19}                              	NYBOT     
GZU19     	Euro/Koruna {Sep 19}                              	NYBOT     
GZZ18     	Euro/Koruna {Dec 18}                              	NYBOT     
H0        	Indian Rupee                                      	NYBOT     
H0F19     	Indian Rupee {Jan 19}                             	NYBOT     
H0G19     	Indian Rupee {Feb 19}                             	NYBOT     
H0H19     	Indian Rupee {Mar 19}                             	NYBOT     
H0J19     	Indian Rupee {Apr 19}                             	NYBOT     
H0K19     	Indian Rupee {May 19}                             	NYBOT     
H0M19     	Indian Rupee {Jun 19}                             	NYBOT     
H0N19     	Indian Rupee {Jul 19}                             	NYBOT     
H0Q19     	Indian Rupee {Aug 19}                             	NYBOT     
H0U19     	Indian Rupee {Sep 19}                             	NYBOT     
H0V19     	Indian Rupee {Oct 19}                             	NYBOT     
H0X18     	Indian Rupee {Nov 18}                             	NYBOT     
H0X19     	Indian Rupee {Nov 19}                             	NYBOT     
H0Z18     	Indian Rupee {Dec 18}                             	NYBOT     
H8        	Brazilian Real                                    	NYBOT     
H8F19     	Brazilian Real {Jan 19}                           	NYBOT     
H8F20     	Brazilian Real {Jan 20}                           	NYBOT     
H8F21     	Brazilian Real {Jan 21}                           	NYBOT     
H8F22     	Brazilian Real {Jan 22}                           	NYBOT     
H8F23     	Brazilian Real {Jan 23}                           	NYBOT     
H8G19     	Brazilian Real {Feb 19}                           	NYBOT     
H8G20     	Brazilian Real {Feb 20}                           	NYBOT     
H8G21     	Brazilian Real {Feb 21}                           	NYBOT     
H8G22     	Brazilian Real {Feb 22}                           	NYBOT     
H8G23     	Brazilian Real {Feb 23}                           	NYBOT     
H8H19     	Brazilian Real {Mar 19}                           	NYBOT     
H8H20     	Brazilian Real {Mar 20}                           	NYBOT     
H8H21     	Brazilian Real {Mar 21}                           	NYBOT     
H8H22     	Brazilian Real {Mar 22}                           	NYBOT     
H8H23     	Brazilian Real {Mar 23}                           	NYBOT     
H8J19     	Brazilian Real {Apr 19}                           	NYBOT     
H8J20     	Brazilian Real {Apr 20}                           	NYBOT     
H8J21     	Brazilian Real {Apr 21}                           	NYBOT     
H8J22     	Brazilian Real {Apr 22}                           	NYBOT     
H8J23     	Brazilian Real {Apr 23}                           	NYBOT     
H8K19     	Brazilian Real {May 19}                           	NYBOT     
H8K20     	Brazilian Real {May 20}                           	NYBOT     
H8K21     	Brazilian Real {May 21}                           	NYBOT     
H8K22     	Brazilian Real {May 22}                           	NYBOT     
H8K23     	Brazilian Real {May 23}                           	NYBOT     
H8M19     	Brazilian Real {Jun 19}                           	NYBOT     
H8M20     	Brazilian Real {Jun 20}                           	NYBOT     
H8M21     	Brazilian Real {Jun 21}                           	NYBOT     
H8M22     	Brazilian Real {Jun 22}                           	NYBOT     
H8M23     	Brazilian Real {Jun 23}                           	NYBOT     
H8N19     	Brazilian Real {Jul 19}                           	NYBOT     
H8N20     	Brazilian Real {Jul 20}                           	NYBOT     
H8N21     	Brazilian Real {Jul 21}                           	NYBOT     
H8N22     	Brazilian Real {Jul 22}                           	NYBOT     
H8N23     	Brazilian Real {Jul 23}                           	NYBOT     
H8Q19     	Brazilian Real {Aug 19}                           	NYBOT     
H8Q20     	Brazilian Real {Aug 20}                           	NYBOT     
H8Q21     	Brazilian Real {Aug 21}                           	NYBOT     
H8Q22     	Brazilian Real {Aug 22}                           	NYBOT     
H8Q23     	Brazilian Real {Aug 23}                           	NYBOT     
H8U19     	Brazilian Real {Sep 19}                           	NYBOT     
H8U20     	Brazilian Real {Sep 20}                           	NYBOT     
H8U21     	Brazilian Real {Sep 21}                           	NYBOT     
H8U22     	Brazilian Real {Sep 22}                           	NYBOT     
H8U23     	Brazilian Real {Sep 23}                           	NYBOT     
H8V19     	Brazilian Real {Oct 19}                           	NYBOT     
H8V20     	Brazilian Real {Oct 20}                           	NYBOT     
H8V21     	Brazilian Real {Oct 21}                           	NYBOT     
H8V22     	Brazilian Real {Oct 22}                           	NYBOT     
H8V23     	Brazilian Real {Oct 23}                           	NYBOT     
H8X19     	Brazilian Real {Nov 19}                           	NYBOT     
H8X20     	Brazilian Real {Nov 20}                           	NYBOT     
H8X21     	Brazilian Real {Nov 21}                           	NYBOT     
H8X22     	Brazilian Real {Nov 22}                           	NYBOT     
H8X23     	Brazilian Real {Nov 23}                           	NYBOT     
H8Z18     	Brazilian Real {Dec 18}                           	NYBOT     
H8Z19     	Brazilian Real {Dec 19}                           	NYBOT     
H8Z20     	Brazilian Real {Dec 20}                           	NYBOT     
H8Z21     	Brazilian Real {Dec 21}                           	NYBOT     
H8Z22     	Brazilian Real {Dec 22}                           	NYBOT     
H8Z23     	Brazilian Real {Dec 23}                           	NYBOT     
HCH19     	Turkish Lira/Euro {Mar 19}                        	NYBOT     
HCM19     	Turkish Lira/Euro {Jun 19}                        	NYBOT     
HCU19     	Turkish Lira/Euro {Sep 19}                        	NYBOT     
HCZ18     	Turkish Lira/Euro {Dec 18}                        	NYBOT     
HDH19     	Turkish Lira/USD {Mar 19}                         	NYBOT     
HDM19     	Turkish Lira/USD {Jun 19}                         	NYBOT     
